service_id,date,exception_type
"MF10-22-696-aus","20241230","2"
"MF10-22-696-aus","20241231","2"
"MF10-22-737-aus","20241021","2"
"MF10-22-737-aus","20241022","2"
"MF10-22-737-aus","20241023","2"
"MF10-22-737-aus","20241029","2"
"MF10-22-737-aus","20241030","2"
"MF10-22-737-aus","20241104","2"
"MF10-22-737-aus","20241105","2"
"MF10-22-737-aus","20241106","2"
"MF10-22-737-aus","20241111","2"
"MF10-22-737-aus","20241112","2"
"MF10-22-737-aus","20241113","2"
"MF10-22-737-aus","20241118","2"
"MF10-22-737-aus","20241119","2"
"MF10-22-737-aus","20241120","2"
"MF10-22-737-aus","20241125","2"
"MF10-22-737-aus","20241126","2"
"MF10-22-737-aus","20241127","2"
"MF10-22-737-aus","20241202","2"
"MF10-22-737-aus","20241203","2"
"MF10-22-737-aus","20241204","2"
"MF10-22-737-aus","20241209","2"
"MF10-22-737-aus","20241210","2"
"MF10-22-737-aus","20241211","2"
"MF10-22-737-aus","20241216","2"
"MF10-22-737-aus","20241217","2"
"MF10-22-737-aus","20241218","2"
"MF10-22-737-aus","20241223","2"
"MF10-22-737-aus","20241224","2"
"MF10-22-737-aus","20241225","2"
"MF10-22-737-aus","20241230","2"
"MF10-22-737-aus","20241231","2"
"MF10-25-467-aus","20241105","2"
"MF10-25-467-aus","20241223","2"
"MF10-25-467-aus","20241224","2"
"MF10-25-467-aus","20241225","2"
"MF10-25-467-aus","20241226","2"
"MF10-25-467-aus","20241230","2"
"MF10-25-467-aus","20241231","2"
"MF10-25-468-aus","20241105","2"
"MF10-25-468-aus","20241223","2"
"MF10-25-468-aus","20241224","2"
"MF10-25-468-aus","20241225","2"
"MF10-25-468-aus","20241226","2"
"MF10-25-468-aus","20241230","2"
"MF10-25-468-aus","20241231","2"
"MF10-32-600-aus","20241011","2"
"MF10-32-600-aus","20241018","2"
"MF10-32-600-aus","20241025","2"
"MF10-32-600-aus","20241101","2"
"MF10-32-600-aus","20241108","2"
"MF10-32-600-aus","20241115","2"
"MF10-32-600-aus","20241122","2"
"MF10-32-600-aus","20241129","2"
"MF10-32-600-aus","20241206","2"
"MF10-32-600-aus","20241213","2"
"MF10-32-600-aus","20241220","2"
"MF10-32-600-aus","20241227","2"
"MF10-32-603-aus","20241011","2"
"MF10-32-603-aus","20241018","2"
"MF10-32-603-aus","20241025","2"
"MF10-32-603-aus","20241101","2"
"MF10-32-603-aus","20241108","2"
"MF10-32-603-aus","20241115","2"
"MF10-32-603-aus","20241122","2"
"MF10-32-603-aus","20241129","2"
"MF10-32-603-aus","20241206","2"
"MF10-32-603-aus","20241213","2"
"MF10-32-603-aus","20241220","2"
"MF10-32-603-aus","20241227","2"
"MF10-32-604-aus","20241011","2"
"MF10-32-604-aus","20241018","2"
"MF10-32-604-aus","20241025","2"
"MF10-32-604-aus","20241101","2"
"MF10-32-604-aus","20241108","2"
"MF10-32-604-aus","20241115","2"
"MF10-32-604-aus","20241122","2"
"MF10-32-604-aus","20241129","2"
"MF10-32-604-aus","20241206","2"
"MF10-32-604-aus","20241213","2"
"MF10-32-604-aus","20241220","2"
"MF10-32-604-aus","20241227","2"
"MF10-32-922-aus","20241011","2"
"MF10-32-922-aus","20241018","2"
"MF10-32-922-aus","20241025","2"
