region,school2_count
Cranbourne North - West,1
Red Cliffs,1
Clyde North - North,1
Carrum - Patterson Lakes,1
Chiltern - Indigo Valley,1
Craigieburn - North West,1
Doncaster East - South,1
Shepparton - South East,1
Cranbourne North - East,1
Merbein,1
Eynesbury - Exford,1
Heidelberg - Rosanna,1
Narre Warren South - East,1
Kew - South,1
Berwick - South East,1
Kerang,1
Point Cook - North East,1
Tullamarine,1
Carnegie,1
Epping - South,1
Kyneton,1
Cranbourne East - South,1
Ivanhoe,1
Ballarat North - Invermay,1
Roxburgh Park - North,1
Truganina - South West,1
Manor Lakes - Quandong,1
Southbank (West) - South Wharf,1
Coburg North,1
Newcomb - Moolap,1
Hadfield,1
Wallan,1
Doncaster,1
Yarrawonga,1
Bentleigh East - North,1
Mount Eliza,1
Sale,1
Clayton South,1
Ararat Surrounds,1
Lorne - Anglesea,1
Hawthorn - North,1
Broadmeadows,1
Chelsea Heights,1
Moyne - East,1
Brighton (Vic.),1
Williamstown,1
Flinders,1
Whittlesea,1
Lynbrook - Lyndhurst,1
Seabrook,1
Hampton Park - West,1
Pascoe Vale,1
Vermont South,1
Port Melbourne,1
Morwell,1
Balwyn,1
Templestowe Lower,1
Altona Meadows,1
Beechworth,1
Wangaratta Surrounds,1
Daylesford,1
Melbourne Airport,1
Kew East,1
Yackandandah,1
Golden Plains - North,1
Elsternwick,1
Bright - Mount Beauty,1
Surrey Hills (West) - Canterbury,1
Myrtleford,1
Foster,1
Abbotsford,1
Bayswater North,1
Buloke,1
Strathmore,1
Thomastown,1
Reservoir - South East,1
Epping - East,1
Shepparton Surrounds - East,1
Yea,1
Gowanbrae,1
Traralgon - East,1
Sebastopol - Redan,1
Leopold,1
Norlane,1
Castlemaine,1
St Kilda East,1
