region,shop_count
Ascot Vale,2
Highett (West) - Cheltenham,2
Creswick - Clunes,2
Romsey,2
Yallourn North - Glengarry,2
Richmond (South) - Cremorne,2
Epping (Vic.) - West,2
Craigieburn - Central,2
Mildura Surrounds,2
Moorabbin - Heatherton,2
Clarinda - Oakleigh South,2
Edithvale - Aspendale,2
Viewbank - Yallambie,2
Clifton Hill - Alphington,2
Ashburton (Vic.),2
Moyne - West,2
Flemington Racecourse,2
Cranbourne North - East,2
Portarlington,2
Aspendale Gardens - Waterways,2
Seddon - Kingsville,2
Burnside,2
Camperdown,2
Bruthen - Omeo,2
Craigieburn - North,2
Elwood,2
Yarram,2
Churchill,2
St Arnaud,2
Meadow Heights,2
Werribee - West,2
Bayswater North,2
Lorne - Anglesea,2
Korumburra,2
Newport,2
Glenelg (Vic.),2
Riddells Creek,2
Myrtleford,2
Wattle Glen - Diamond Creek,2
Dandenong - South,2
Ivanhoe East - Eaglemont,2
Preston - West,2
Beechworth,2
Baranduda - Leneva,2
Reservoir - South West,2
Monbulk - Silvan,2
Williamstown,2
Ringwood North,2
Woodend,2
Macedon,1
Upwey - Tecoma,1
Chelsea Heights,1
Bacchus Marsh Surrounds,1
Yea,1
Hallam,1
Bunyip - Garfield,1
Avondale Heights,1
Rushworth,1
Beaufort,1
Robinvale,1
Ballarat North - Invermay,1
Lalor - West,1
Paynesville,1
Pakenham - North West,1
Pakenham - North East,1
Dandenong North,1
Maiden Gully,1
Pearcedale - Tooradin,1
Wantirna,1
Carlton North - Princes Hill,1
Box Hill North,1
Euroa,1
Golden Plains - North,1
Merbein,1
Mount Evelyn,1
Cranbourne North - West,1
Hawthorn - South,1
Irymple,1
Diggers Rest,1
Bentleigh East - North,1
Northcote - West,1
Noble Park - East,1
Dingley Village,1
Canadian - Mount Clear,1
Chiltern - Indigo Valley,1
South Morang - North,1
Shepparton - North,1
Hadfield,1
Port Melbourne Industrial,1
Trafalgar (Vic.),1
Glen Waverley - East,1
Kinglake,1
Rockbank - Mount Cottrell,1
Frankston South,1
Rosedale,1
Mount Waverley - North,1
Longford - Loch Sport,1
Heathcote,1
Kew East,1
Bendigo Surrounds - North,1
Caulfield - South,1
Oak Park,1
Whittlesea,1
Hampton Park - East,1
Reservoir - North West,1
Rutherglen,1
Mount Dandenong - Olinda,1
Yackandandah,1
Tarneit - South,1
Maryborough Surrounds,1
Wilsons Promontory,1
Nagambie,1
Castlemaine Surrounds,1
Doreen - North,1
Cobblebank - Strathtulloh,1
Swan Hill Surrounds,1
St Kilda - Central,1
Croydon Hills - Warranwood,1
East Melbourne,1
Glenroy - East,1
Surrey Hills (East) - Mont Albert,1
Traralgon - West,1
Strathmore,1
Rochester,1
Plenty - Yarrambat,1
Bentleigh East - South,1
Buninyong,1
West Wimmera,1
Lockington - Gunbower,1
Mount Baw Baw Region,1
South Yarra - West,1
Strathfieldsaye,1
Beaumaris,1
Narre Warren South - West,1
Doveton,1
Narre Warren North,1
Koo Wee Rup,1
Flinders,1
Pascoe Vale South,1
Craigieburn - South,1
