region,stop_count
Narre Warren - North East,44
Rockbank - Mount Cottrell,44
Hawthorn - South,43
Taylors Hill,43
Bundoora - East,43
Elwood,43
Sunshine North,43
Alfredton,43
Kyneton,43
Epping - East,42
Point Lonsdale - Queenscliff,41
South Morang - South,41
Chelsea Heights,41
Lalor - West,41
Kew East,41
Pascoe Vale South,41
Lalor - East,41
Narre Warren South - East,41
Mount Evelyn,41
Ormond - Glen Huntly,41
Clyde North - South,41
Pakenham - North East,41
Kilmore - Broadford,40
Montrose,40
Beaconsfield - Officer,40
Chirnside Park,40
South Melbourne,39
Melton South - Weir Views,39
Northcote - West,39
Gisborne,39
Truganina - South West,39
Niddrie - Essendon West,39
Hawthorn East,38
Carlton North - Princes Hill,37
Kurunjang - Toolern Vale,37
Buninyong,37
Merbein,37
Delacombe,36
Rowville - South,36
Bundoora - North,36
Dromana,36
Wollert,36
Epping (Vic.) - West,36
Sydenham,35
Fitzroy,35
Mernda - North,35
Clayton - Central,34
Point Cook - East,34
Clifton Hill - Alphington,33
Hughesdale,33
Tarneit - South,33
Hadfield,33
Ardeer - Albion,33
Pakenham - South East,32
Castlemaine Surrounds,32
Loddon,32
Melbourne CBD - East,32
Moama,32
Doreen - South,32
South Yarra - West,32
Surrey Hills (East) - Mont Albert,31
Craigieburn - North,31
Yarriambiack,31
Maiden Gully,31
Mount Eliza,31
Noble Park - East,31
Delahey,30
Richmond - North,30
Tullamarine,30
Cranbourne North - East,29
Gordon (Vic.),29
Diggers Rest,29
Daylesford,29
Melbourne CBD - North,28
South Yarra - South,28
Ashburton (Vic.),28
Monbulk - Silvan,27
Rowville - North,27
West Wodonga,27
Wandin - Seville,26
Longford - Loch Sport,26
Kialla,26
Seddon - Kingsville,26
Seymour Surrounds,26
Maffra,26
Lysterfield,25
Kinglake,25
Berwick - South West,25
Ivanhoe East - Eaglemont,25
Flemington,24
Brookfield,24
Derrimut,24
South Yarra - North,24
Aspendale Gardens - Waterways,23
Glenroy - West,23
Hawthorn - North,23
Rochester,23
Craigieburn - Central,23
Kensington (Vic.),22
Point Cook - South,22
Wangaratta Surrounds,22
Truganina - South East,22
Roxburgh Park - North,22
Abbotsford,22
Oak Park,21
Orbost,21
West Melbourne - Industrial,21
Irymple,21
Wyndham Vale - North,21
Burnside,20
West Melbourne - Residential,20
Collingwood,20
Clyde North - North,20
Alexandra,20
Southbank - East,20
Tarneit (West) - Mount Cottrell,19
Red Cliffs,19
Swan Hill Surrounds,19
Narre Warren North,19
Tarneit - North,19
Mansfield (Vic.),19
Yallourn North - Glengarry,18
Korumburra,18
Glenelg (Vic.),18
Avoca,18
Otway,18
Melbourne Airport,18
Craigieburn - North West,18
Gowanbrae,17
Skye - Sandhurst,17
Bundoora - West,17
Southern Grampians,17
Lorne - Anglesea,17
Baranduda - Leneva,16
Point Cook - North West,16
Numurkah,16
Ararat Surrounds,16
Buloke,16
Mildura Surrounds,16
Corangamite - South,15
Croydon South,15
Cairnlea,15
Moyne - East,15
Bendigo Surrounds - North,15
The Basin,15
Romsey,15
Nhill Region,14
Leongatha,14
Maryborough Surrounds,14
Southbank (West) - South Wharf,14
Rushworth,13
Manor Lakes - Quandong,13
Bunyip - Garfield,13
Heathcote,13
Bruthen - Omeo,13
Mount Baw Baw Region,13
Cobram,13
Burnside Heights,12
Truganina - North,12
St Arnaud,12
Cobblebank - Strathtulloh,12
Flinders,12
Royal Botanic Gardens Victoria,11
Fraser Rise - Plumpton,11
Colac Surrounds,11
Shepparton Surrounds - West,10
Bacchus Marsh Surrounds,10
Foster,10
Yea,10
Horsham Surrounds,10
Seabrook,9
Golden Plains - North,9
Gannawarra,9
Bright - Mount Beauty,9
Pakenham - North West,9
Yarram,9
Moorabbin Airport,9
Flemington Racecourse,8
Beaufort,8
Trafalgar (Vic.),8
Corangamite - North,8
Euroa,8
Towong,8
Yackandandah,7
Rutherglen,7
The Coorong,7
Golden Plains - South,7
Moira,7
Tocumwal - Finley - Jerilderie,6
Corowa Surrounds,6
Shepparton Surrounds - East,6
Rosedale,6
Bendigo Surrounds - South,6
Cranbourne East - South,6
Karoonda - Lameroo,6
Lockington - Gunbower,5
Essendon Airport,5
Kyabram,5
Camperdown,5
Woodend,5
Narooma - Bermagui,5
Bannockburn,5
Hurstbridge,4
Benalla Surrounds,4
Riddells Creek,4
Nagambie,4
Chiltern - Indigo Valley,4
Myrtleford,4
Deniliquin Surrounds,4
Wentworth-Balranald Region,4
Robinvale,4
West Wimmera,4
Griffith Surrounds,3
Tatiara,3
Eurobodalla Hinterland,3
Smythes Creek,3
Koo Wee Rup,3
Beechworth,3
Albury Surrounds,3
Macedon,2
Murray Bridge,2
Aldgate - Stirling,2
Bega-Eden Hinterland,2
Wagga Wagga Surrounds,2
Winchelsea,2
Cooma Surrounds,2
Kerang,2
Merimbula - Tura Beach,2
Moruya - Tuross Head,2
Corowa,2
Paynesville,2
Panton Hill - St Andrews,2
Yass Surrounds,2
Eden,1
Bombala,1
Bega - Tathra,1
Kingston (ACT),1
Batemans Bay,1
Cooma,1
Richmond (SA),1
Civic,1
Gundagai,1
Adelaide,1
Mount Barker,1
Mount Gambier - East,1
Griffith (NSW),1
Wentworth - Buronga,1
Deniliquin,1
Tumbarumba,1
Naracoorte Surrounds,1
Naracoorte,1
Yarrawonga,1
Yass,1
