region,entertainments_count,hospital_count,park_count,psf_count,school2_count,school1_count,shop_count,stop_count
Roxburgh Park (South) - Somerton,2.0,,34.0,,2.0,4.0,3.0,50.0
Leopold,1.0,,20.0,1.0,1.0,1.0,3.0,70.0
Clifton Springs,1.0,,17.0,3.0,,4.0,4.0,77.0
Box Hill North,1.0,,28.0,,2.0,5.0,1.0,86.0
Bendigo Surrounds - South,1.0,,,5.0,,4.0,,6.0
Wilsons Promontory,1.0,,,1.0,,,1.0,
Viewbank - Yallambie,1.0,,45.0,,2.0,4.0,2.0,64.0
Ballarat North - Invermay,1.0,,40.0,,1.0,7.0,1.0,63.0
Rochester,1.0,1.0,8.0,,,4.0,1.0,23.0
West Wodonga,1.0,,59.0,2.0,7.0,4.0,3.0,27.0
Chiltern - Indigo Valley,1.0,,3.0,7.0,1.0,4.0,1.0,4.0
Loddon,1.0,2.0,22.0,26.0,,9.0,4.0,32.0
Narre Warren - North East,1.0,,22.0,,1.0,2.0,,44.0
Delacombe,1.0,,28.0,3.0,3.0,2.0,2.0,36.0
Eynesbury - Exford,1.0,,7.0,1.0,1.0,2.0,,
Merbein,1.0,,7.0,2.0,1.0,3.0,1.0,37.0
Colac Surrounds,1.0,,7.0,11.0,,4.0,,11.0
Flora Hill - Spring Gully,1.0,,11.0,,5.0,4.0,,65.0
Rowville - North,1.0,,25.0,,4.0,1.0,,27.0
Red Cliffs,1.0,,8.0,2.0,1.0,5.0,2.0,19.0
Moyne - East,1.0,,12.0,21.0,1.0,7.0,,15.0
Ardeer - Albion,1.0,,16.0,,2.0,4.0,,33.0
Hampton,1.0,1.0,12.0,,1.0,4.0,2.0,84.0
Maiden Gully,1.0,,3.0,1.0,,2.0,1.0,31.0
Point Cook - South,1.0,,31.0,,3.0,2.0,3.0,22.0
Warrnambool - North,1.0,1.0,49.0,1.0,,11.0,5.0,99.0
Swan Hill Surrounds,1.0,1.0,9.0,16.0,1.0,6.0,1.0,19.0
Yarriambiack,1.0,7.0,15.0,33.0,3.0,12.0,6.0,31.0
Mount Martha,1.0,,16.0,,,3.0,,76.0
Endeavour Hills - South,1.0,,42.0,1.0,2.0,5.0,4.0,75.0
Diggers Rest,1.0,,12.0,1.0,,1.0,1.0,29.0
Tarneit - South,1.0,,22.0,,,3.0,1.0,33.0
Blackburn South,1.0,1.0,13.0,,4.0,3.0,,47.0
Whittlesea,1.0,,36.0,3.0,1.0,4.0,1.0,57.0
Foster,1.0,1.0,13.0,7.0,1.0,7.0,6.0,10.0
Reservoir - North West,1.0,,12.0,1.0,3.0,4.0,1.0,67.0
Craigieburn - Central,1.0,1.0,25.0,,2.0,1.0,2.0,23.0
Highett (West) - Cheltenham,1.0,,19.0,,1.0,2.0,2.0,75.0
St Arnaud,1.0,1.0,17.0,9.0,,5.0,2.0,12.0
Bendigo Surrounds - North,1.0,,4.0,6.0,,4.0,1.0,15.0
Yarrawonga,1.0,1.0,21.0,3.0,1.0,3.0,2.0,1.0
Narre Warren North,1.0,,17.0,1.0,,6.0,1.0,19.0
Towong,1.0,3.0,14.0,26.0,,10.0,3.0,8.0
Donvale - Park Orchards,1.0,,40.0,1.0,4.0,7.0,,86.0
Kerang,1.0,1.0,6.0,2.0,1.0,5.0,2.0,2.0
Wyndham Vale - North,1.0,,33.0,,2.0,1.0,,21.0
Bayswater North,1.0,,35.0,,1.0,1.0,2.0,84.0
Moorabbin Airport,1.0,,,,,,5.0,9.0
Mildura Surrounds,1.0,1.0,11.0,13.0,3.0,6.0,2.0,16.0
Charlemont,1.0,1.0,15.0,,1.0,2.0,2.0,57.0
Baranduda - Leneva,1.0,,31.0,3.0,2.0,5.0,2.0,16.0
Aspendale Gardens - Waterways,1.0,,28.0,,4.0,1.0,2.0,23.0
Cranbourne East - North,1.0,,34.0,,2.0,4.0,5.0,60.0
Clyde North - North,1.0,,11.0,,1.0,2.0,,20.0
Rosedale,1.0,,5.0,2.0,,4.0,1.0,6.0
Vermont South,1.0,1.0,24.0,3.0,1.0,5.0,3.0,50.0
Bundoora - North,1.0,,17.0,,2.0,,3.0,36.0
Lalor - West,1.0,,27.0,,5.0,4.0,1.0,41.0
Glenelg (Vic.),,4.0,18.0,28.0,,9.0,2.0,18.0
Corangamite - North,,3.0,19.0,15.0,2.0,6.0,4.0,8.0
Rushworth,,2.0,17.0,7.0,,5.0,1.0,13.0
Newcomb - Moolap,,2.0,27.0,,1.0,6.0,6.0,118.0
West Wimmera,,2.0,7.0,19.0,,4.0,1.0,4.0
Numurkah,,2.0,13.0,6.0,1.0,10.0,3.0,16.0
Winchelsea,,1.0,11.0,6.0,1.0,4.0,2.0,2.0
Robinvale,,1.0,16.0,3.0,,2.0,1.0,4.0
Ararat Surrounds,,1.0,6.0,17.0,1.0,6.0,2.0,16.0
Kangaroo Flat - Golden Square,,1.0,25.0,2.0,,7.0,7.0,134.0
Niddrie - Essendon West,,1.0,15.0,,,4.0,,39.0
Keilor Downs,,1.0,29.0,1.0,6.0,5.0,3.0,66.0
Beaufort,,1.0,8.0,9.0,,3.0,1.0,8.0
Koo Wee Rup,,1.0,10.0,3.0,4.0,6.0,1.0,3.0
Doreen - North,,,118.0,1.0,,3.0,1.0,55.0
Epping (Vic.) - West,,,111.0,1.0,2.0,3.0,2.0,36.0
Wollert,,,103.0,1.0,,6.0,,36.0
South Morang - North,,,73.0,,1.0,1.0,1.0,52.0
Roxburgh Park - North,,,71.0,,1.0,1.0,2.0,22.0
Croydon Hills - Warranwood,,,63.0,,3.0,7.0,1.0,70.0
Werribee - West,,,60.0,1.0,4.0,7.0,2.0,68.0
Meadow Heights,,,59.0,,2.0,2.0,2.0,63.0
Craigieburn - South,,,53.0,3.0,3.0,5.0,1.0,72.0
Clyde North - South,,,44.0,,,2.0,3.0,41.0
Cranbourne South,,,40.0,2.0,1.0,7.0,2.0,58.0
Corio - Lovely Banks,,,40.0,2.0,5.0,4.0,4.0,82.0
Epping - East,,,39.0,,1.0,3.0,,42.0
Truganina - South West,,,36.0,,1.0,5.0,,39.0
Skye - Sandhurst,,,35.0,1.0,,1.0,,17.0
Truganina - North,,,35.0,,1.0,1.0,,12.0
Werribee - East,,,34.0,1.0,3.0,5.0,2.0,103.0
Mickleham - Yuroke,,,31.0,2.0,,6.0,3.0,54.0
Hoppers Crossing - North,,,30.0,,2.0,4.0,8.0,89.0
Endeavour Hills - North,,,29.0,,,5.0,,54.0
Sebastopol - Redan,,,29.0,1.0,1.0,5.0,4.0,67.0
Mornington - East,,,29.0,,,5.0,6.0,50.0
Buninyong,,,26.0,3.0,2.0,3.0,1.0,37.0
Sunbury,,,26.0,1.0,,6.0,,65.0
Tarneit - North,,,26.0,,,1.0,,19.0
White Hills - Ascot,,,24.0,1.0,,5.0,4.0,97.0
Cobblebank - Strathtulloh,,,23.0,,,1.0,1.0,12.0
Sunbury - West,,,23.0,,,4.0,,71.0
Melton,,,23.0,2.0,,4.0,3.0,60.0
Hillside,,,23.0,1.0,3.0,2.0,,45.0
Lockington - Gunbower,,,22.0,5.0,2.0,2.0,1.0,5.0
Manor Lakes - Quandong,,,22.0,,1.0,3.0,,13.0
Cranbourne North - West,,,21.0,,1.0,3.0,1.0,49.0
Melton South - Weir Views,,,21.0,,,6.0,4.0,39.0
Kings Park (Vic.),,,20.0,,,4.0,,53.0
Tarneit (West) - Mount Cottrell,,,20.0,,1.0,1.0,3.0,19.0
Glenroy - East,,,19.0,,,6.0,1.0,64.0
Mill Park - South,,,19.0,,4.0,2.0,,45.0
Truganina - South East,,,19.0,,1.0,1.0,,22.0
Cranbourne North - East,,,16.0,,1.0,2.0,2.0,29.0
Brookfield,,,15.0,,,1.0,,24.0
Vermont,,,14.0,,2.0,4.0,,50.0
Gisborne,,,13.0,2.0,3.0,7.0,6.0,39.0
Burnside Heights,,,12.0,,,1.0,,12.0
Kialla,,,12.0,,1.0,3.0,3.0,26.0
Cranbourne East - South,,,12.0,,1.0,3.0,,6.0
California Gully - Eaglehawk,,,12.0,2.0,1.0,5.0,2.0,79.0
Sunshine North,,,11.0,1.0,5.0,5.0,,43.0
Seabrook,,,11.0,,1.0,1.0,,9.0
Delahey,,,11.0,,,2.0,2.0,30.0
Hampton Park - East,,,11.0,,3.0,3.0,1.0,50.0
Strathfieldsaye,,,10.0,,1.0,2.0,1.0,61.0
Burnside,,,10.0,,,1.0,2.0,20.0
Kurunjang - Toolern Vale,,,9.0,1.0,,3.0,,37.0
Gowanbrae,,,8.0,,1.0,,,17.0
Craigieburn - North West,,,7.0,,1.0,1.0,2.0,18.0
Shepparton Surrounds - East,,,7.0,5.0,1.0,7.0,,6.0
Romsey,,,7.0,10.0,,6.0,2.0,15.0
Glenroy - West,,,7.0,,,1.0,2.0,23.0
Royal Botanic Gardens Victoria,,,7.0,,,,,11.0
Yallourn North - Glengarry,,,6.0,3.0,,4.0,2.0,18.0
Hadfield,,,6.0,1.0,1.0,1.0,1.0,33.0
Golden Plains - North,,,6.0,7.0,1.0,4.0,1.0,9.0
Woodend,,,5.0,3.0,,3.0,2.0,5.0
Yackandandah,,,5.0,9.0,1.0,4.0,1.0,7.0
Gordon (Vic.),,,4.0,4.0,,7.0,,29.0
Smythes Creek,,,3.0,1.0,,1.0,,3.0
West Melbourne - Industrial,,,2.0,,,,,21.0
French Island,,,1.0,1.0,,1.0,,
Alps - West,,,,1.0,,,,
Albury - South,,,,,,,,74.0
Albury - East,,,,,,,,62.0
Lavington,,,,,,,,48.0
Albury - North,,,,,,,,47.0
Moama,,,,,,,,32.0
The Coorong,,,,,,,,7.0
Tocumwal - Finley - Jerilderie,,,,,,,,6.0
Corowa Surrounds,,,,,,,,6.0
Karoonda - Lameroo,,,,,,,,6.0
Narooma - Bermagui,,,,,,,,5.0
Deniliquin Surrounds,,,,,,,,4.0
Wentworth-Balranald Region,,,,,,,,4.0
Griffith Surrounds,,,,,,,,3.0
Tatiara,,,,,,,,3.0
Eurobodalla Hinterland,,,,,,,,3.0
Albury Surrounds,,,,,,,,3.0
Murray Bridge,,,,,,,,2.0
Aldgate - Stirling,,,,,,,,2.0
Bega-Eden Hinterland,,,,,,,,2.0
Wagga Wagga Surrounds,,,,,,,,2.0
Cooma Surrounds,,,,,,,,2.0
Merimbula - Tura Beach,,,,,,,,2.0
Moruya - Tuross Head,,,,,,,,2.0
Corowa,,,,,,,,2.0
Yass Surrounds,,,,,,,,2.0
Eden,,,,,,,,1.0
Bombala,,,,,,,,1.0
Bega - Tathra,,,,,,,,1.0
Kingston (ACT),,,,,,,,1.0
Batemans Bay,,,,,,,,1.0
Cooma,,,,,,,,1.0
Richmond (SA),,,,,,,,1.0
Civic,,,,,,,,1.0
Gundagai,,,,,,,,1.0
Adelaide,,,,,,,,1.0
Mount Barker,,,,,,,,1.0
Mount Gambier - East,,,,,,,,1.0
Griffith (NSW),,,,,,,,1.0
Wentworth - Buronga,,,,,,,,1.0
Deniliquin,,,,,,,,1.0
Tumbarumba,,,,,,,,1.0
Naracoorte Surrounds,,,,,,,,1.0
Naracoorte,,,,,,,,1.0
Yass,,,,,,,,1.0
