region,entertainments_count,hospital_count,park_count,psf_count,school2_count,school1_count,shop_count,stop_count
Port Melbourne,17.0,,34.0,,1.0,2.0,3.0,57.0
Greensborough,17.0,,66.0,2.0,5.0,9.0,6.0,93.0
Camberwell,17.0,,23.0,1.0,2.0,4.0,4.0,112.0
Lilydale - Coldstream,17.0,2.0,51.0,4.0,5.0,11.0,8.0,103.0
Mill Park - North,17.0,,34.0,1.0,3.0,4.0,9.0,106.0
South Yarra - North,17.0,,5.0,,,3.0,4.0,24.0
Narre Warren - South West,16.0,,27.0,1.0,2.0,6.0,7.0,75.0
Emerald - Cockatoo,16.0,,18.0,6.0,8.0,6.0,5.0,82.0
Otway,16.0,1.0,13.0,5.0,,4.0,3.0,18.0
Melbourne Airport,16.0,,1.0,6.0,1.0,,,18.0
Castlemaine,16.0,2.0,20.0,4.0,1.0,8.0,2.0,63.0
Noble Park - West,16.0,3.0,16.0,1.0,6.0,4.0,3.0,52.0
South Yarra - West,15.0,1.0,3.0,,1.0,6.0,1.0,32.0
Kensington (Vic.),15.0,,28.0,,2.0,3.0,4.0,22.0
Werribee - South,15.0,3.0,57.0,3.0,7.0,5.0,6.0,78.0
Mount Waverley - South,15.0,2.0,43.0,1.0,1.0,5.0,5.0,69.0
Mount Dandenong - Olinda,15.0,,13.0,4.0,2.0,7.0,1.0,136.0
St Kilda East,14.0,,6.0,1.0,1.0,2.0,3.0,48.0
Ormond - Glen Huntly,14.0,,6.0,,,4.0,3.0,41.0
Knoxfield - Scoresby,14.0,,69.0,,5.0,5.0,6.0,115.0
Bairnsdale,13.0,1.0,21.0,2.0,4.0,9.0,4.0,48.0
Heidelberg - Rosanna,13.0,4.0,27.0,1.0,1.0,8.0,7.0,72.0
Parkville,13.0,10.0,40.0,,2.0,3.0,,54.0
Sandringham - Black Rock,13.0,1.0,26.0,1.0,4.0,6.0,4.0,69.0
Wodonga,13.0,2.0,51.0,2.0,4.0,7.0,5.0,71.0
Doncaster East - North,13.0,,36.0,,2.0,1.0,4.0,75.0
Brunswick West,13.0,,19.0,,3.0,3.0,4.0,78.0
Balwyn North,13.0,,24.0,1.0,3.0,7.0,6.0,107.0
Ashwood - Chadstone,13.0,,24.0,,3.0,6.0,3.0,65.0
Flemington,12.0,,11.0,1.0,4.0,5.0,6.0,24.0
Ferntree Gully (South) - Upper Ferntree Gully,12.0,1.0,43.0,1.0,4.0,4.0,7.0,80.0
Ivanhoe,12.0,1.0,20.0,,1.0,5.0,3.0,55.0
Deer Park,12.0,,16.0,2.0,4.0,3.0,6.0,70.0
Kyneton,12.0,1.0,19.0,4.0,1.0,6.0,2.0,43.0
Maribyrnong,12.0,,38.0,,,2.0,4.0,79.0
Ocean Grove,12.0,,26.0,2.0,2.0,4.0,6.0,68.0
Ringwood East,12.0,2.0,38.0,1.0,9.0,7.0,5.0,53.0
Clayton South,12.0,,25.0,1.0,1.0,4.0,,69.0
Seddon - Kingsville,11.0,,10.0,,,,2.0,26.0
Hamilton (Vic.),11.0,1.0,19.0,4.0,4.0,9.0,5.0,71.0
