region,entertainments_count
Nhill Region,3
Point Lonsdale - Queenscliff,3
The Basin,3
Derrimut,3
Mount Waverley - North,3
Macedon,3
Ballarat East - Warrenheip,3
Creswick - Clunes,3
Coburg - West,3
Surrey Hills (West) - Canterbury,3
Kyabram,3
Benalla Surrounds,3
Buloke,3
Mount Evelyn,3
Chirnside Park,3
Point Cook - North East,3
Craigieburn - North,3
Doreen - South,2
Rockbank - Mount Cottrell,2
Bunyip - Garfield,2
Norlane,2
Templestowe Lower,2
Somerville,2
Oak Park,2
Plenty - Yarrambat,2
Avoca,2
Strathmore,2
Keysborough - South,2
Lysterfield,2
Tullamarine,2
Braeside,2
Monbulk - Silvan,2
Castlemaine Surrounds,2
Seymour Surrounds,2
Frankston South,2
Moira,2
Korumburra,2
Traralgon - West,2
Pakenham - North West,2
Berwick - South East,2
Panton Hill - St Andrews,2
Epping - South,2
Yarram,2
Golden Plains - South,2
Kinglake,2
Melton West,2
Toorak,2
Point Cook - East,2
Trafalgar (Vic.),2
Southern Grampians,2
Bruthen - Omeo,2
Churchill,2
Alexandra,2
Airport West,2
Ivanhoe East - Eaglemont,2
East Bendigo - Kennington,2
Camperdown,2
Alfredton,2
Altona Meadows,2
Tarneit - Central,2
Roxburgh Park (South) - Somerton,2
Keilor East,2
Narre Warren South - West,2
Pakenham - North East,2
Horsham Surrounds,2
Gannawarra,2
Clarinda - Oakleigh South,2
Noble Park North,2
Pakenham - South East,2
Braybrook,2
Leopold,1
Clifton Springs,1
West Wodonga,1
Bendigo Surrounds - South,1
Ballarat North - Invermay,1
Viewbank - Yallambie,1
Hampton,1
Wilsons Promontory,1
Box Hill North,1
Narre Warren - North East,1
Loddon,1
Delacombe,1
Eynesbury - Exford,1
Merbein,1
Colac Surrounds,1
Flora Hill - Spring Gully,1
Rowville - North,1
Rochester,1
Red Cliffs,1
Moyne - East,1
Ardeer - Albion,1
Chiltern - Indigo Valley,1
Aspendale Gardens - Waterways,1
Point Cook - South,1
Warrnambool - North,1
Swan Hill Surrounds,1
Yarriambiack,1
Mount Martha,1
Endeavour Hills - South,1
Diggers Rest,1
Tarneit - South,1
Blackburn South,1
Whittlesea,1
Foster,1
Reservoir - North West,1
Craigieburn - Central,1
Highett (West) - Cheltenham,1
St Arnaud,1
Bendigo Surrounds - North,1
Yarrawonga,1
Narre Warren North,1
Towong,1
Kerang,1
Donvale - Park Orchards,1
Wyndham Vale - North,1
Bayswater North,1
Moorabbin Airport,1
Mildura Surrounds,1
Maiden Gully,1
Charlemont,1
Baranduda - Leneva,1
Rosedale,1
Cranbourne East - North,1
Clyde North - North,1
Bundoora - North,1
Vermont South,1
Lalor - West,1
