region,school1_count
Warragul,14
Wangaratta,12
Yarriambiack,12
Wangaratta Surrounds,12
Frankston North,12
Yarra Valley,12
Maffra,11
Lilydale - Coldstream,11
Bright - Mount Beauty,11
Shepparton - North,11
Warrnambool - North,11
Bendigo,11
Mooroolbark,10
Hastings - Somers,10
Towong,10
Shepparton Surrounds - West,10
Sale,10
Numurkah,10
Broadmeadows,10
Wonthaggi - Inverloch,10
Drouin,9
Hamilton (Vic.),9
Beaconsfield - Officer,9
Geelong West - Hamlyn Heights,9
Glenelg (Vic.),9
Buloke,9
Portland,9
Somerville,9
Loddon,9
Moe - Newborough,9
Orbost,9
Greensborough,9
Kew - South,9
Ballarat,9
Nhill Region,9
Colac,9
Southern Grampians,9
Bairnsdale,9
Ferntree Gully - North,8
Stawell,8
Caulfield - North,8
Seaford (Vic.),8
Leongatha,8
Daylesford,8
Thomastown,8
Churchill,8
Sunshine West,8
Bruthen - Omeo,8
Thornbury,8
Melton West,8
Panton Hill - St Andrews,8
Mentone,8
Preston - East,8
Castlemaine Surrounds,8
Wheelers Hill,8
Dandenong - North,8
Heidelberg - Rosanna,8
Castlemaine,8
Echuca,8
Blackburn,8
Brighton (Vic.),8
Mount Eliza,7
Wantirna South,7
Montmorency - Briar Hill,7
Campbellfield - Coolaroo,7
Pakenham - South West,7
Healesville - Yarra Glen,7
Mount Baw Baw Region,7
Oakleigh - Huntingdale,7
Swan Hill,7
Newtown (Vic.),7
Ballarat North - Invermay,7
Glen Waverley - East,7
Greenvale - Bulla,7
Alexandra,7
Shepparton Surrounds - East,7
Wendouree - Miners Rest,7
Kangaroo Flat - Golden Square,7
Lakes Entrance,7
Malvern - Glen Iris,7
Balwyn,7
Bacchus Marsh,7
Belmont,7
Mansfield (Vic.),7
Ringwood,7
Wodonga,7
Berwick - North,7
Moyne - East,7
Korumburra,7
Gisborne,7
Croydon Hills - Warranwood,7
Grovedale - Mount Duneed,7
North Geelong - Bell Park,7
Langwarrin,7
Surrey Hills (West) - Canterbury,7
Werribee - West,7
Cranbourne South,7
Foster,7
Canadian - Mount Clear,7
Mount Dandenong - Olinda,7
Geelong,7
Cranbourne,7
Horsham,7
Springvale,7
Gordon (Vic.),7
Ringwood East,7
Balwyn North,7
Donvale - Park Orchards,7
Essendon (West) - Aberfeldie,6
Ashwood - Chadstone,6
Irymple,6
Wollert,6
St Albans - North,6
Hawthorn East,6
Mildura - North,6
Newcomb - Moolap,6
Mildura Surrounds,6
Hoppers Crossing - South,6
Frankston,6
Bunyip - Garfield,6
Sunbury,6
Gannawarra,6
Hawthorn - South,6
Koo Wee Rup,6
Emerald - Cockatoo,6
Fawkner,6
Glen Waverley - West,6
Belgrave - Selby,6
Trafalgar (Vic.),6
Narre Warren North,6
Shepparton - South East,6
Melton South - Weir Views,6
Williamstown,6
Glenroy - East,6
Kilmore - Broadford,6
Golden Plains - South,6
Kyneton,6
Tarneit - Central,6
Torquay,6
Coburg - East,6
Mickleham - Yuroke,6
Highton,6
Sandringham - Black Rock,6
Corangamite - North,6
Footscray,6
South Yarra - West,6
Moorabbin - Heatherton,6
Eltham,6
Moyne - West,6
Braybrook,6
Creswick - Clunes,6
Avoca,6
Swan Hill Surrounds,6
Ararat,6
Mordialloc - Parkdale,6
Ararat Surrounds,6
Wallan,6
St Albans - South,6
Narre Warren - South West,6
Romsey,6
Mulgrave,5
Wantirna,5
Baranduda - Leneva,5
Werribee - South,5
Bayswater,5
Box Hill North,5
Beechworth,5
Burwood East,5
Craigieburn - South,5
Bentleigh East - South,5
Ivanhoe,5
Truganina - South West,5
Vermont South,5
Rosebud - McCrae,5
Benalla,5
Newport,5
Richmond - North,5
Pascoe Vale,5
Mornington - East,5
Mount Waverley - South,5
California Gully - Eaglehawk,5
Caroline Springs,5
Endeavour Hills - South,5
Mitcham (Vic.),5
Flemington,5
Croydon - West,5
Yarraville,5
Cobram,5
Highett (East) - Cheltenham,5
White Hills - Ascot,5
Lara,5
Endeavour Hills - North,5
Sunshine North,5
Maryborough Surrounds,5
Yarram,5
Morwell,5
Doncaster East - South,5
Wattle Glen - Diamond Creek,5
Werribee - East,5
Knoxfield - Scoresby,5
Altona,5
Box Hill,5
Fitzroy North,5
Rushworth,5
Dandenong North,5
Kerang,5
North Melbourne,5
Taylors Hill,5
Clifton Hill - Alphington,5
Sebastopol - Redan,5
St Arnaud,5
Albert Park,5
Phillip Island,5
Red Cliffs,5
Boronia,5
Ballarat East - Warrenheip,5
Keilor Downs,5
Corangamite - South,5
Monbulk - Silvan,5
Kyabram,5
Euroa,5
Mount Waverley - North,5
Mildura - South,5
Keysborough - South,5
Gladstone Park - Westmeadows,5
Edithvale - Aspendale,5
Traralgon - West,5
Strathmore,4
Altona North,4
Templestowe Lower,4
Upwey - Tecoma,4
Bundoora - East,4
Elwood,4
Malvern East,4
Craigieburn - North,4
Coburg - West,4
Carrum Downs,4
Ardeer - Albion,4
Preston - West,4
Viewbank - Yallambie,4
Mount Evelyn,4
Keilor East,4
Kilsyth,4
Burwood (Vic.),4
Bentleigh - McKinnon,4
Traralgon - East,4
Hampton,4
Frankston South,4
Brighton East,4
Beaumaris,4
Noble Park - West,4
Lalor - East,4
Ferntree Gully (South) - Upper Ferntree Gully,4
Caulfield - South,4
Clayton South,4
Rowville - Central,4
Winchelsea,4
Clifton Springs,4
Yea,4
Rochester,4
Melton,4
Barwon Heads - Armstrong Creek,4
Colac Surrounds,4
Bendigo Surrounds - North,4
Reservoir - South East,4
Roxburgh Park (South) - Somerton,4
Essendon - East,4
Bacchus Marsh Surrounds,4
Northcote - West,4
Rutherglen,4
Seymour Surrounds,4
West Wimmera,4
Flora Hill - Spring Gully,4
Niddrie - Essendon West,4
Cranbourne East - North,4
Yackandandah,4
Alfredton,4
Point Nepean,4
Springvale South,4
Reservoir - North West,4
Epping - South,4
Vermont,4
Sunbury - South,4
Cranbourne West,4
Camberwell,4
Golden Plains - North,4
Rosedale,4
Longford - Loch Sport,4
Yallourn North - Glengarry,4
Prahran - Windsor,4
Doncaster,4
Warrnambool - South,4
Ocean Grove,4
Ormond - Glen Huntly,4
Toorak,4
Kings Park (Vic.),4
West Wodonga,4
Elsternwick,4
Sunbury - West,4
Otway,4
Laverton,4
Warrandyte - Wonga Park,4
Ascot Vale,4
Reservoir - North East,4
Mill Park - North,4
Hoppers Crossing - North,4
Kinglake,4
Macedon,4
Berwick - South East,4
Plenty - Yarrambat,4
Lalor - West,4
Chiltern - Indigo Valley,4
Corio - Lovely Banks,4
Bendigo Surrounds - South,4
Whittlesea,4
Kingsbury,3
Camperdown,3
South Yarra - North,3
Myrtleford,3
Maryborough (Vic.),3
Yarrawonga,3
Point Cook - East,3
Noble Park North,3
Lynbrook - Lyndhurst,3
Collingwood,3
Manor Lakes - Quandong,3
Templestowe,3
Altona Meadows,3
Deer Park,3
Kurunjang - Toolern Vale,3
Parkville,3
Taylors Lakes,3
Richmond (South) - Cremorne,3
Blackburn South,3
Epping - East,3
Hampton Park - East,3
Pakenham - North East,3
Cranbourne North - West,3
Narre Warren South - West,3
Cranbourne East - South,3
Point Cook - North East,3
Bulleen,3
Doreen - North,3
Epping (Vic.) - West,3
Tarneit - South,3
Watsonia,3
Sunshine,3
Keilor,3
Wandin - Seville,3
Sydenham,3
Fitzroy,3
Woodend,3
Kew East,3
Carnegie,3
Port Melbourne Industrial,3
Benalla Surrounds,3
Surrey Hills (East) - Mont Albert,3
Brunswick East,3
Rockbank - Mount Cottrell,3
Mount Martha,3
Kensington (Vic.),3
Heathcote,3
The Basin,3
Montrose,3
Research - North Warrandyte,3
Glen Iris - East,3
Point Lonsdale - Queenscliff,3
Carlton North - Princes Hill,3
Buninyong,3
Kialla,3
South Morang - South,3
Mooroopna,3
St Kilda - Central,3
Merbein,3
Moonee Ponds,3
Bundoora - West,3
Ringwood North,3
Nunawading,3
Noble Park - East,3
Nagambie,3
Beaufort,3
Lorne - Anglesea,3
Ashburton (Vic.),3
East Bendigo - Kennington,3
Dingley Village,3
Hughesdale,3
Dromana,3
Brunswick West,3
Reservoir - South West,3
Chelsea - Bonbeach,3
Hampton Park - West,3
Charlemont,2
South Melbourne,2
Derrimut,2
Brunswick - South,2
Mernda - North,2
Flinders,2
Pakenham - North West,2
Strathfieldsaye,2
Melbourne CBD - East,2
Cairnlea,2
Robinvale,2
Seymour,2
Pearcedale - Tooradin,2
Narre Warren South - East,2
Hillside,2
Melbourne CBD - West,2
Clayton (North) - Notting Hill,2
Hallam,2
Craigieburn - West,2
Highett (West) - Cheltenham,2
Doveton,2
Portarlington,2
Clyde North - North,2
Clayton - Central,2
Clyde North - South,2
Fraser Rise - Plumpton,2
Bannockburn,2
St Kilda East,2
Cranbourne North - East,2
Maribyrnong,2
Kew - West,2
Keysborough - North,2
Point Cook - South,2
Mernda - South,2
Airport West,2
Avondale Heights,2
Horsham Surrounds,2
Croydon - East,2
Clarinda - Oakleigh South,2
Carlton,2
Point Cook - North West,2
Armadale,2
West Footscray - Tottenham,2
Delacombe,2
Alphington - Fairfield,2
Brunswick - North,2
Murrumbeena,2
Chirnside Park,2
Meadow Heights,2
Eynesbury - Exford,2
Mill Park - South,2
Carrum - Patterson Lakes,2
Wyndham Vale - South,2
Heidelberg West,2
Port Melbourne,2
Paynesville,2
Northcote - East,2
Lockington - Gunbower,2
Delahey,2
Maiden Gully,2
Oak Park,2
Abbotsford,2
Mornington - West,2
Bentleigh East - North,2
Pascoe Vale South,2
Moira,2
Narre Warren - North East,2
Ivanhoe East - Eaglemont,1
Chelsea Heights,1
Glenroy - West,1
Tullamarine,1
Truganina - South East,1
Forest Hill,1
Hurstbridge,1
Bayswater North,1
South Morang - North,1
Brookfield,1
West Melbourne - Residential,1
Coburg North,1
Hadfield,1
Hawthorn - North,1
Norlane,1
Riddells Creek,1
Cobblebank - Strathtulloh,1
French Island,1
Southbank - East,1
Lysterfield,1
Rowville - South,1
Craigieburn - Central,1
Seabrook,1
Roxburgh Park - North,1
Berwick - South West,1
Aspendale Gardens - Waterways,1
Skye - Sandhurst,1
Burnside Heights,1
Burnside,1
Rowville - North,1
Leopold,1
St Kilda - West,1
Diggers Rest,1
Smythes Creek,1
Craigieburn - North West,1
Doncaster East - North,1
Croydon South,1
Doreen - South,1
Docklands,1
Truganina - North,1
Wyndham Vale - North,1
Dandenong - South,1
Tarneit (West) - Mount Cottrell,1
Tarneit - North,1
East Melbourne,1
