SA2,Dec 1999 median,Dec 2000 median,Dec 2001 median,Dec 2002 median,Dec 2003 median,Dec 2004 median,Dec 2005 median,Dec 2006 median,Dec 2007 median,Dec 2008 median,Dec 2009 median,Dec 2010 median,Dec 2011 median,Dec 2012 median,Dec 2013 median,Dec 2014 median,Dec 2015 median,Dec 2016 median,Dec 2017 median,Dec 2018 median,Dec 2019 median,Dec 2020 median,Dec 2021 median,Dec 2022 median,Dec 2023 median,Dec 2024 median,Dec 2025 median,Dec 2026 median
Colac Surrounds,115.0,120.0,130.0,150.0,160.0,165.0,180.0,175.0,185.0,200.0,210.0,210.0,230.0,248.0,250.0,258.0,260.0,260.0,285.0,300.0,305.0,325.0,380.0,400.0,410.0,-1,-1,-1
Otway,115.0,120.0,130.0,150.0,160.0,165.0,180.0,175.0,185.0,200.0,210.0,210.0,230.0,248.0,250.0,258.0,260.0,260.0,285.0,300.0,305.0,325.0,380.0,400.0,410.0,-1,-1,-1
Camperdown,100.0,100.0,110.0,120.0,130.0,140.0,150.0,160.0,160.0,170.0,190.0,195.0,200.0,215.0,210.0,230.0,235.0,245.0,240.0,250.0,260.0,290.0,343.0,360.0,363.0,-1,-1,-1
Corangamite - North,100.0,100.0,110.0,120.0,130.0,140.0,150.0,160.0,160.0,170.0,190.0,195.0,200.0,215.0,210.0,230.0,235.0,245.0,240.0,250.0,260.0,290.0,343.0,360.0,363.0,-1,-1,-1
Corangamite - South,100.0,100.0,110.0,120.0,130.0,140.0,150.0,160.0,160.0,170.0,190.0,195.0,200.0,215.0,210.0,230.0,235.0,245.0,240.0,250.0,260.0,290.0,343.0,360.0,363.0,-1,-1,-1
Moyne - East,100.0,100.0,110.0,120.0,130.0,140.0,150.0,160.0,160.0,170.0,190.0,195.0,200.0,215.0,210.0,230.0,235.0,245.0,240.0,250.0,260.0,290.0,343.0,360.0,363.0,-1,-1,-1
Alphington - Fairfield,160.0,170.0,180.0,190.0,190.0,200.0,200.0,220.0,260.0,290.0,300.0,325.0,330.0,330.0,340.0,350.0,360.0,370.0,400.0,400.0,400.0,400.0,390.0,420.0,500.0,-1,-1,-1
Thornbury,160.0,170.0,180.0,190.0,190.0,200.0,200.0,220.0,260.0,290.0,300.0,325.0,330.0,330.0,340.0,350.0,360.0,370.0,400.0,400.0,400.0,400.0,390.0,420.0,500.0,-1,-1,-1
Northcote - East,160.0,170.0,180.0,190.0,190.0,200.0,200.0,220.0,260.0,290.0,300.0,325.0,330.0,330.0,340.0,350.0,360.0,370.0,400.0,400.0,400.0,400.0,390.0,420.0,500.0,-1,-1,-1
Northcote - West,160.0,170.0,180.0,190.0,190.0,200.0,200.0,220.0,260.0,290.0,300.0,325.0,330.0,330.0,340.0,350.0,360.0,370.0,400.0,400.0,400.0,400.0,390.0,420.0,500.0,-1,-1,-1
Kingsbury,160.0,170.0,180.0,190.0,190.0,200.0,200.0,220.0,260.0,290.0,300.0,325.0,330.0,330.0,340.0,350.0,360.0,370.0,400.0,400.0,400.0,400.0,390.0,420.0,500.0,-1,-1,-1
Preston - East,160.0,170.0,180.0,190.0,190.0,200.0,200.0,220.0,260.0,290.0,300.0,325.0,330.0,330.0,340.0,350.0,360.0,370.0,400.0,400.0,400.0,400.0,390.0,420.0,500.0,-1,-1,-1
Preston - West,160.0,170.0,180.0,190.0,190.0,200.0,200.0,220.0,260.0,290.0,300.0,325.0,330.0,330.0,340.0,350.0,360.0,370.0,400.0,400.0,400.0,400.0,390.0,420.0,500.0,-1,-1,-1
Reservoir - North East,160.0,170.0,180.0,190.0,190.0,200.0,200.0,220.0,260.0,290.0,300.0,325.0,330.0,330.0,340.0,350.0,360.0,370.0,400.0,400.0,400.0,400.0,390.0,420.0,500.0,-1,-1,-1
Reservoir - North West,160.0,170.0,180.0,190.0,190.0,200.0,200.0,220.0,260.0,290.0,300.0,325.0,330.0,330.0,340.0,350.0,360.0,370.0,400.0,400.0,400.0,400.0,390.0,420.0,500.0,-1,-1,-1
Reservoir - South East,160.0,170.0,180.0,190.0,190.0,200.0,200.0,220.0,260.0,290.0,300.0,325.0,330.0,330.0,340.0,350.0,360.0,370.0,400.0,400.0,400.0,400.0,390.0,420.0,500.0,-1,-1,-1
Reservoir - South West,160.0,170.0,180.0,190.0,190.0,200.0,200.0,220.0,260.0,290.0,300.0,325.0,330.0,330.0,340.0,350.0,360.0,370.0,400.0,400.0,400.0,400.0,390.0,420.0,500.0,-1,-1,-1
Alps - East,120.0,125.0,130.0,138.0,160.0,165.0,170.0,180.0,180.0,200.0,215.0,220.0,235.0,250.0,250.0,260.0,265.0,270.0,270.0,290.0,295.0,323.0,350.0,390.0,400.0,-1,-1,-1
Bairnsdale,120.0,125.0,130.0,138.0,160.0,165.0,170.0,180.0,180.0,200.0,215.0,220.0,235.0,250.0,250.0,260.0,265.0,270.0,270.0,290.0,295.0,323.0,350.0,390.0,400.0,-1,-1,-1
Bruthen - Omeo,120.0,125.0,130.0,138.0,160.0,165.0,170.0,180.0,180.0,200.0,215.0,220.0,235.0,250.0,250.0,260.0,265.0,270.0,270.0,290.0,295.0,323.0,350.0,390.0,400.0,-1,-1,-1
Lake King,120.0,125.0,130.0,138.0,160.0,165.0,170.0,180.0,180.0,200.0,215.0,220.0,235.0,250.0,250.0,260.0,265.0,270.0,270.0,290.0,295.0,323.0,350.0,390.0,400.0,-1,-1,-1
Lakes Entrance,120.0,125.0,130.0,138.0,160.0,165.0,170.0,180.0,180.0,200.0,215.0,220.0,235.0,250.0,250.0,260.0,265.0,270.0,270.0,290.0,295.0,323.0,350.0,390.0,400.0,-1,-1,-1
Orbost,120.0,125.0,130.0,138.0,160.0,165.0,170.0,180.0,180.0,200.0,215.0,220.0,235.0,250.0,250.0,260.0,265.0,270.0,270.0,290.0,295.0,323.0,350.0,390.0,400.0,-1,-1,-1
Paynesville,120.0,125.0,130.0,138.0,160.0,165.0,170.0,180.0,180.0,200.0,215.0,220.0,235.0,250.0,250.0,260.0,265.0,270.0,270.0,290.0,295.0,323.0,350.0,390.0,400.0,-1,-1,-1
Longford - Loch Sport,120.0,125.0,130.0,138.0,160.0,165.0,170.0,180.0,180.0,200.0,215.0,220.0,235.0,250.0,250.0,260.0,265.0,270.0,270.0,290.0,295.0,323.0,350.0,390.0,400.0,-1,-1,-1
Carrum Downs,150.0,160.0,165.0,175.0,180.0,185.0,191.0,210.0,230.0,260.0,270.0,291.0,300.0,305.0,310.0,320.0,335.0,340.0,360.0,370.0,370.0,380.0,420.0,440.0,500.0,-1,-1,-1
Frankston,150.0,160.0,165.0,175.0,180.0,185.0,191.0,210.0,230.0,260.0,270.0,291.0,300.0,305.0,310.0,320.0,335.0,340.0,360.0,370.0,370.0,380.0,420.0,440.0,500.0,-1,-1,-1
Frankston North,150.0,160.0,165.0,175.0,180.0,185.0,191.0,210.0,230.0,260.0,270.0,291.0,300.0,305.0,310.0,320.0,335.0,340.0,360.0,370.0,370.0,380.0,420.0,440.0,500.0,-1,-1,-1
Frankston South,150.0,160.0,165.0,175.0,180.0,185.0,191.0,210.0,230.0,260.0,270.0,291.0,300.0,305.0,310.0,320.0,335.0,340.0,360.0,370.0,370.0,380.0,420.0,440.0,500.0,-1,-1,-1
Langwarrin,150.0,160.0,165.0,175.0,180.0,185.0,191.0,210.0,230.0,260.0,270.0,291.0,300.0,305.0,310.0,320.0,335.0,340.0,360.0,370.0,370.0,380.0,420.0,440.0,500.0,-1,-1,-1
Seaford (Vic.),150.0,160.0,165.0,175.0,180.0,185.0,191.0,210.0,230.0,260.0,270.0,291.0,300.0,305.0,310.0,320.0,335.0,340.0,360.0,370.0,370.0,380.0,420.0,440.0,500.0,-1,-1,-1
Skye - Sandhurst,150.0,160.0,165.0,175.0,180.0,185.0,191.0,210.0,230.0,260.0,270.0,291.0,300.0,305.0,310.0,320.0,335.0,340.0,360.0,370.0,370.0,380.0,420.0,440.0,500.0,-1,-1,-1
Buloke,110.0,110.0,110.0,110.0,120.0,120.0,127.0,140.0,140.0,144.0,150.0,150.0,150.0,160.0,173.0,180.0,190.0,190.0,200.0,220.0,225.0,238.0,240.0,280.0,305.0,-1,-1,-1
Gannawarra,110.0,110.0,110.0,110.0,120.0,120.0,127.0,140.0,140.0,144.0,150.0,150.0,150.0,160.0,173.0,180.0,190.0,190.0,200.0,220.0,225.0,238.0,240.0,280.0,305.0,-1,-1,-1
Kerang,110.0,110.0,110.0,110.0,120.0,120.0,127.0,140.0,140.0,144.0,150.0,150.0,150.0,160.0,173.0,180.0,190.0,190.0,200.0,220.0,225.0,238.0,240.0,280.0,305.0,-1,-1,-1
Swan Hill Surrounds,110.0,110.0,110.0,110.0,120.0,120.0,127.0,140.0,140.0,144.0,150.0,150.0,150.0,160.0,173.0,180.0,190.0,190.0,200.0,220.0,225.0,238.0,240.0,280.0,305.0,-1,-1,-1
Bentleigh - McKinnon,180.0,190.0,205.0,210.0,220.0,225.0,240.0,250.0,295.0,330.0,345.0,360.0,370.0,370.0,375.0,385.0,400.0,420.0,435.0,450.0,450.0,420.0,420.0,480.0,560.0,-1,-1,-1
Carnegie,180.0,190.0,205.0,210.0,220.0,225.0,240.0,250.0,295.0,330.0,345.0,360.0,370.0,370.0,375.0,385.0,400.0,420.0,435.0,450.0,450.0,420.0,420.0,480.0,560.0,-1,-1,-1
Caulfield - North,180.0,190.0,205.0,210.0,220.0,225.0,240.0,250.0,295.0,330.0,345.0,360.0,370.0,370.0,375.0,385.0,400.0,420.0,435.0,450.0,450.0,420.0,420.0,480.0,560.0,-1,-1,-1
Caulfield - South,180.0,190.0,205.0,210.0,220.0,225.0,240.0,250.0,295.0,330.0,345.0,360.0,370.0,370.0,375.0,385.0,400.0,420.0,435.0,450.0,450.0,420.0,420.0,480.0,560.0,-1,-1,-1
Elsternwick,180.0,190.0,205.0,210.0,220.0,225.0,240.0,250.0,295.0,330.0,345.0,360.0,370.0,370.0,375.0,385.0,400.0,420.0,435.0,450.0,450.0,420.0,420.0,480.0,560.0,-1,-1,-1
Murrumbeena,180.0,190.0,205.0,210.0,220.0,225.0,240.0,250.0,295.0,330.0,345.0,360.0,370.0,370.0,375.0,385.0,400.0,420.0,435.0,450.0,450.0,420.0,420.0,480.0,560.0,-1,-1,-1
Ormond - Glen Huntly,180.0,190.0,205.0,210.0,220.0,225.0,240.0,250.0,295.0,330.0,345.0,360.0,370.0,370.0,375.0,385.0,400.0,420.0,435.0,450.0,450.0,420.0,420.0,480.0,560.0,-1,-1,-1
Bentleigh East - North,180.0,190.0,205.0,210.0,220.0,225.0,240.0,250.0,295.0,330.0,345.0,360.0,370.0,370.0,375.0,385.0,400.0,420.0,435.0,450.0,450.0,420.0,420.0,480.0,560.0,-1,-1,-1
Bentleigh East - South,180.0,190.0,205.0,210.0,220.0,225.0,240.0,250.0,295.0,330.0,345.0,360.0,370.0,370.0,375.0,385.0,400.0,420.0,435.0,450.0,450.0,420.0,420.0,480.0,560.0,-1,-1,-1
Bendigo,140.0,140.0,150.0,165.0,175.0,180.0,190.0,200.0,200.0,220.0,230.0,250.0,270.0,280.0,280.0,280.0,280.0,288.0,290.0,300.0,320.0,350.0,380.0,410.0,443.0,-1,-1,-1
California Gully - Eaglehawk,140.0,140.0,150.0,165.0,175.0,180.0,190.0,200.0,200.0,220.0,230.0,250.0,270.0,280.0,280.0,280.0,280.0,288.0,290.0,300.0,320.0,350.0,380.0,410.0,443.0,-1,-1,-1
East Bendigo - Kennington,140.0,140.0,150.0,165.0,175.0,180.0,190.0,200.0,200.0,220.0,230.0,250.0,270.0,280.0,280.0,280.0,280.0,288.0,290.0,300.0,320.0,350.0,380.0,410.0,443.0,-1,-1,-1
Flora Hill - Spring Gully,140.0,140.0,150.0,165.0,175.0,180.0,190.0,200.0,200.0,220.0,230.0,250.0,270.0,280.0,280.0,280.0,280.0,288.0,290.0,300.0,320.0,350.0,380.0,410.0,443.0,-1,-1,-1
Kangaroo Flat - Golden Square,140.0,140.0,150.0,165.0,175.0,180.0,190.0,200.0,200.0,220.0,230.0,250.0,270.0,280.0,280.0,280.0,280.0,288.0,290.0,300.0,320.0,350.0,380.0,410.0,443.0,-1,-1,-1
Maiden Gully,140.0,140.0,150.0,165.0,175.0,180.0,190.0,200.0,200.0,220.0,230.0,250.0,270.0,280.0,280.0,280.0,280.0,288.0,290.0,300.0,320.0,350.0,380.0,410.0,443.0,-1,-1,-1
Strathfieldsaye,140.0,140.0,150.0,165.0,175.0,180.0,190.0,200.0,200.0,220.0,230.0,250.0,270.0,280.0,280.0,280.0,280.0,288.0,290.0,300.0,320.0,350.0,380.0,410.0,443.0,-1,-1,-1
White Hills - Ascot,140.0,140.0,150.0,165.0,175.0,180.0,190.0,200.0,200.0,220.0,230.0,250.0,270.0,280.0,280.0,280.0,280.0,288.0,290.0,300.0,320.0,350.0,380.0,410.0,443.0,-1,-1,-1
Bendigo Surrounds - South,140.0,140.0,150.0,165.0,175.0,180.0,190.0,200.0,200.0,220.0,230.0,250.0,270.0,280.0,280.0,280.0,280.0,288.0,290.0,300.0,320.0,350.0,380.0,410.0,443.0,-1,-1,-1
Heathcote,140.0,140.0,150.0,165.0,175.0,180.0,190.0,200.0,200.0,220.0,230.0,250.0,270.0,280.0,280.0,280.0,280.0,288.0,290.0,300.0,320.0,350.0,380.0,410.0,443.0,-1,-1,-1
Bendigo Surrounds - North,140.0,140.0,150.0,165.0,175.0,180.0,190.0,200.0,200.0,220.0,230.0,250.0,270.0,280.0,280.0,280.0,280.0,288.0,290.0,300.0,320.0,350.0,380.0,410.0,443.0,-1,-1,-1
Dandenong North,140.0,145.0,150.0,155.0,160.0,165.0,175.0,190.0,225.0,250.0,277.0,290.0,300.0,300.0,304.0,320.0,330.0,335.0,350.0,360.0,355.0,355.0,360.0,395.0,470.0,-1,-1,-1
Noble Park North,140.0,145.0,150.0,155.0,160.0,165.0,175.0,190.0,225.0,250.0,277.0,290.0,300.0,300.0,304.0,320.0,330.0,335.0,350.0,360.0,355.0,355.0,360.0,395.0,470.0,-1,-1,-1
Springvale,140.0,145.0,150.0,155.0,160.0,165.0,175.0,190.0,225.0,250.0,277.0,290.0,300.0,300.0,304.0,320.0,330.0,335.0,350.0,360.0,355.0,355.0,360.0,395.0,470.0,-1,-1,-1
Springvale South,140.0,145.0,150.0,155.0,160.0,165.0,175.0,190.0,225.0,250.0,277.0,290.0,300.0,300.0,304.0,320.0,330.0,335.0,350.0,360.0,355.0,355.0,360.0,395.0,470.0,-1,-1,-1
Noble Park - East,140.0,145.0,150.0,155.0,160.0,165.0,175.0,190.0,225.0,250.0,277.0,290.0,300.0,300.0,304.0,320.0,330.0,335.0,350.0,360.0,355.0,355.0,360.0,395.0,470.0,-1,-1,-1
Noble Park - West,140.0,145.0,150.0,155.0,160.0,165.0,175.0,190.0,225.0,250.0,277.0,290.0,300.0,300.0,304.0,320.0,330.0,335.0,350.0,360.0,355.0,355.0,360.0,395.0,470.0,-1,-1,-1
Dandenong - North,140.0,145.0,150.0,155.0,160.0,165.0,175.0,190.0,225.0,250.0,277.0,290.0,300.0,300.0,304.0,320.0,330.0,335.0,350.0,360.0,355.0,355.0,360.0,395.0,470.0,-1,-1,-1
Dandenong - South,140.0,145.0,150.0,155.0,160.0,165.0,175.0,190.0,225.0,250.0,277.0,290.0,300.0,300.0,304.0,320.0,330.0,335.0,350.0,360.0,355.0,355.0,360.0,395.0,470.0,-1,-1,-1
Keysborough - North,140.0,145.0,150.0,155.0,160.0,165.0,175.0,190.0,225.0,250.0,277.0,290.0,300.0,300.0,304.0,320.0,330.0,335.0,350.0,360.0,355.0,355.0,360.0,395.0,470.0,-1,-1,-1
Keysborough - South,140.0,145.0,150.0,155.0,160.0,165.0,175.0,190.0,225.0,250.0,277.0,290.0,300.0,300.0,304.0,320.0,330.0,335.0,350.0,360.0,355.0,355.0,360.0,395.0,470.0,-1,-1,-1
Belmont,140.0,145.0,155.0,165.0,180.0,180.0,190.0,200.0,220.0,250.0,260.0,282.0,295.0,300.0,300.0,310.0,315.0,330.0,345.0,360.0,375.0,380.0,415.0,450.0,460.0,-1,-1,-1
Geelong,140.0,145.0,155.0,165.0,180.0,180.0,190.0,200.0,220.0,250.0,260.0,282.0,295.0,300.0,300.0,310.0,315.0,330.0,345.0,360.0,375.0,380.0,415.0,450.0,460.0,-1,-1,-1
Geelong West - Hamlyn Heights,140.0,145.0,155.0,165.0,180.0,180.0,190.0,200.0,220.0,250.0,260.0,282.0,295.0,300.0,300.0,310.0,315.0,330.0,345.0,360.0,375.0,380.0,415.0,450.0,460.0,-1,-1,-1
Highton,140.0,145.0,155.0,165.0,180.0,180.0,190.0,200.0,220.0,250.0,260.0,282.0,295.0,300.0,300.0,310.0,315.0,330.0,345.0,360.0,375.0,380.0,415.0,450.0,460.0,-1,-1,-1
Lara,140.0,145.0,155.0,165.0,180.0,180.0,190.0,200.0,220.0,250.0,260.0,282.0,295.0,300.0,300.0,310.0,315.0,330.0,345.0,360.0,375.0,380.0,415.0,450.0,460.0,-1,-1,-1
Leopold,140.0,145.0,155.0,165.0,180.0,180.0,190.0,200.0,220.0,250.0,260.0,282.0,295.0,300.0,300.0,310.0,315.0,330.0,345.0,360.0,375.0,380.0,415.0,450.0,460.0,-1,-1,-1
Newcomb - Moolap,140.0,145.0,155.0,165.0,180.0,180.0,190.0,200.0,220.0,250.0,260.0,282.0,295.0,300.0,300.0,310.0,315.0,330.0,345.0,360.0,375.0,380.0,415.0,450.0,460.0,-1,-1,-1
Newtown (Vic.),140.0,145.0,155.0,165.0,180.0,180.0,190.0,200.0,220.0,250.0,260.0,282.0,295.0,300.0,300.0,310.0,315.0,330.0,345.0,360.0,375.0,380.0,415.0,450.0,460.0,-1,-1,-1
North Geelong - Bell Park,140.0,145.0,155.0,165.0,180.0,180.0,190.0,200.0,220.0,250.0,260.0,282.0,295.0,300.0,300.0,310.0,315.0,330.0,345.0,360.0,375.0,380.0,415.0,450.0,460.0,-1,-1,-1
Charlemont,140.0,145.0,155.0,165.0,180.0,180.0,190.0,200.0,220.0,250.0,260.0,282.0,295.0,300.0,300.0,310.0,315.0,330.0,345.0,360.0,375.0,380.0,415.0,450.0,460.0,-1,-1,-1
Corio - Lovely Banks,140.0,145.0,155.0,165.0,180.0,180.0,190.0,200.0,220.0,250.0,260.0,282.0,295.0,300.0,300.0,310.0,315.0,330.0,345.0,360.0,375.0,380.0,415.0,450.0,460.0,-1,-1,-1
Grovedale - Mount Duneed,140.0,145.0,155.0,165.0,180.0,180.0,190.0,200.0,220.0,250.0,260.0,282.0,295.0,300.0,300.0,310.0,315.0,330.0,345.0,360.0,375.0,380.0,415.0,450.0,460.0,-1,-1,-1
Norlane,140.0,145.0,155.0,165.0,180.0,180.0,190.0,200.0,220.0,250.0,260.0,282.0,295.0,300.0,300.0,310.0,315.0,330.0,345.0,360.0,375.0,380.0,415.0,450.0,460.0,-1,-1,-1
Clifton Springs,140.0,145.0,155.0,165.0,180.0,180.0,190.0,200.0,220.0,250.0,260.0,282.0,295.0,300.0,300.0,310.0,315.0,330.0,345.0,360.0,375.0,380.0,415.0,450.0,460.0,-1,-1,-1
Portarlington,140.0,145.0,155.0,165.0,180.0,180.0,190.0,200.0,220.0,250.0,260.0,282.0,295.0,300.0,300.0,310.0,315.0,330.0,345.0,360.0,375.0,380.0,415.0,450.0,460.0,-1,-1,-1
Point Lonsdale - Queenscliff,140.0,145.0,155.0,165.0,180.0,180.0,190.0,200.0,220.0,250.0,260.0,282.0,295.0,300.0,300.0,310.0,315.0,330.0,345.0,360.0,375.0,380.0,415.0,450.0,460.0,-1,-1,-1
Barwon Heads - Armstrong Creek,140.0,145.0,155.0,165.0,180.0,180.0,190.0,200.0,220.0,250.0,260.0,282.0,295.0,300.0,300.0,310.0,315.0,330.0,345.0,360.0,375.0,380.0,415.0,450.0,460.0,-1,-1,-1
Ocean Grove,140.0,145.0,155.0,165.0,180.0,180.0,190.0,200.0,220.0,250.0,260.0,282.0,295.0,300.0,300.0,310.0,315.0,330.0,345.0,360.0,375.0,380.0,415.0,450.0,460.0,-1,-1,-1
Benalla Surrounds,140.0,140.0,155.0,160.0,165.0,170.0,180.0,180.0,188.0,200.0,220.0,220.0,240.0,240.0,250.0,265.0,260.0,268.0,275.0,280.0,295.0,310.0,340.0,390.0,400.0,-1,-1,-1
Mooroopna,140.0,140.0,155.0,160.0,165.0,170.0,180.0,180.0,188.0,200.0,220.0,220.0,240.0,240.0,250.0,265.0,260.0,268.0,275.0,280.0,295.0,310.0,340.0,390.0,400.0,-1,-1,-1
Shepparton - North,140.0,140.0,155.0,160.0,165.0,170.0,180.0,180.0,188.0,200.0,220.0,220.0,240.0,240.0,250.0,265.0,260.0,268.0,275.0,280.0,295.0,310.0,340.0,390.0,400.0,-1,-1,-1
Shepparton Surrounds - East,140.0,140.0,155.0,160.0,165.0,170.0,180.0,180.0,188.0,200.0,220.0,220.0,240.0,240.0,250.0,265.0,260.0,268.0,275.0,280.0,295.0,310.0,340.0,390.0,400.0,-1,-1,-1
Shepparton Surrounds - West,140.0,140.0,155.0,160.0,165.0,170.0,180.0,180.0,188.0,200.0,220.0,220.0,240.0,240.0,250.0,265.0,260.0,268.0,275.0,280.0,295.0,310.0,340.0,390.0,400.0,-1,-1,-1
Kialla,140.0,140.0,155.0,160.0,165.0,170.0,180.0,180.0,188.0,200.0,220.0,220.0,240.0,240.0,250.0,265.0,260.0,268.0,275.0,280.0,295.0,310.0,340.0,390.0,400.0,-1,-1,-1
Shepparton - South East,140.0,140.0,155.0,160.0,165.0,170.0,180.0,180.0,188.0,200.0,220.0,220.0,240.0,240.0,250.0,265.0,260.0,268.0,275.0,280.0,295.0,310.0,340.0,390.0,400.0,-1,-1,-1
Daylesford,130.0,135.0,145.0,155.0,160.0,170.0,180.0,190.0,200.0,205.0,225.0,250.0,273.0,280.0,283.0,300.0,320.0,310.0,320.0,350.0,360.0,380.0,390.0,420.0,413.0,-1,-1,-1
Nhill Region,100.0,100.0,110.0,103.0,125.0,120.0,130.0,123.0,135.0,130.0,148.0,145.0,140.0,168.0,168.0,180.0,160.0,180.0,168.0,165.0,183.0,200.0,255.0,250.0,288.0,-1,-1,-1
Altona,170.0,180.0,190.0,190.0,200.0,200.0,220.0,230.0,250.0,280.0,300.0,320.0,320.0,330.0,330.0,350.0,370.0,380.0,410.0,420.0,430.0,425.0,415.0,450.0,500.0,-1,-1,-1
Altona Meadows,170.0,180.0,190.0,190.0,200.0,200.0,220.0,230.0,250.0,280.0,300.0,320.0,320.0,330.0,330.0,350.0,370.0,380.0,410.0,420.0,430.0,425.0,415.0,450.0,500.0,-1,-1,-1
Altona North,170.0,180.0,190.0,190.0,200.0,200.0,220.0,230.0,250.0,280.0,300.0,320.0,320.0,330.0,330.0,350.0,370.0,380.0,410.0,420.0,430.0,425.0,415.0,450.0,500.0,-1,-1,-1
Newport,170.0,180.0,190.0,190.0,200.0,200.0,220.0,230.0,250.0,280.0,300.0,320.0,320.0,330.0,330.0,350.0,370.0,380.0,410.0,420.0,430.0,425.0,415.0,450.0,500.0,-1,-1,-1
Seabrook,170.0,180.0,190.0,190.0,200.0,200.0,220.0,230.0,250.0,280.0,300.0,320.0,320.0,330.0,330.0,350.0,370.0,380.0,410.0,420.0,430.0,425.0,415.0,450.0,500.0,-1,-1,-1
Williamstown,170.0,180.0,190.0,190.0,200.0,200.0,220.0,230.0,250.0,280.0,300.0,320.0,320.0,330.0,330.0,350.0,370.0,380.0,410.0,420.0,430.0,425.0,415.0,450.0,500.0,-1,-1,-1
Laverton,170.0,180.0,190.0,190.0,200.0,200.0,220.0,230.0,250.0,280.0,300.0,320.0,320.0,330.0,330.0,350.0,370.0,380.0,410.0,420.0,430.0,425.0,415.0,450.0,500.0,-1,-1,-1
Horsham,120.0,125.0,127.0,135.0,145.0,160.0,160.0,165.0,170.0,175.0,180.0,190.0,210.0,222.0,230.0,250.0,250.0,255.0,275.0,270.0,270.0,298.0,330.0,340.0,350.0,-1,-1,-1
Horsham Surrounds,120.0,125.0,127.0,135.0,145.0,160.0,160.0,165.0,170.0,175.0,180.0,190.0,210.0,222.0,230.0,250.0,250.0,255.0,275.0,270.0,270.0,298.0,330.0,340.0,350.0,-1,-1,-1
Sunbury,170.0,175.0,185.0,190.0,200.0,200.0,205.0,220.0,240.0,280.0,300.0,310.0,320.0,320.0,320.0,330.0,340.0,350.0,370.0,380.0,380.0,390.0,390.0,420.0,485.0,-1,-1,-1
Sunbury - South,170.0,175.0,185.0,190.0,200.0,200.0,205.0,220.0,240.0,280.0,300.0,310.0,320.0,320.0,320.0,330.0,340.0,350.0,370.0,380.0,380.0,390.0,390.0,420.0,485.0,-1,-1,-1
Sunbury - West,170.0,175.0,185.0,190.0,200.0,200.0,205.0,220.0,240.0,280.0,300.0,310.0,320.0,320.0,320.0,330.0,340.0,350.0,370.0,380.0,380.0,390.0,390.0,420.0,485.0,-1,-1,-1
Broadmeadows,170.0,175.0,185.0,190.0,200.0,200.0,205.0,220.0,240.0,280.0,300.0,310.0,320.0,320.0,320.0,330.0,340.0,350.0,370.0,380.0,380.0,390.0,390.0,420.0,485.0,-1,-1,-1
Campbellfield - Coolaroo,170.0,175.0,185.0,190.0,200.0,200.0,205.0,220.0,240.0,280.0,300.0,310.0,320.0,320.0,320.0,330.0,340.0,350.0,370.0,380.0,380.0,390.0,390.0,420.0,485.0,-1,-1,-1
Gladstone Park - Westmeadows,170.0,175.0,185.0,190.0,200.0,200.0,205.0,220.0,240.0,280.0,300.0,310.0,320.0,320.0,320.0,330.0,340.0,350.0,370.0,380.0,380.0,390.0,390.0,420.0,485.0,-1,-1,-1
Greenvale - Bulla,170.0,175.0,185.0,190.0,200.0,200.0,205.0,220.0,240.0,280.0,300.0,310.0,320.0,320.0,320.0,330.0,340.0,350.0,370.0,380.0,380.0,390.0,390.0,420.0,485.0,-1,-1,-1
Meadow Heights,170.0,175.0,185.0,190.0,200.0,200.0,205.0,220.0,240.0,280.0,300.0,310.0,320.0,320.0,320.0,330.0,340.0,350.0,370.0,380.0,380.0,390.0,390.0,420.0,485.0,-1,-1,-1
Melbourne Airport,170.0,175.0,185.0,190.0,200.0,200.0,205.0,220.0,240.0,280.0,300.0,310.0,320.0,320.0,320.0,330.0,340.0,350.0,370.0,380.0,380.0,390.0,390.0,420.0,485.0,-1,-1,-1
Tullamarine,170.0,175.0,185.0,190.0,200.0,200.0,205.0,220.0,240.0,280.0,300.0,310.0,320.0,320.0,320.0,330.0,340.0,350.0,370.0,380.0,380.0,390.0,390.0,420.0,485.0,-1,-1,-1
Craigieburn - Central,170.0,175.0,185.0,190.0,200.0,200.0,205.0,220.0,240.0,280.0,300.0,310.0,320.0,320.0,320.0,330.0,340.0,350.0,370.0,380.0,380.0,390.0,390.0,420.0,485.0,-1,-1,-1
Craigieburn - North,170.0,175.0,185.0,190.0,200.0,200.0,205.0,220.0,240.0,280.0,300.0,310.0,320.0,320.0,320.0,330.0,340.0,350.0,370.0,380.0,380.0,390.0,390.0,420.0,485.0,-1,-1,-1
Craigieburn - South,170.0,175.0,185.0,190.0,200.0,200.0,205.0,220.0,240.0,280.0,300.0,310.0,320.0,320.0,320.0,330.0,340.0,350.0,370.0,380.0,380.0,390.0,390.0,420.0,485.0,-1,-1,-1
Mickleham - Yuroke,170.0,175.0,185.0,190.0,200.0,200.0,205.0,220.0,240.0,280.0,300.0,310.0,320.0,320.0,320.0,330.0,340.0,350.0,370.0,380.0,380.0,390.0,390.0,420.0,485.0,-1,-1,-1
Craigieburn - North West,170.0,175.0,185.0,190.0,200.0,200.0,205.0,220.0,240.0,280.0,300.0,310.0,320.0,320.0,320.0,330.0,340.0,350.0,370.0,380.0,380.0,390.0,390.0,420.0,485.0,-1,-1,-1
