SA2,Dec 1999 median,Dec 2000 median,Dec 2001 median,Dec 2002 median,Dec 2003 median,Dec 2004 median,Dec 2005 median,Dec 2006 median,Dec 2007 median,Dec 2008 median,Dec 2009 median,Dec 2010 median,Dec 2011 median,Dec 2012 median,Dec 2013 median,Dec 2014 median,Dec 2015 median,Dec 2016 median,Dec 2017 median,Dec 2018 median,Dec 2019 median,Dec 2020 median,Dec 2021 median,Dec 2022 median,Dec 2023 median,Dec 2024 median,Dec 2025 median,Dec 2026 median
Montmorency - Briar Hill,180.0,190.0,200.0,215.0,220.0,230.0,240.0,250.0,285.0,320.0,320.0,340.0,350.0,350.0,350.0,360.0,365.0,380.0,410.0,410.0,420.0,410.0,410.0,450.0,500.0,-1,-1,-1
Viewbank - Yallambie,180.0,190.0,200.0,215.0,220.0,230.0,240.0,250.0,285.0,320.0,320.0,340.0,350.0,350.0,350.0,360.0,365.0,380.0,410.0,410.0,420.0,410.0,410.0,450.0,500.0,-1,-1,-1
Watsonia,180.0,190.0,200.0,215.0,220.0,230.0,240.0,250.0,285.0,320.0,320.0,340.0,350.0,350.0,350.0,360.0,365.0,380.0,410.0,410.0,420.0,410.0,410.0,450.0,500.0,-1,-1,-1
Korumburra,110.0,120.0,130.0,138.0,155.0,160.0,165.0,175.0,180.0,200.0,240.0,310.0,340.0,250.0,250.0,260.0,253.0,278.0,280.0,300.0,330.0,350.0,420.0,430.0,450.0,-1,-1,-1
Phillip Island,110.0,120.0,130.0,138.0,155.0,160.0,165.0,175.0,180.0,200.0,240.0,310.0,340.0,250.0,250.0,260.0,253.0,278.0,280.0,300.0,330.0,350.0,420.0,430.0,450.0,-1,-1,-1
Wonthaggi - Inverloch,110.0,120.0,130.0,138.0,155.0,160.0,165.0,175.0,180.0,200.0,240.0,310.0,340.0,250.0,250.0,260.0,253.0,278.0,280.0,300.0,330.0,350.0,420.0,430.0,450.0,-1,-1,-1
Drouin,130.0,130.0,145.0,155.0,165.0,180.0,180.0,180.0,190.0,220.0,235.0,250.0,260.0,278.0,280.0,290.0,300.0,300.0,320.0,345.0,330.0,370.0,390.0,435.0,450.0,-1,-1,-1
Mount Baw Baw Region,130.0,130.0,145.0,155.0,165.0,180.0,180.0,180.0,190.0,220.0,235.0,250.0,260.0,278.0,280.0,290.0,300.0,300.0,320.0,345.0,330.0,370.0,390.0,435.0,450.0,-1,-1,-1
Trafalgar (Vic.),130.0,130.0,145.0,155.0,165.0,180.0,180.0,180.0,190.0,220.0,235.0,250.0,260.0,278.0,280.0,290.0,300.0,300.0,320.0,345.0,330.0,370.0,390.0,435.0,450.0,-1,-1,-1
Warragul,130.0,130.0,145.0,155.0,165.0,180.0,180.0,180.0,190.0,220.0,235.0,250.0,260.0,278.0,280.0,290.0,300.0,300.0,320.0,345.0,330.0,370.0,390.0,435.0,450.0,-1,-1,-1
Leongatha,130.0,130.0,145.0,155.0,165.0,180.0,180.0,180.0,190.0,220.0,235.0,250.0,260.0,278.0,280.0,290.0,300.0,300.0,320.0,345.0,330.0,370.0,390.0,435.0,450.0,-1,-1,-1
Moe - Newborough,130.0,130.0,145.0,155.0,165.0,180.0,180.0,180.0,190.0,220.0,235.0,250.0,260.0,278.0,280.0,290.0,300.0,300.0,320.0,345.0,330.0,370.0,390.0,435.0,450.0,-1,-1,-1
Yallourn North - Glengarry,130.0,130.0,145.0,155.0,165.0,180.0,180.0,180.0,190.0,220.0,235.0,250.0,260.0,278.0,280.0,290.0,300.0,300.0,320.0,345.0,330.0,370.0,390.0,435.0,450.0,-1,-1,-1
Ashburton (Vic.),220.0,230.0,240.0,250.0,250.0,270.0,270.0,290.0,340.0,371.0,380.0,390.0,400.0,410.0,420.0,420.0,420.0,450.0,465.0,480.0,485.0,445.0,440.0,485.0,575.0,-1,-1,-1
Balwyn,220.0,230.0,240.0,250.0,250.0,270.0,270.0,290.0,340.0,371.0,380.0,390.0,400.0,410.0,420.0,420.0,420.0,450.0,465.0,480.0,485.0,445.0,440.0,485.0,575.0,-1,-1,-1
Balwyn North,220.0,230.0,240.0,250.0,250.0,270.0,270.0,290.0,340.0,371.0,380.0,390.0,400.0,410.0,420.0,420.0,420.0,450.0,465.0,480.0,485.0,445.0,440.0,485.0,575.0,-1,-1,-1
Camberwell,220.0,230.0,240.0,250.0,250.0,270.0,270.0,290.0,340.0,371.0,380.0,390.0,400.0,410.0,420.0,420.0,420.0,450.0,465.0,480.0,485.0,445.0,440.0,485.0,575.0,-1,-1,-1
Glen Iris - East,220.0,230.0,240.0,250.0,250.0,270.0,270.0,290.0,340.0,371.0,380.0,390.0,400.0,410.0,420.0,420.0,420.0,450.0,465.0,480.0,485.0,445.0,440.0,485.0,575.0,-1,-1,-1
Hawthorn East,220.0,230.0,240.0,250.0,250.0,270.0,270.0,290.0,340.0,371.0,380.0,390.0,400.0,410.0,420.0,420.0,420.0,450.0,465.0,480.0,485.0,445.0,440.0,485.0,575.0,-1,-1,-1
Kew East,220.0,230.0,240.0,250.0,250.0,270.0,270.0,290.0,340.0,371.0,380.0,390.0,400.0,410.0,420.0,420.0,420.0,450.0,465.0,480.0,485.0,445.0,440.0,485.0,575.0,-1,-1,-1
Surrey Hills (West) - Canterbury,220.0,230.0,240.0,250.0,250.0,270.0,270.0,290.0,340.0,371.0,380.0,390.0,400.0,410.0,420.0,420.0,420.0,450.0,465.0,480.0,485.0,445.0,440.0,485.0,575.0,-1,-1,-1
