population,population_density,percentage_working_population,internal_arrivals,nBusiness,nHouses,nTownhouses,nApartments,nDwellings,median_income,nJob,percentage_year_12,nEmployed,nUnEmployed,nRented,nHomeless,year,region,median
17562.628571428562,2390.7438095238103,12753.200000000012,7231.0,1598.7999999999884,3268.761904761908,1824.5238095238092,7.895238095254172,5012.238095238106,46894.89999999991,11163.0,59.47333333333336,6990.066666666651,326.7333333333336,1459.133333333335,42.666666666666515,2007,Williamstown,250.0
17483.28571428571,2379.938095238096,12591.600000000035,6852.0,1638.8999999999942,3293.647619047624,1853.2952380952338,7.895238095254172,5156.952380952425,48467.799999999814,11336.400000000023,60.3133333333335,7070.466666666645,333.1333333333332,1465.9333333333343,40.666666666666515,2008,Williamstown,280.0
17403.942857142858,2369.132380952382,12430.000000000058,6473.0,1679.0,3318.53333333334,1882.0666666666657,98.26666666666279,5301.666666666686,50040.69999999972,11509.800000000047,61.15333333333342,7150.8666666666395,339.53333333333285,1472.7333333333336,38.666666666666515,2009,Williamstown,300.0
17324.600000000006,2358.3266666666677,12268.400000000023,6094.0,1719.0999999999913,3343.419047619056,1910.8380952380903,188.6380952381005,5446.380952381005,51613.59999999963,11683.200000000012,61.99333333333334,7231.266666666634,345.9333333333325,1479.5333333333347,36.666666666666515,2010,Williamstown,320.0
17245.257142857125,2347.5209523809535,12106.800000000047,5715.0,1759.199999999997,3368.3047619047647,1939.6095238095222,279.0095238095382,5591.095238095266,53186.5,11856.600000000035,62.833333333333485,7311.666666666657,352.33333333333394,1486.333333333334,34.666666666666515,2011,Williamstown,320.0
17165.914285714272,2336.7152380952393,11945.200000000012,5336.0,1799.2999999999884,3393.1904761904807,1968.3809523809468,369.38095238094684,5735.809523809585,54759.39999999991,12030.0,63.6733333333334,7392.066666666651,358.7333333333336,1493.133333333335,32.666666666666515,2012,Williamstown,330.0
17086.57142857142,2325.909523809525,11783.600000000035,4957.0,1839.3999999999942,3418.0761904761966,1997.1523809523787,459.75238095238456,5880.523809523846,56332.299999999814,12203.400000000023,64.51333333333332,7472.466666666645,365.1333333333332,1499.9333333333343,30.666666666666515,2013,Williamstown,330.0
17007.228571428568,2315.103809523811,11622.000000000058,4578.0,1879.5,3442.9619047619126,2025.9238095238106,550.1238095238223,6025.238095238106,57905.19999999972,12376.800000000047,65.35333333333347,7552.8666666666395,371.53333333333285,1506.7333333333336,28.666666666666515,2014,Williamstown,350.0
16927.885714285716,2304.2980952380967,11460.400000000023,4199.0,1919.5999999999913,3467.8476190476285,2054.6952380952353,640.4952380952309,6169.952380952425,59478.09999999963,12550.200000000012,66.19333333333338,7633.266666666634,377.9333333333325,1513.5333333333347,26.666666666666515,2015,Williamstown,370.0
16848.542857142864,2293.4923809523825,11298.800000000047,3820.0,1959.699999999997,3492.733333333337,2083.466666666667,730.8666666666686,6314.666666666686,61051.0,12723.600000000035,67.0333333333333,7713.666666666657,384.33333333333394,1520.333333333334,24.666666666666515,2016,Williamstown,380.0
16769.199999999983,2282.6866666666683,11137.200000000012,3441.0,1999.7999999999884,3517.619047619053,2112.238095238092,821.2380952381063,6459.380952381005,62623.89999999991,12897.0,67.87333333333345,7794.066666666651,390.7333333333336,1527.133333333335,22.666666666666515,2017,Williamstown,410.0
16689.85714285713,2271.880952380954,10975.600000000035,3062.0,2039.8999999999942,3542.504761904769,2141.0095238095237,911.6095238095149,6604.095238095266,64196.799999999814,13070.400000000023,68.71333333333337,7874.466666666645,397.1333333333332,1533.9333333333343,20.666666666666515,2018,Williamstown,420.0
16610.51428571428,2261.07523809524,10814.000000000058,2683.0,2080.0,3567.390476190485,2169.7809523809483,1001.9809523809527,6748.809523809585,65769.69999999972,13243.800000000047,69.55333333333351,7954.8666666666395,403.53333333333285,1540.7333333333336,18.666666666666515,2019,Williamstown,430.0
16531.171428571426,2250.2695238095257,10652.400000000023,2304.0,2120.0999999999913,3592.2761904761937,2198.55238095238,1092.3523809523904,6893.523809523846,67342.59999999963,13417.200000000012,70.39333333333343,8035.266666666634,409.9333333333325,1547.5333333333347,16.666666666666515,2020,Williamstown,425.0
16451.828571428574,2239.463809523808,10490.800000000047,1925.0,2160.199999999997,3617.1619047619097,2227.323809523805,1182.723809523828,7038.238095238106,68915.5,13590.600000000035,71.23333333333335,8115.666666666657,416.33333333333394,1554.333333333334,14.666666666666515,2021,Williamstown,415.0
16372.485714285693,2228.6580952380937,10329.200000000012,1546.0,2200.2999999999884,3642.0476190476256,2256.0952380952367,1273.0952380952367,7182.952380952425,70488.3999999999,13764.0,72.0733333333335,8196.066666666651,422.7333333333336,1561.133333333335,12.666666666666515,2022,Williamstown,450.0
16293.14285714284,2217.8523809523795,10167.600000000035,1167.0,2240.399999999994,3666.9333333333416,2284.8666666666613,1363.4666666666744,7327.666666666686,72061.29999999981,13937.400000000023,72.91333333333341,8276.466666666645,429.1333333333332,1567.9333333333343,10.666666666666515,2023,Williamstown,500.0
