region,year,median
Leopold,1999,140.0
Newcomb - Moolap,1999,140.0
Newtown (Vic.),1999,140.0
North Geelong - Bell Park,1999,140.0
Charlemont,1999,140.0
Corio - Lovely Banks,1999,140.0
Grovedale - Mount Duneed,1999,140.0
Norlane,1999,140.0
Clifton Springs,1999,140.0
Portarlington,1999,140.0
Point Lonsdale - Queenscliff,1999,140.0
Barwon Heads - Armstrong Creek,1999,140.0
Ocean Grove,1999,140.0
Benalla Surrounds,1999,140.0
Mooroopna,1999,140.0
Shepparton - North,1999,140.0
Shepparton Surrounds - East,1999,140.0
Shepparton Surrounds - West,1999,140.0
Kialla,1999,140.0
Shepparton - South East,1999,140.0
Daylesford,1999,130.0
Nhill Region,1999,100.0
Altona,1999,170.0
Altona Meadows,1999,170.0
Altona North,1999,170.0
Newport,1999,170.0
Seabrook,1999,170.0
Williamstown,1999,170.0
Laverton,1999,170.0
Horsham,1999,120.0
Horsham Surrounds,1999,120.0
Sunbury,1999,170.0
Sunbury - South,1999,170.0
Sunbury - West,1999,170.0
Broadmeadows,1999,170.0
Campbellfield - Coolaroo,1999,170.0
Gladstone Park - Westmeadows,1999,170.0
Greenvale - Bulla,1999,170.0
Meadow Heights,1999,170.0
Melbourne Airport,1999,170.0
Tullamarine,1999,170.0
Craigieburn - Central,1999,170.0
Craigieburn - North,1999,170.0
Craigieburn - South,1999,170.0
Mickleham - Yuroke,1999,170.0
Craigieburn - North West,1999,170.0
Craigieburn - West,1999,170.0
Roxburgh Park (South) - Somerton,1999,170.0
Roxburgh Park - North,1999,170.0
Rutherglen,1999,130.0
Beechworth,1999,130.0
Chiltern - Indigo Valley,1999,130.0
Bayswater,1999,180.0
Knoxfield - Scoresby,1999,180.0
Lysterfield,1999,180.0
Rowville - Central,1999,180.0
Rowville - North,1999,180.0
Rowville - South,1999,180.0
Wantirna,1999,180.0
Wantirna South,1999,180.0
Boronia,1999,180.0
Ferntree Gully - North,1999,180.0
Ferntree Gully (South) - Upper Ferntree Gully,1999,180.0
The Basin,1999,180.0
Kyneton,1999,150.0
Woodend,1999,150.0
Gisborne,1999,150.0
Macedon,1999,150.0
Riddells Creek,1999,150.0
Romsey,1999,150.0
Templestowe,1999,220.0
Templestowe Lower,1999,220.0
Doncaster East - North,1999,220.0
Doncaster East - South,1999,220.0
Donvale - Park Orchards,1999,220.0
Warrandyte - Wonga Park,1999,220.0
Nunawading,1999,220.0
Braybrook,1999,150.0
Footscray,1999,150.0
Maribyrnong,1999,150.0
Seddon - Kingsville,1999,150.0
West Footscray - Tottenham,1999,150.0
Yarraville,1999,150.0
Bayswater North,1999,165.0
Croydon Hills - Warranwood,1999,165.0
Ringwood,1999,165.0
Ringwood East,1999,165.0
Ringwood North,1999,165.0
Croydon - East,1999,165.0
Croydon - West,1999,165.0
Croydon South,1999,165.0
Vermont,1999,165.0
Carlton,1999,270.0
Docklands,1999,270.0
East Melbourne,1999,270.0
Flemington Racecourse,1999,270.0
Kensington (Vic.),1999,270.0
Parkville,1999,270.0
South Yarra - West,1999,270.0
Melbourne CBD - East,1999,270.0
Melbourne CBD - North,1999,270.0
Melbourne CBD - West,1999,270.0
North Melbourne,1999,270.0
Royal Botanic Gardens Victoria,1999,270.0
Southbank (West) - South Wharf,1999,270.0
Southbank - East,1999,270.0
West Melbourne - Residential,1999,270.0
Carlton North - Princes Hill,1999,270.0
Diggers Rest,1999,155.0
Melton West,1999,155.0
Rockbank - Mount Cottrell,1999,155.0
Taylors Hill,1999,155.0
Burnside,1999,155.0
Burnside Heights,1999,155.0
Caroline Springs,1999,155.0
Brookfield,1999,155.0
Cobblebank - Strathtulloh,1999,155.0
Eynesbury - Exford,1999,155.0
Fraser Rise - Plumpton,1999,155.0
Hillside,1999,155.0
Kurunjang - Toolern Vale,1999,155.0
Melton,1999,155.0
Melton South - Weir Views,1999,155.0
Irymple,1999,135.0
Merbein,1999,135.0
Mildura Surrounds,1999,135.0
Red Cliffs,1999,135.0
Mildura - North,1999,135.0
Mildura - South,1999,135.0
Kilmore - Broadford,1999,130.0
Nagambie,1999,130.0
Seymour,1999,130.0
Seymour Surrounds,1999,130.0
Yea,1999,130.0
Wallan,1999,130.0
Cobram,1999,130.0
Moira,1999,130.0
Numurkah,1999,130.0
Yarrawonga,1999,130.0
Hughesdale,1999,200.0
Ashwood - Chadstone,1999,200.0
Glen Waverley - East,1999,200.0
Glen Waverley - West,1999,200.0
Mount Waverley - North,1999,200.0
Mount Waverley - South,1999,200.0
Mulgrave,1999,200.0
Oakleigh - Huntingdale,1999,200.0
Wheelers Hill,1999,200.0
Clayton (North) - Notting Hill,1999,200.0
Clayton - Central,1999,200.0
Ascot Vale,1999,180.0
Flemington,1999,180.0
Moonee Ponds,1999,180.0
Essendon (West) - Aberfeldie,1999,180.0
Essendon - East,1999,180.0
Airport West,1999,180.0
Essendon Airport,1999,180.0
Niddrie - Essendon West,1999,180.0
Strathmore,1999,180.0
Avondale Heights,1999,180.0
Keilor East,1999,180.0
Bacchus Marsh Surrounds,1999,145.0
Bacchus Marsh,1999,145.0
Castlemaine,1999,125.0
Glenelg (Vic.),1999,120.0
Southern Grampians,1999,120.0
Moyne - West,1999,120.0
Warrnambool - North,1999,120.0
Warrnambool - South,1999,120.0
Alexandra,1999,120.0
Euroa,1999,120.0
Mansfield (Vic.),1999,120.0
Kinglake,1999,120.0
St Arnaud,1999,110.0
Stawell,1999,110.0
Yarriambiack,1999,110.0
Foster,1999,110.0
Wilsons Promontory,1999,110.0
Churchill,1999,110.0
Hamilton (Vic.),1999,110.0
Armadale,1999,210.0
Prahran - Windsor,1999,210.0
Toorak,1999,210.0
South Yarra - North,1999,210.0
South Yarra - South,1999,210.0
Malvern - Glen Iris,1999,210.0
Malvern East,1999,210.0
Winchelsea,1999,150.0
Lorne - Anglesea,1999,150.0
Torquay,1999,150.0
Robinvale,1999,125.0
Swan Hill,1999,125.0
Towong,1999,125.0
Wangaratta,1999,125.0
Wangaratta Surrounds,1999,125.0
Alps - West,1999,110.0
Maffra,1999,110.0
Rosedale,1999,110.0
Sale,1999,110.0
Yarram,1999,110.0
Blackburn,1999,190.0
Blackburn South,1999,190.0
Box Hill,1999,190.0
Box Hill North,1999,190.0
Burwood (Vic.),1999,190.0
Burwood East,1999,190.0
Surrey Hills (East) - Mont Albert,1999,190.0
Forest Hill,1999,190.0
Mitcham (Vic.),1999,190.0
Vermont South,1999,190.0
Bundoora - North,1999,170.0
Bundoora - West,1999,170.0
Mill Park - North,1999,170.0
Mill Park - South,1999,170.0
Thomastown,1999,170.0
Whittlesea,1999,170.0
Epping - East,1999,170.0
Epping - South,1999,170.0
Epping (Vic.) - West,1999,170.0
South Morang - North,1999,170.0
South Morang - South,1999,170.0
Wollert,1999,170.0
Doreen - North,1999,170.0
Doreen - South,1999,170.0
Lalor - East,1999,170.0
Lalor - West,1999,170.0
Mernda - North,1999,170.0
Mernda - South,1999,170.0
West Wodonga,1999,150.0
Baranduda - Leneva,1999,150.0
Wodonga,1999,150.0
Hoppers Crossing - North,1999,165.0
Hoppers Crossing - South,1999,165.0
Werribee - South,1999,165.0
Point Cook - East,1999,165.0
Point Cook - South,1999,165.0
Werribee - East,1999,165.0
Werribee - West,1999,165.0
Manor Lakes - Quandong,1999,165.0
Point Cook - North East,1999,165.0
Point Cook - North West,1999,165.0
Tarneit (West) - Mount Cottrell,1999,165.0
Tarneit - Central,1999,165.0
Tarneit - North,1999,165.0
Tarneit - South,1999,165.0
Truganina - North,1999,165.0
Truganina - South East,1999,165.0
Truganina - South West,1999,165.0
Wyndham Vale - North,1999,165.0
Wyndham Vale - South,1999,165.0
Abbotsford,1999,232.0
Collingwood,1999,232.0
Fitzroy,1999,232.0
Fitzroy North,1999,232.0
Clifton Hill - Alphington,1999,232.0
Richmond (South) - Cremorne,1999,232.0
Richmond - North,1999,232.0
Upper Yarra Valley,1999,160.0
Chirnside Park,1999,160.0
Healesville - Yarra Glen,1999,160.0
Kilsyth,1999,160.0
Lilydale - Coldstream,1999,160.0
Monbulk - Silvan,1999,160.0
Montrose,1999,160.0
Mooroolbark,1999,160.0
Mount Dandenong - Olinda,1999,160.0
Mount Evelyn,1999,160.0
Upwey - Tecoma,1999,160.0
Wandin - Seville,1999,160.0
Yarra Valley,1999,160.0
Bright - Mount Beauty,2000,130.0
Myrtleford,2000,130.0
Yackandandah,2000,130.0
Avoca,2000,100.0
Beaufort,2000,100.0
Ararat,2000,100.0
Ararat Surrounds,2000,100.0
Alfredton,2000,140.0
Ballarat,2000,140.0
Buninyong,2000,140.0
Delacombe,2000,140.0
Wendouree - Miners Rest,2000,140.0
Ballarat East - Warrenheip,2000,140.0
Ballarat North - Invermay,2000,140.0
Canadian - Mount Clear,2000,140.0
Sebastopol - Redan,2000,140.0
Creswick - Clunes,2000,140.0
Gordon (Vic.),2000,140.0
Bundoora - East,2000,190.0
Greensborough,2000,190.0
Heidelberg - Rosanna,2000,190.0
Heidelberg West,2000,190.0
Ivanhoe,2000,190.0
Ivanhoe East - Eaglemont,2000,190.0
Montmorency - Briar Hill,2000,190.0
Viewbank - Yallambie,2000,190.0
Watsonia,2000,190.0
Korumburra,2000,120.0
Phillip Island,2000,120.0
Wonthaggi - Inverloch,2000,120.0
Drouin,2000,130.0
Mount Baw Baw Region,2000,130.0
Trafalgar (Vic.),2000,130.0
Warragul,2000,130.0
