region,median_2023,median_predictions_2026,Growth_Rate (%)
Carlton,600.0,648.2339079331977,8.038984655532943
Docklands,600.0,544.8186747674678,-9.196887538755371
EastMelbourne,600.0,552.3771593276327,-7.9371401120612095
FlemingtonRacecourse,600.0,439.29411499538594,-26.784314167435674
Kensington(Vic.),600.0,620.9492907938591,3.4915484656431772
Parkville,600.0,533.6900804995056,-11.051653250082401
SouthYarra-West,600.0,550.7234427387538,-8.21275954354104
MelbourneCBD-East,600.0,571.2141535788626,-4.79764107018957
MelbourneCBD-North,600.0,608.0556852764857,1.3426142127476246
MelbourneCBD-West,600.0,568.1061206710796,-5.315646554820072
NorthMelbourne,600.0,573.346480413938,-4.4422532643436625
Southbank(West)-SouthWharf,600.0,496.0057564769395,-17.332373920510083
Southbank-East,600.0,472.21864156393804,-21.296893072676994
WestMelbourne-Residential,600.0,519.097576947769,-13.483737175371838
Armadale,580.0,564.4145991087709,-2.6871380846946797
Prahran-Windsor,580.0,682.5708544980441,17.684630085869678
Toorak,580.0,536.614179615246,-7.480313859440339
SouthYarra-North,580.0,483.65455175394663,-16.611284180354026
SouthYarra-South,580.0,500.96308887567955,-13.627053642124215
Abbotsford,620.0,627.9413770035306,1.2808672586339753
CarltonNorth-PrincesHill,600.0,571.5714320742367,-4.738094654293889
Collingwood,620.0,679.15211091453,9.540663050730645
Fitzroy,620.0,643.1098670339838,3.7273979087070717
FitzroyNorth,620.0,628.5672823710661,1.3818197372687235
CliftonHill-Alphington,620.0,591.960858574631,-4.522442165382105
Richmond(South)-Cremorne,620.0,553.0810146381307,-10.793384735785374
Richmond-North,620.0,535.6170838223625,-13.610147770586698
Ashburton(Vic.),575.0,501.85893215986437,-12.720185711327936
Balwyn,575.0,541.187695067065,-5.880400857901745
BalwynNorth,575.0,540.191804025384,-6.053599299933209
Camberwell,575.0,581.597054625608,1.1473138479318352
GlenIris-East,575.0,542.3824363924356,-5.672619757837291
HawthornEast,575.0,499.2043938456799,-13.181844548577413
KewEast,575.0,509.8098496567459,-11.337417451000716
SurreyHills(West)-Canterbury,575.0,537.4819149129006,-6.5248843629738085
Hawthorn-North,575.0,483.8861482893153,-15.845887254032117
Hawthorn-South,575.0,528.668213849757,-8.057701939172702
Kew-South,575.0,500.6347661896051,-12.933084140938242
Kew-West,575.0,500.58445371993605,-12.941834135663296
Bulleen,575.0,526.0043064216798,-8.520990187533956
Doncaster,575.0,493.34230688594846,-14.20133793287853
Templestowe,600.0,541.4227322668097,-9.762877955531717
TemplestoweLower,600.0,519.1782226012289,-13.470296233128524
DoncasterEast-North,600.0,546.6747761477966,-8.887537308700567
DoncasterEast-South,600.0,528.0466530706592,-11.992224488223465
Blackburn,550.0,527.9588577677732,-4.007480405859414
BlackburnSouth,550.0,492.7396721526685,-10.410968699514818
BoxHill,550.0,433.31918860201415,-21.21469298145197
BoxHillNorth,550.0,523.1737660069675,-4.877497089642268
Burwood(Vic.),550.0,482.1476565516175,-12.336789717887726
BurwoodEast,550.0,455.993961937603,-17.09200692043582
SurreyHills(East)-MontAlbert,550.0,502.3092613556713,-8.671043389877942
Bentleigh-McKinnon,560.0,522.6343361577664,-6.672439971827433
Carnegie,560.0,525.2469319184163,-6.205905014568519
Caulfield-North,560.0,511.5523453464009,-8.65136690242841
Caulfield-South,560.0,521.8762937485375,-6.807804687761165
Elsternwick,560.0,537.5158954844458,-4.015018663491828
Hughesdale,580.0,497.16161305728906,-14.282480507363957
Murrumbeena,560.0,507.5122074239905,-9.372820102858839
Ormond-GlenHuntly,560.0,535.0356157938116,-4.457925751105064
BentleighEast-North,560.0,517.3515236159769,-7.615799354289835
BentleighEast-South,560.0,539.9041929492334,-3.5885369733511703
Malvern-GlenIris,580.0,556.6177222835069,-4.0314271924988185
MalvernEast,580.0,540.043999866363,-6.888965540282236
Bundoora-East,500.0,479.1857215029835,-4.162855699403304
Greensborough,500.0,556.1749186476145,11.2349837295229
Heidelberg-Rosanna,500.0,533.2431544988041,6.648630899760814
HeidelbergWest,500.0,527.89112194019,5.578224388038007
Ivanhoe,500.0,502.49682973508277,0.49936594701655396
IvanhoeEast-Eaglemont,500.0,491.7800204786438,-1.6439959042712418
Montmorency-BriarHill,500.0,527.4169935693222,5.483398713864449
Viewbank-Yallambie,500.0,536.782379918092,7.356475983618406
Watsonia,500.0,504.3615145239444,0.8723029047888757
Kingsbury,500.0,469.1809793907473,-6.163804121850535
Preston-East,500.0,567.522251226677,13.504450245335399
Preston-West,500.0,497.3388600996966,-0.5322279800606794
Reservoir-NorthEast,500.0,451.1724530409949,-9.765509391801015
Reservoir-NorthWest,500.0,424.46130682088665,-15.10773863582267
Reservoir-SouthEast,500.0,453.93536947827874,-9.212926104344252
Reservoir-SouthWest,500.0,467.4213116956048,-6.51573766087904
Kinglake,393.0,344.2326918623966,-12.408984258932158
Bundoora-North,500.0,443.8758187235793,-11.22483625528414
Bundoora-West,500.0,445.4323795095162,-10.913524098096763
MillPark-North,500.0,522.0059809169586,4.401196183391722
MillPark-South,500.0,460.268931084717,-7.946213783056601
Thomastown,500.0,554.8745389456863,10.97490778913725
Wallan,440.0,453.6310321611995,3.0979618548180743
Whittlesea,500.0,432.66155042250136,-13.467689915499728
Epping-East,500.0,511.837435216588,2.3674870433176007
Epping-South,500.0,438.5454788275797,-12.29090423448406
Epping(Vic.)-West,500.0,467.7061840425789,-6.458763191484218
SouthMorang-North,500.0,463.3707398116011,-7.325852037679784
SouthMorang-South,500.0,468.94656955277253,-6.210686089445494
Wollert,500.0,530.9054345972409,6.1810869194481715
Doreen-North,500.0,409.0306981351231,-18.193860372975383
Doreen-South,500.0,411.4891161165425,-17.7021767766915
Lalor-East,500.0,431.7701377442206,-13.645972451155878
Lalor-West,500.0,460.3455404190713,-7.930891916185738
Mernda-North,500.0,430.7336080356325,-13.853278392873495
Mernda-South,500.0,401.56587601708816,-19.68682479658237
AirportWest,500.0,516.2844504946715,3.256890098934309
EssendonAirport,500.0,458.19127935191216,-8.361744129617568
Keilor,449.0,456.1205857557146,1.5858765602927871
Niddrie-EssendonWest,500.0,476.2919570675882,-4.741608586482357
Strathmore,500.0,493.082121463145,-1.3835757073710055
AvondaleHeights,500.0,425.0271077567294,-14.994578448654124
KeilorEast,500.0,442.78910698540346,-11.442178602919308
Gisborne,520.0,501.6673029564421,-3.5255186622226757
Macedon,520.0,466.59616466638136,-10.269968333388201
RiddellsCreek,520.0,427.1381239380961,-17.85805308882767
Romsey,520.0,499.8428413103235,-3.8763766710916387
Sunbury,485.0,462.78380221096097,-4.580659337946191
DiggersRest,470.0,414.48263821857313,-11.812204634346143
Sunbury-South,485.0,419.70868974418715,-13.462125825940793
Sunbury-West,485.0,435.18364617859936,-10.27141315905168
Broadmeadows,485.0,490.18132049916164,1.0683135049817822
Campbellfield-Coolaroo,485.0,526.5125477970523,8.559288205577797
GladstonePark-Westmeadows,485.0,500.37099506088214,3.169277332140647
Greenvale-Bulla,485.0,537.775524786239,10.881551502317315
MeadowHeights,485.0,497.96642943697293,2.673490605561429
MelbourneAirport,485.0,337.2618337856136,-30.46147756997658
Tullamarine,485.0,440.16827441540795,-9.2436547597097
Craigieburn-Central,485.0,444.17965698044964,-8.416565571041312
Craigieburn-North,485.0,468.5747007149728,-3.3866596463973657
Craigieburn-South,485.0,502.6470287328972,3.6385626253396253
Mickleham-Yuroke,485.0,519.9119202150606,7.1983340649609495
Craigieburn-NorthWest,485.0,391.3425902743986,-19.310806128989977
Craigieburn-West,485.0,408.15671571262067,-15.843976141727698
RoxburghPark(South)-Somerton,485.0,435.93138488526483,-10.117240229842302
RoxburghPark-North,485.0,405.52213098598486,-16.3871894874258
Bayswater,535.0,499.97489808380726,-6.546748021718268
Knoxfield-Scoresby,535.0,569.2525390090026,6.402343740000484
Lysterfield,535.0,493.32709884062047,-7.7893273195101935
Rowville-Central,535.0,546.7590178364927,2.197947259157517
Rowville-North,535.0,471.5299544697741,-11.863559912191755
Rowville-South,535.0,480.5931227820903,-10.169509760356956
Wantirna,535.0,510.48457133005934,-4.582323115876759
WantirnaSouth,535.0,535.0639969184758,0.011962040836602409
Boronia,535.0,518.3037846504415,-3.120787915805335
FerntreeGully-North,535.0,509.1282120928727,-4.835848206939687
FerntreeGully(South)-UpperFerntreeGully,535.0,520.3771653414351,-2.7332401230962424
TheBasin,535.0,462.92114175777544,-13.472683783593375
Donvale-ParkOrchards,600.0,535.0094505623752,-10.831758239604142
Warrandyte-WongaPark,600.0,544.8247945437532,-9.19586757604113
BayswaterNorth,520.0,503.68283937235105,-3.137915505317105
CroydonHills-Warranwood,520.0,513.6415911709229,-1.222770928668677
Ringwood,520.0,505.8929002244047,-2.7129038029990995
