region,median_2023,median_predictions_2026,Growth_Rate (%)
SouthYarra-North,580.0,576.7,-0.5689655172413715
SouthYarra-South,580.0,583.55,0.6120689655172336
Abbotsford,620.0,585.52,-5.561290322580648
CarltonNorth-PrincesHill,600.0,578.33,-3.6116666666666597
Collingwood,620.0,589.25,-4.959677419354839
Fitzroy,620.0,592.68,-4.406451612903234
FitzroyNorth,620.0,591.85,-4.5403225806451575
CliftonHill-Alphington,620.0,585.38,-5.5838709677419365
Richmond(South)-Cremorne,620.0,590.2,-4.806451612903218
Richmond-North,620.0,588.4,-5.096774193548391
Ashburton(Vic.),575.0,505.17,-12.144347826086953
Balwyn,575.0,574.25,-0.13043478260869568
BalwynNorth,575.0,558.44,-2.8799999999999906
Camberwell,575.0,565.68,-1.6208695652174
GlenIris-East,575.0,564.38,-1.8469565217391313
HawthornEast,575.0,571.0,-0.6956521739130435
KewEast,575.0,508.45,-11.573913043478262
SurreyHills(West)-Canterbury,575.0,554.93,-3.490434782608704
Hawthorn-North,575.0,555.58,-3.3773913043478188
Hawthorn-South,575.0,572.85,-0.37391304347825693
Kew-South,575.0,551.18,-4.142608695652183
Kew-West,575.0,564.55,-1.8173913043478338
Bulleen,575.0,546.01,-5.0417391304347845
Doncaster,575.0,562.75,-2.130434782608696
Templestowe,600.0,576.84,-3.8599999999999945
TemplestoweLower,600.0,555.09,-7.484999999999994
DoncasterEast-North,600.0,567.55,-5.40833333333334
DoncasterEast-South,600.0,567.6,-5.399999999999997
Blackburn,550.0,558.61,1.565454545454548
BlackburnSouth,550.0,533.01,-3.0890909090909107
BoxHill,550.0,573.15,4.2090909090909046
BoxHillNorth,550.0,550.88,0.15999999999999917
Burwood(Vic.),550.0,544.75,-0.9545454545454546
BurwoodEast,550.0,508.58,-7.530909090909094
SurreyHills(East)-MontAlbert,550.0,536.33,-2.485454545454538
Bentleigh-McKinnon,560.0,568.55,1.5267857142857062
Carnegie,560.0,564.35,0.7767857142857183
Caulfield-North,560.0,568.5,1.5178571428571428
Caulfield-South,560.0,566.38,1.1392857142857136
