Albert Park,4 757,4 934,5 116,5 247,5 425
Elwood,1 577,1 544,1 597,1 669,1 657
Port Melbourne,2 202,2 166,2 248,2 344,2 268
St Kilda East,1 472,1 481,1 497,1 613,1 575
Port Melbourne Industrial,2 375,2 452,2 349,2 338,2 402
South Melbourne,4 716,4 729,4 691,4 884,4 854
St Kilda - Central,2 043,2 063,2 056,2 100,2 017
St Kilda - West,2 236,2 219,2 228,2 312,2 199
Armadale,1 747,1 797,1 798,1 856,1 839
Prahran - Windsor,2 975,3 063,3 211,3 320,3 219
Toorak,2 672,2 664,2 745,2 872,2 851
South Yarra - North,2 556,2 506,2 652,2 786,2 930
South Yarra - South,1 742,1 737,1 790,1 886,1 823
Abbotsford,1 587,1 584,1 625,1 723,1 738
Carlton North - Princes Hill,868,888,874,925,904
Collingwood,2 231,2 266,2 409,2 589,2 620
Fitzroy,2 034,2 111,2 156,2 354,2 290
Fitzroy North,1 327,1 330,1 375,1 412,1 371
Clifton Hill - Alphington,981,971,1 004,1 079,1 075
Richmond (South) - Cremorne,4 273,4 455,4 470,4 617,4 610
Richmond - North,2 060,2 029,2 051,2 223,2 169
Ashburton (Vic.),774,790,782,830,818
Balwyn,2 515,2 580,2 650,2 722,2 699
Balwyn North,2 869,2 900,2 888,3 006,3 021
Camberwell,2 694,2 787,2 900,3 109,3 067
Glen Iris - East,2 026,2 049,2 081,2 143,2 167
Hawthorn East,2 921,2 951,3 039,3 137,3 117
Kew East,941,987,1 006,1 054,1 034
Surrey Hills (West) - Canterbury,2 352,2 369,2 423,2 471,2 461
Hawthorn - North,1 549,1 576,1 604,1 683,1 679
Hawthorn - South,1 823,1 913,1 949,2 035,2 090
Kew - South,1 976,1 973,1 977,1 977,2 002
Kew - West,1 894,1 919,1 922,1 933,1 943
Bulleen,1 267,1 286,1 312,1 375,1 311
Doncaster,2 580,2 630,2 716,2 979,3 055
Templestowe,2 210,2 237,2 222,2 409,2 370
Templestowe Lower,1 254,1 276,1 300,1 384,1 376
Doncaster East - North,1 507,1 539,1 550,1 665,1 632
Doncaster East - South,1 604,1 665,1 740,1 818,1 826
Blackburn,2 349,2 415,2 451,2 542,2 568
Blackburn South,824,842,855,941,939
Box Hill,3 018,3 230,3 286,3 595,3 551
Box Hill North,1 531,1 591,1 674,1 804,1 831
Burwood (Vic.),1 177,1 197,1 246,1 364,1 347
Burwood East,962,1 041,1 029,1 154,1 139
Surrey Hills (East) - Mont Albert,1 040,1 080,1 107,1 158,1 109
Beaumaris,1 518,1 468,1 478,1 521,1 476
Brighton (Vic.),3 925,3 898,4 059,4 289,4 258
Brighton East,1 751,1 749,1 801,1 879,1 870
Highett (West) - Cheltenham,1 484,1 615,1 635,1 722,1 683
Hampton,1 958,1 942,2 011,2 070,2 056
Sandringham - Black Rock,1 950,2 007,2 009,2 053,2 048
Bentleigh - McKinnon,2 276,2 381,2 467,2 633,2 656
Carnegie,1 539,1 555,1 603,1 729,1 706
Caulfield - North,3 457,3 454,3 497,3 686,3 622
Caulfield - South,2 346,2 387,2 425,2 502,2 445
Elsternwick,1 541,1 547,1 571,1 652,1 624
Hughesdale,571,572,605,640,630
Murrumbeena,791,812,826,879,845
Ormond - Glen Huntly,1 235,1 204,1 200,1 357,1 286
Bentleigh East - North,1 378,1 447,1 491,1 610,1 587
Bentleigh East - South,1 028,1 071,1 117,1 215,1 198
Aspendale Gardens - Waterways,638,644,658,692,701
Braeside,1 286,1 276,1 326,1 384,1 383
Carrum - Patterson Lakes,975,983,1 010,1 121,1 102
Chelsea - Bonbeach,849,863,900,942,932
Chelsea Heights,355,356,365,423,390
Highett (East) - Cheltenham ,2 585,2 683,2 840,3 108,3 006
Edithvale - Aspendale,891,864,916,969,971
Mentone,1 171,1 198,1 265,1 287,1 258
Moorabbin - Heatherton,2 230,2 321,2 382,2 560,2 541
Moorabbin Airport,97,103,106,105,102
