Region,2018,2019,2020,2021,2022,2023
Keilor East,2 800.9,2 822.5,2 821.7,2 767.6,2 771.6,2 792.7
Gisborne,65.9,66.9,67.5,67.9,68.5,70.6
Macedon,48.5,48.5,48.4,48.5,49.1,49.2
Riddells Creek,51.6,52.1,53.3,54,54.5,54.7
Romsey,16.2,16.6,17,17.3,17.8,18
Coburg North,1 760.8,1 782.3,1 798.9,1 745.2,1 765.7,1 809.4
Fawkner,2 909.7,2 933.6,2 906.9,2 789.5,2 791.1,2 892.3
Gowanbrae,2 049.3,2 061.7,2 072.9,2 063.1,2 058.5,2 095.9
Hadfield,2 003.1,2 056.6,2 096.3,2 064.8,2 091,2 139.2
Glenroy - East,2 466.8,2 489.7,2 491.5,2 397.8,2 380.2,2 470
Glenroy - West,3 394.6,3 476.6,3 541.3,3 437.9,3 455.5,3 580.8
Oak Park,3 375.3,3 430.5,3 464.5,3 390.1,3 444.9,3 522.3
Pascoe Vale,3 856.6,3 878.6,3 876.3,3 757.7,3 773.7,3 872.6
Sunbury,103.9,105.3,107,106.4,106.9,109.9
Diggers Rest,57.6,72.5,89.6,102.2,112.5,124.2
Sunbury - South,347.5,355.1,363,364.4,373.6,387
Sunbury - West,310.6,311.9,305.5,298.2,294.9,301.1
Broadmeadows,1 649,1 672.7,1 670.7,1 593.2,1 580.2,1 624.9
Campbellfield - Coolaroo,944.9,942.8,928.4,893.2,873.3,891.9
Gladstone Park - Westmeadows,1 333.5,1 335.7,1 334.5,1 304.2,1 291.2,1 304.5
Greenvale - Bulla,203.2,211.9,221.9,233.6,245.3,256.6
Meadow Heights,3 432.5,3 430.8,3 424.7,3 258.2,3 166.3,3 216.9
Melbourne Airport,5.5,5.1,4.7,4.3,4.3,4.3
Tullamarine,1 767.1,1 771,1 768.1,1 717.3,1 688,1 705.4
Craigieburn - Central,2 234.8,2 228.5,2 196,2 063.8,2 012.6,2 049.6
Craigieburn - North,968.9,974.2,965.7,932.2,931.1,950.1
Craigieburn - South,1 640.6,1 734.5,1 815.6,1 847.1,1 895.7,1 970.9
Mickleham - Yuroke,129.9,198.4,263.4,335.9,403.3,451.4
Craigieburn - North West,3 897.3,4 336.9,4 819.8,5 195.9,5 405.3,5 607.4
Craigieburn - West,2 687.2,2 896.6,3 102.7,3 226.7,3 336.5,3 485
Roxburgh Park (South) - Somerton,1 148.9,1 140.5,1 131.5,1 079.5,1 071.3,1 090.9
Roxburgh Park - North,4 111.3,4 291.4,4 391.9,4 349.4,4 382.5,4 448.1
Bayswater,1 593.5,1 609.7,1 615.2,1 579.9,1 579.9,1 619.8
Knoxfield - Scoresby,1 086.7,1 108.6,1 114.7,1 096.2,1 094.5,1 115.4
Lysterfield,374.1,372.6,367.8,359.8,355.2,355.4
Rowville - Central,1 938.3,1 937.1,1 929.9,1 895.1,1 885.7,1 914.8
Rowville - North,1 983.1,1 967.7,1 948.3,1 909.9,1 873.2,1 882.3
Rowville - South,1 168,1 161.7,1 149.8,1 118.5,1 111.2,1 120.4
Wantirna,1 768.2,1 779.1,1 789.7,1 739.1,1 711.8,1 747.9
Wantirna South,1 393.8,1 394.8,1 392.8,1 355.1,1 345.8,1 360
Boronia,2 079.8,2 104,2 124.1,2 116.4,2 117.5,2 148.3
Ferntree Gully - North,2 072.6,2 080.7,2 068.1,2 039.6,2 037.8,2 059.4
Ferntree Gully (South) - Upper Ferntree Gully,1 684.7,1 698.5,1 695.9,1 688.7,1 677.5,1 701.8
The Basin,781.8,779.4,772.4,766.2,754.7,755
Donvale - Park Orchards,807.8,806.5,801.2,788.8,788.6,793.7
Warrandyte - Wonga Park,231.4,230.6,227.4,222.5,220.5,221.6
Bayswater North,1 250.6,1 253.7,1 244.5,1 207.7,1 194.8,1 203
Croydon Hills - Warranwood,1 977,1 972.9,1 963.8,1 920.8,1 912.3,1 930.7
Ringwood,1 867.1,1 904.6,1 933.1,1 909,1 914.8,1 949.1
Ringwood East,2 288.4,2 306,2 319.3,2 273.1,2 263.6,2 284.8
Ringwood North,2 129.3,2 123.2,2 099.3,2 055.3,2 043,2 050.4
Croydon - East,1 998.1,2 013.4,2 025.5,2 004.9,2 002.3,2 049.1
Croydon - West,2 107.1,2 135.8,2 142,2 095.6,2 089.9,2 148.5
Croydon South,1 722,1 732.8,1 756,1 728.3,1 742.6,1 766.8
Forest Hill,2 766.4,2 752.7,2 743.4,2 669.6,2 669.9,2 708.2
Mitcham (Vic.),2 600.1,2 607.8,2 616.2,2 554.7,2 567.8,2 613.4
Nunawading,2 517.7,2 528.3,2 532.4,2 464.9,2 481.4,2 545.4
Vermont,2 417.5,2 442.6,2 459.3,2 403.4,2 384.7,2 418.8
Vermont South,2 003.7,2 002.9,1 989.5,1 947.3,1 947.9,1 969.8
Belgrave - Selby,187.4,186.5,185.8,181.3,179.5,179
Chirnside Park,497.5,516.5,530,534.9,544.4,558.1
Healesville - Yarra Glen,38.9,39,38.8,38.4,38.2,38.2
Kilsyth,1 175,1 198.5,1 208.6,1 210.8,1 225.9,1 255.8
Lilydale - Coldstream,181.2,182.1,182.4,180.9,182,183.2
Monbulk - Silvan,85.6,85.4,85.7,85.5,84.5,84.7
Montrose,677.1,674.4,668.8,663.3,660.3,657.1
Mooroolbark,1 880.4,1 900.8,1 906.7,1 868.9,1 882,1 912.2
Mount Dandenong - Olinda,123,122.7,121.5,119.3,117.7,117.6
Mount Evelyn,593.7,592.1,585.6,580.7,577.2,583.8
Upwey - Tecoma,1 127.5,1 124.3,1 119.4,1 107.7,1 094.6,1 099.7
Wandin - Seville,71.7,71.6,71.5,71.3,71.1,71.5
Yarra Valley,23.1,23.2,23.3,23.2,23.2,23.2
Emerald - Cockatoo,50.5,50.7,50.7,50.6,50.4,50.9
Beaconsfield - Officer,533.6,609.3,673.1,720.8,775.2,811
Bunyip - Garfield,24.9,25.7,26.5,27.2,27.5,27.9
Koo Wee Rup,20,21.1,22.6,24.5,26.1,27.8
Pakenham - North East,809.4,821.2,825.5,825.3,834.3,846.7
Pakenham - North West,244.8,266.9,288.8,306.6,328.4,356.9
Pakenham - South East,176.2,187.4,200.9,209.8,213.3,216.2
Pakenham - South West,1 182.6,1 210.3,1 229.3,1 219.6,1 232.3,1 256.8
Berwick - North,1 207.8,1 209.1,1 200.6,1 173.8,1 168.5,1 193.2
Doveton,2 360.6,2 377,2 409.4,2 321.7,2 343.1,2 409.7
Hallam,1 451.9,1 478.4,1 485.5,1 439.6,1 437.3,1 460.3
Narre Warren North,243.3,243.6,243.1,241.5,239.4,238.5
Endeavour Hills - North,868.4,867,860.7,842.2,834.4,832.4
Endeavour Hills - South,2 516.4,2 503.7,2 477.9,2 409.2,2 382,2 417.3
Narre Warren - North East,2 878.5,2 874.4,2 849.4,2 793.8,2 769.8,2 801.8
Narre Warren - South West,1 606.7,1 622.4,1 630.2,1 601.2,1 607.1,1 640.6
Berwick - South East,1 790.1,1 806.7,1 813.4,1 819.8,1 859.4,1 938.5
Berwick - South West,2 122.6,2 196.2,2 252.1,2 285.5,2 344.1,2 439
Cranbourne,1 643.8,1 651.6,1 663.7,1 656.6,1 659.3,1 691.4
Cranbourne South,131.3,157.6,188.4,216,241.6,267.7
Cranbourne West,1 444.3,1 534.2,1 617.8,1 694.3,1 780,1 846.3
Lynbrook - Lyndhurst,2 341.6,2 396.1,2 462.3,2 483,2 534.3,2 586.1
Pearcedale - Tooradin,82.7,82.8,82.6,82.1,82.3,82.7
Narre Warren South - East,2 203.6,2 188.1,2 156.9,2 133.3,2 116.9,2 115.9
Narre Warren South - West,2 601.4,2 588,2 561,2 498.1,2 475.5,2 523.1
Clyde North - North,825.9,1 089.7,1 339,1 547.5,1 700.1,1 820.2
Clyde North - South,212.4,407.4,605.7,765.1,916.3,1 052.6
Cranbourne East - North,1 973.6,2 068.5,2 120.9,2 157.3,2 201.2,2 254.8
Cranbourne East - South,1 515.4,1 821,2 087.4,2 337.1,2 565.1,2 716.6
