Port Melbourne,3 545,3 557,3 597,3 601,3 615,3 622
St Kilda East,1 226,1 233,1 245,1 250,1 256,1 311
Port Melbourne Industrial,34,34,319,319,340,340
South Melbourne,2 369,2 369,2 386,2 390,2 393,2 393
St Kilda - Central,711,714,715,736,743,746
St Kilda - West,944,949,953,959,962,962
Armadale,832,849,853,858,863,865
Prahran - Windsor,2 653,2 673,2 688,2 701,2 715,2 722
Toorak,1 377,1 388,1 393,1 397,1 395,1 396
South Yarra - North,236,236,236,236,235,243
South Yarra - South,1 459,1 476,1 477,1 480,1 484,1 487
Abbotsford,1 205,1 209,1 213,1 217,1 234,1 234
Carlton North - Princes Hill,2 723,2 723,2 723,2 723,2 723,2 723
Collingwood,1 372,1 374,1 375,1 377,1 377,1 377
Fitzroy,2 024,2 024,2 024,2 024,2 024,2 024
Fitzroy North,2 976,3 039,3 049,3 055,3 063,3 059
Clifton Hill - Alphington,1 814,1 828,1 844,1 870,1 876,1 928
Richmond (South) - Cremorne,3 612,3 634,3 670,3 686,3 700,3 700
Richmond - North,1 716,1 723,1 735,1 748,1 760,1 767
Ashburton (Vic.),526,541,561,590,612,629
Balwyn,1 750,1 770,1 789,1 808,1 817,1 834
Balwyn North,928,952,973,997,1 030,1 056
Camberwell,1 747,1 779,1 811,1 839,1 875,1 907
Glen Iris - East,1 223,1 242,1 258,1 278,1 295,1 308
Hawthorn East,1 295,1 305,1 349,1 353,1 359,1 382
Kew East,556,557,562,564,578,584
Surrey Hills (West) - Canterbury,1 471,1 486,1 500,1 507,1 516,1 523
Hawthorn - North,1 015,1 022,1 027,1 030,1 030,1 030
Hawthorn - South,712,724,732,746,714,739
Kew - South,1 338,1 360,1 372,1 375,1 382,1 388
Kew - West,1 017,1 035,1 050,1 064,1 076,1 099
Bulleen,424,461,489,521,550,586
Doncaster,1 541,1 701,1 926,2 088,2 222,2 292
Templestowe,1 008,1 048,1 080,1 134,1 193,1 215
Templestowe Lower,795,838,881,948,1 026,1 065
Doncaster East - North,553,570,601,633,664,681
Doncaster East - South,1 838,1 915,2 015,2 120,2 196,2 252
Blackburn,1 637,1 676,1 711,1 776,1 813,1 863
Blackburn South,706,721,733,739,752,759
Box Hill,2 500,2 552,2 586,2 608,2 663,2 715
Box Hill North,2 162,2 250,2 319,2 377,2 425,2 462
Burwood (Vic.),1 383,1 437,1 509,1 560,1 628,1 683
Burwood East,743,757,776,795,814,975
Surrey Hills (East) - Mont Albert,1 103,1 112,1 126,1 142,1 173,1 183
Beaumaris,753,789,825,858,880,904
Brighton (Vic.),2 181,2 207,2 239,2 280,2 319,2 339
Brighton East,1 364,1 444,1 490,1 529,1 601,1 637
Highett (West) - Cheltenham,1 110,1 196,1 235,1 283,1 333,1 357
Hampton,1 562,1 608,1 641,1 687,1 710,1 737
Sandringham - Black Rock,1 892,1 933,1 975,2 010,2 045,2 062
Bentleigh - McKinnon,1 754,1 865,2 015,2 123,2 227,2 304
Carnegie,2 443,2 463,2 494,2 532,2 556,2 580
Caulfield - North,2 376,2 399,2 444,2 467,2 489,2 501
Caulfield - South,2 349,2 379,2 407,2 460,2 506,2 539
Elsternwick,1 043,1 049,1 056,1 068,1 077,1 083
Hughesdale,1 029,1 038,1 050,1 084,1 090,1 106
Murrumbeena,1 019,1 042,1 064,1 074,1 105,1 118
Ormond - Glen Huntly,1 624,1 652,1 675,1 718,1 756,1 775
Bentleigh East - North,610,704,813,897,978,1 050
Bentleigh East - South,442,531,608,678,749,809
Aspendale Gardens - Waterways,142,142,142,142,142,142
Braeside,5,5,5,5,5,5
Carrum - Patterson Lakes,1 584,1 610,1 630,1 661,1 693,1 716
