Region,2016,2017,2018,2019,2020
Brunswick - South,14 134,15 025,15 291,16 200,15 448
Coburg - East,11 259,11 611,11 930,12 364,12 088
Coburg - West,12 309,12 695,13 044,13 518,13 215
Alphington - Fairfield,8 030,8 581,8 707,8 996,8 775
Thornbury,17 269,17 733,18 453,18 947,18 473
Northcote - East,14 509,15 271,15 564,16 222,15 334
Northcote - West,9 508,10 007,10 200,10 631,10 048
Ascot Vale,12 833,13 662,14 042,14 525,13 940
Flemington,8 641,9 120,9 682,10 125,9 729
Moonee Ponds,12 695,13 114,13 489,14 234,14 818
Essendon (West) - Aberfeldie,13 950,14 511,14 782,15 175,15 184
Essendon - East,10 232,10 644,10 842,11 131,11 138
Carlton,14 053,14 620,15 429,16 221,15 726
Docklands,10 811,13 103,14 803,16 756,16 853
East Melbourne,5 524,5 531,5 519,5 761,5 357
Flemington Racecourse,73,76,100,114,136
Kensington (Vic.),10 839,11 275,11 235,11 727,11 452
Parkville,5 570,6 001,6 499,6 695,6 730
South Yarra - West,5 859,6 593,10 169,7 702,7 380
West Melbourne - Industrial,----,10,11,13,8
Melbourne CBD - East,11 546,12 729,13 909,14 847,14 095
Melbourne CBD - North,14 512,15 999,17 482,18 662,17 716
Melbourne CBD - West,13 429,14 805,16 178,17 269,16 394
North Melbourne,15 095,16 470,17 618,18 937,18 818
Southbank (West) - South Wharf,6 903,7 348,8 035,8 923,9 391
Southbank - East,12 834,13 660,14 937,16 589,17 458
West Melbourne - Residential,4 826,5 265,5 632,6 054,6 016
Albert Park,14 327,14 960,15 405,15 823,15 531
Elwood,16 665,17 199,16 931,17 209,16 869
Port Melbourne,14 685,15 022,14 779,15 093,14 337
St Kilda East,18 391,19 726,20 413,20 904,20 044
Port Melbourne Industrial,268,422,718,1 193,1 666
South Melbourne,11 299,11 851,12 364,13 034,12 325
St Kilda - Central,15 114,16 232,16 891,17 565,16 943
St Kilda - West,17 525,18 822,19 586,20 368,19 646
Armadale,8 161,8 602,8 954,9 285,8 995
Prahran - Windsor,25 610,24 264,23 905,24 117,23 215
Toorak,11 666,11 742,11 841,11 807,11 397
South Yarra - North,10 965,11 763,12 085,12 326,11 945
South Yarra - South,10 996,11 796,12 118,12 360,11 979
Abbotsford,9 468,10 502,10 325,10 708,10 466
Carlton North - Princes Hill,9 131,9 428,9 436,9 576,9 000
Collingwood,9 094,9 952,10 126,10 825,10 549
Fitzroy,11 518,12 041,11 981,12 290,11 668
Fitzroy North,12 949,13 607,13 475,14 006,13 376
Clifton Hill - Alphington,8 890,9 206,9 233,9 552,9 369
Richmond (South) - Cremorne,18 501,19 247,19 467,20 030,19 398
Richmond - North,14 217,14 790,14 959,15 392,14 907
Ashburton (Vic.),5 948,6 079,6 211,6 278,6 079
Balwyn,12 253,12 569,12 684,12 699,12 465
Balwyn North,15 455,15 775,15 826,16 113,15 686
Camberwell,17 432,17 703,17 700,17 945,17 660
Glen Iris - East,13 591,14 227,14 273,14 784,14 264
Hawthorn East,13 589,14 246,14 431,15 422,14 730
Kew East,5 337,5 434,5 379,5 644,5 590
Surrey Hills (West) - Canterbury,13 087,13 319,13 263,13 523,13 148
Hawthorn - North,10 155,10 560,10 668,10 830,10 387
Hawthorn - South,11 616,12 080,12 203,12 389,11 883
Kew - South,9 954,10 285,10 325,10 484,10 181
Kew - West,11 129,11 498,11 544,11 721,11 382
Bulleen,8 115,8 357,8 273,8 575,8 504
Doncaster,14 916,15 628,16 402,17 421,18 002
Templestowe,12 415,12 412,12 266,12 614,12 281
Templestowe Lower,9 507,9 758,9 872,9 874,9 815
Doncaster East - North,10 873,11 056,11 307,11 607,11 401
Doncaster East - South,9 461,9 689,9 942,10 415,10 562
Blackburn,16 642,17 192,17 556,18 222,18 137
Blackburn South,7 565,7 735,7 873,8 257,8 164
Box Hill,15 253,16 963,17 352,17 999,18 318
Box Hill North,13 344,13 687,14 122,14 788,14 459
Burwood (Vic.),8 511,9 220,9 741,10 516,10 609
Burwood East,7 482,7 738,8 062,8 204,8 283
Surrey Hills (East) - Mont Albert,8 277,8 534,8 609,8 754,8 611
Beaumaris,10 414,10 685,10 883,11 048,10 741
Brighton (Vic.),18 098,18 526,18 533,18 762,18 066
Brighton East,12 069,12 334,12 456,12 747,12 463
Highett (West) - Cheltenham,8 946,9 501,9 591,10 172,9 936
Hampton,13 853,14 235,14 295,14 732,14 734
Sandringham - Black Rock,12 767,13 208,13 290,13 887,13 592
Bentleigh - McKinnon,17 627,18 437,18 982,20 282,20 101
Carnegie,15 093,15 681,16 258,17 040,17 277
Caulfield - North,18 002,18 791,19 716,20 280,19 927
Caulfield - South,14 662,15 116,15 161,15 402,15 304
Elsternwick,10 251,10 714,11 028,11 487,11 218
Hughesdale,5 952,6 275,6 338,6 400,6 480
Murrumbeena,7 898,8 273,8 515,8 798,8 449
Ormond - Glen Huntly,11 769,12 167,12 631,13 405,13 023
Bentleigh East - North,11 313,11 674,11 931,12 491,12 481
Bentleigh East - South,9 792,10 174,10 532,10 839,10 883
Aspendale Gardens - Waterways,7 135,7 282,7 337,7 412,7 203
Braeside,181,190,176,177,143
Carrum - Patterson Lakes,9 174,9 554,9 437,9 640,9 502
Chelsea - Bonbeach,11 012,11 464,11 667,12 072,11 759
Chelsea Heights,4 112,4 163,4 199,4 302,4 177
Highett (East) - Cheltenham ,17 324,18 279,18 700,19 626,19 433
Edithvale - Aspendale,10 347,10 354,10 766,11 042,10 958
Mentone,10 641,11 028,11 162,11 279,11 229
Moorabbin - Heatherton,6 985,7 229,7 350,7 600,7 520
Moorabbin Airport,----,5,7,10,12
Mordialloc - Parkdale,16 154,16 489,16 971,17 433,17 306
Malvern - Glen Iris,17 385,17 987,18 411,18 714,18 362
Malvern East,17 299,17 979,18 335,18 947,18 899
Bundoora - East,7 175,7 280,7 455,7 725,7 668
Greensborough,16 386,16 865,16 928,17 071,16 556
Heidelberg - Rosanna,11 820,12 186,12 482,12 896,12 581
Heidelberg West,10 567,11 197,11 748,12 278,12 360
Ivanhoe,9 816,10 474,10 942,11 093,10 842
Ivanhoe East - Eaglemont,6 649,6 847,6 824,6 942,6 659
Montmorency - Briar Hill,12 977,13 050,13 230,13 256,12 792
Viewbank - Yallambie,13 558,13 997,13 944,14 356,14 025
Watsonia,6 865,7 060,7 165,7 388,7 114
Kingsbury,7 628,8 191,8 682,9 271,9 154
Preston - East,16 519,18 012,18 599,19 558,19 085
Preston - West,10 300,10 914,11 329,11 671,11 553
Reservoir - North East,10 444,11 133,11 779,12 344,12 196
Reservoir - North West,7 160,7 682,7 834,8 071,7 896
Reservoir - South East,9 233,9 843,10 413,10 912,10 782
Reservoir - South West,10 264,11 011,11 230,11 569,11 319
Eltham,19 829,19 913,19 887,20 092,19 249
Hurstbridge,2 969,3 107,3 073,3 020,3 042
Kinglake,3 126,3 183,3 148,3 291,3 277
Panton Hill - St Andrews,4 295,4 285,4 366,4 376,4 198
Plenty - Yarrambat,7 732,7 895,7 946,8 042,7 788
Research - North Warrandyte,5 541,5 666,5 723,5 734,5 662
Wattle Glen - Diamond Creek,11 665,11 959,12 096,12 285,12 239
Bundoora - North,5 208,5 711,5 951,6 093,6 016
Bundoora - West,4 432,4 752,4 740,4 898,4 867
Mill Park - North,14 073,14 809,14 836,15 056,14 774
Mill Park - South,9 278,9 328,9 442,9 525,9 041
Thomastown,12 793,13 662,14 106,14 753,14 567
Wallan,12 367,13 693,14 274,15 525,16 233
Whittlesea,5 871,6 056,6 223,6 377,6 691
Epping - East,9 543,10 040,10 227,10 259,9 847
Epping - South,6 059,6 363,6 396,6 462,6 327
Epping (Vic.) - West,7 937,8 368,8 762,9 087,8 990
South Morang - North,9 323,9 809,10 177,10 454,10 272
South Morang - South,9 029,9 486,9 623,10 038,9 989
Wollert,6 460,8 318,9 518,11 668,14 489
Doreen - North,10 390,11 332,12 106,12 925,13 399
Doreen - South,5 099,5 561,5 941,6 344,6 576
Lalor - East,6 081,6 439,6 819,7 041,7 012
Lalor - West,7 712,8 166,8 647,8 928,8 892
Mernda - North,6 281,7 377,8 015,8 687,9 060
Mernda - South,5 992,7 037,7 646,8 286,8 642
Airport West,5 679,6 105,6 209,6 456,6 565
Essendon Airport,----,18,13,14,23
Keilor,6 619,6 796,6 856,6 836,6 575
Niddrie - Essendon West,5 672,5 895,5 962,6 043,6 189
Strathmore,7 770,7 994,8 061,8 433,8 261
Avondale Heights,8 083,8 344,8 447,8 736,8 566
Keilor East,10 130,10 457,10 588,10 949,10 737
Gisborne,10 033,10 356,10 336,10 723,10 689
Macedon,2 550,2 695,2 671,2 708,2 650
Riddells Creek,3 367,3 498,3 508,3 596,3 511
Romsey,7 191,7 549,7 766,8 089,8 232
Coburg North,6 192,6 929,7 097,7 534,7 250
Fawkner,8 310,8 979,9 669,10 179,10 236
Gowanbrae,2 291,2 397,2 428,2 503,2 411
Hadfield,3 523,3 774,4 028,4 264,4 284
Glenroy - East,10 295,11 254,11 854,12 831,13 214
Glenroy - West,5 858,6 404,6 745,7 301,7 519
Oak Park,5 700,6 183,6 372,6 806,6 833
Pascoe Vale,12 860,13 951,14 378,15 355,15 416
Sunbury,10 115,10 519,10 724,11 061,10 829
Diggers Rest,1 832,1 953,2 036,2 165,2 175
Sunbury - South,10 116,10 788,11 243,11 958,12 013
Sunbury - West,8 705,9 283,9 675,10 290,10 337
Broadmeadows,7 137,7 997,8 565,9 366,9 480
Campbellfield - Coolaroo,8 019,8 484,8 919,9 385,9 083
Gladstone Park - Westmeadows,13 227,13 425,13 654,13 676,13 407
Greenvale - Bulla,12 829,14 066,14 699,15 349,15 684
Meadow Heights,7 494,7 942,8 064,8 517,8 304
Melbourne Airport,66,94,95,84,122
Tullamarine,4 978,5 030,5 172,5 162,5 022
Craigieburn - Central,6 131,6 402,6 418,6 560,6 195
Craigieburn - North,8 049,8 916,9 457,9 852,9 507
Craigieburn - South,11 797,13 043,14 038,14 679,14 995
Mickleham - Yuroke,2 643,4 286,6 583,9 711,13 467
Craigieburn - North West,3 720,4 305,4 810,5 383,5 809
Craigieburn - West,5 800,6 713,7 500,8 394,9 059
Roxburgh Park (South) - Somerton,5 427,5 855,6 155,6 589,6 562
Roxburgh Park - North,6 770,7 304,7 679,8 220,8 186
Bayswater,9 588,9 787,10 178,10 341,10 205
Knoxfield - Scoresby,11 577,12 361,12 823,13 507,13 185
Lysterfield,5 762,5 897,5 799,5 965,5 672
Rowville - Central,12 800,12 876,12 820,13 131,12 876
Rowville - North,6 431,6 649,6 632,6 730,6 458
Rowville - South,8 892,9 271,9 193,9 293,9 035
Wantirna,10 935,10 977,11 056,11 332,10 976
Wantirna South,14 083,14 232,14 357,14 529,14 354
Boronia,17 336,17 842,18 117,18 599,18 268
Ferntree Gully - North,10 766,11 232,11 135,11 498,11 046
Ferntree Gully (South) - Upper Ferntree Gully,12 122,12 399,12 545,13 005,12 627
The Basin,3 462,3 652,3 633,3 640,3 579
Donvale - Park Orchards,12 332,12 545,12 635,12 826,12 669
Warrandyte - Wonga Park,8 653,8 536,8 486,8 574,8 325
Bayswater North,9 443,9 718,9 875,10 116,9 670
Croydon Hills - Warranwood,15 574,15 691,15 616,15 594,15 165
Ringwood,13 316,13 909,14 477,14 987,14 887
Ringwood East,15 924,16 478,16 808,17 145,16 703
Ringwood North,7 862,7 959,7 932,7 931,7 632
Croydon - East,11 469,12 054,12 089,12 502,12 360
Croydon - West,9 917,10 166,10 417,10 560,10 684
Croydon South,3 630,3 634,3 694,3 841,3 818
Forest Hill,7 791,7 949,8 044,8 253,8 227
Mitcham (Vic.),13 000,13 510,13 698,14 233,14 071
Nunawading,8 932,9 469,9 636,9 927,9 860
Vermont,7 756,7 958,8 085,8 293,8 089
Vermont South,8 644,8 798,8 735,9 067,8 882
Belgrave - Selby,8 405,8 661,8 534,8 888,8 510
Chirnside Park,7 879,8 416,8 760,9 024,9 018
Healesville - Yarra Glen,10 482,10 790,10 993,11 286,10 979
Kilsyth,6 893,7 005,7 145,7 292,7 274
Lilydale - Coldstream,15 182,15 722,15 605,15 720,15 446
Monbulk - Silvan,4 644,4 885,4 944,4 892,4 747
Montrose,5 475,5 463,5 491,5 516,5 361
Mooroolbark,17 749,18 160,18 349,18 697,18 373
Mount Dandenong - Olinda,8 186,8 161,8 178,8 227,8 058
Mount Evelyn,7 910,8 081,8 089,8 298,8 060
Upwey - Tecoma,8 687,8 776,8 672,8 965,8 546
Wandin - Seville,6 488,6 639,6 728,6 930,6 897
