Region,2016,2017,2018,2019,2020
Rushworth,2 897,3 023,2 929,2 985,3 002
Cobram,4 360,4 548,4 712,4 559,4 699
Moira,2 171,2 254,2 275,2 342,2 358
Numurkah,9 787,10 061,10 043,9 915,9 865
Yarrawonga,5 049,5 191,5 304,5 485,5 587
Mooroopna,6 104,6 109,6 030,6 337,6 064
Shepparton - North,14 821,15 131,15 308,15 856,15 683
Shepparton Surrounds - East,3 573,3 629,3 570,3 719,3 575
Shepparton Surrounds - West,8 063,8 194,8 064,8 458,8 481
Kialla,5 271,5 431,5 525,5 897,5 961
Shepparton - South East,11 604,11 958,12 166,12 984,13 126
Glenelg (Vic.),7 552,7 583,7 727,7 802,7 649
Hamilton (Vic.),8 546,8 273,8 419,8 526,8 569
Portland,8 231,8 277,8 263,8 482,8 373
Southern Grampians,6 041,6 166,6 242,6 265,6 206
Camperdown,2 582,2 623,2 637,2 696,2 578
Colac,9 286,9 462,9 487,10 360,9 856
Colac Surrounds,4 790,4 937,5 000,5 148,5 128
Corangamite - North,4 264,4 408,4 562,4 584,4 545
Corangamite - South,6 213,6 335,6 379,6 579,6 509
Otway,3 063,3 225,3 207,3 364,3 326
Moyne - East,5 766,6 026,6 154,6 522,6 201
Moyne - West,7 845,7 993,8 036,8 400,8 420
Warrnambool - North,17 375,17 929,18 014,19 112,18 440
Warrnambool - South,10 644,10 748,10 445,11 655,11 144
