Region,2016,2017,2018,2019,2020
Moonee Ponds,59 112,59 800,60 879,62 722,64 710
Essendon (West) - Aberfeldie,,,,,
Essendon - East,,,,,
Carlton,39 048,36 819,37 254,38 891,40 326
Docklands,54 667,51 342,54 047,55 150,58 307
East Melbourne,71 551,70 034,71 759,75 755,77 804
Flemington Racecourse,48 518,60 511,51 725,55 538,57 275
Kensington (Vic.),61 221,63 505,65 563,67 962,70 336
Parkville,46 050,45 596,46 314,49 544,47 865
South Yarra - West,65 975,65 330,68 512,70 451,69 578
West Melbourne - Industrial,----,58 023,93 272,82 813,90 927
Melbourne CBD - East,,,,,
Melbourne CBD - North,,,,,
Melbourne CBD - West,,,,,
North Melbourne,,,,,
Southbank (West) - South Wharf,,,,,
Southbank - East,,,,,
West Melbourne - Residential,,,,,
Albert Park,67 627,66 160,66 627,67 518,68 933
Elwood,63 827,64 056,65 893,68 634,70 277
Port Melbourne,71 708,73 296,74 967,76 501,78 187
St Kilda East,53 795,54 133,56 841,60 012,61 274
Port Melbourne Industrial,,,,,
South Melbourne,,,,,
St Kilda - Central,,,,,
St Kilda - West,,,,,
Armadale,64 169,64 075,66 098,69 563,72 012
Prahran - Windsor,54 594,58 667,63 435,66 724,69 288
Toorak,70 630,71 282,72 451,75 759,74 766
South Yarra - North,,,,,
South Yarra - South,,,,,
Abbotsford,57 501,58 359,61 476,64 090,67 457
Carlton North - Princes Hill,54 412,54 876,57 240,60 116,60 975
Collingwood,53 828,56 825,60 589,63 876,67 156
Fitzroy,53 983,54 622,58 258,60 939,64 283
Fitzroy North,57 733,59 458,62 727,65 192,67 265
Clifton Hill - Alphington,63 048,64 478,68 435,70 982,71 765
Richmond (South) - Cremorne,,,,,
Richmond - North,,,,,
Ashburton (Vic.),58 828,60 353,61 321,62 937,64 056
Balwyn,51 241,49 615,50 044,51 902,51 703
Balwyn North,49 933,50 649,50 469,52 750,53 053
Camberwell,57 906,57 447,59 133,61 520,61 715
Glen Iris - East,62 276,63 193,63 403,65 964,67 321
Hawthorn East,58 996,60 906,61 766,62 766,61 319
Kew East,55 346,56 881,58 226,60 124,60 329
Surrey Hills (West) - Canterbury,60 234,61 533,63 041,65 212,64 023
Hawthorn - North,,,,,
Hawthorn - South,,,,,
Kew - South,,,,,
Kew - West,,,,,
Bulleen,46 574,45 948,47 352,49 223,51 507
Doncaster,39 751,40 490,41 278,42 170,42 538
Templestowe,47 574,47 589,47 638,49 823,50 147
Templestowe Lower,44 684,45 352,45 926,48 542,49 423
Doncaster East - North,42 121,42 351,43 211,45 091,45 363
Doncaster East - South,41 824,40 785,40 689,42 223,43 713
Blackburn,48 742,48 951,50 380,52 500,53 343
Blackburn South,46 584,46 228,47 174,49 900,49 401
Box Hill,41 256,37 979,37 811,39 731,39 083
Box Hill North,46 150,46 114,46 864,49 538,49 276
Burwood (Vic.),37 193,35 735,35 000,36 278,37 905
Burwood East,40 087,39 868,40 641,41 159,42 228
Surrey Hills (East) - Mont Albert,56 498,57 439,57 777,60 668,60 982
Beaumaris,54 838,57 104,57 097,59 983,59 622
Brighton (Vic.),66 607,66 389,67 255,69 529,69 865
Brighton East,57 992,59 126,59 841,62 676,63 091
Highett (West) - Cheltenham,54 273,55 336,57 299,61 107,63 609
Hampton,56 654,57 701,59 892,62 000,64 024
Sandringham - Black Rock,59 840,60 421,61 573,63 236,64 524
Bentleigh - McKinnon,51 938,53 843,54 863,57 362,59 107
Carnegie,51 880,51 864,52 685,54 084,56 595
Caulfield - North,57 098,57 450,58 709,60 528,61 580
Caulfield - South,54 611,55 608,57 298,59 427,59 165
Elsternwick,57 884,59 067,60 327,63 323,64 851
Hughesdale,52 498,52 729,52 692,54 341,57 091
Murrumbeena,52 031,52 454,54 121,55 451,58 008
Ormond - Glen Huntly,51 848,52 289,52 837,55 022,57 286
