Region,2018,2019,2020,2021,2022,2023
Port Melbourne,----,----,----,----,1 837,1 344
St Kilda East,----,----,----,----,2 350,1 820
Port Melbourne Industrial,----,----,----,----,705,473
South Melbourne,----,----,----,----,1 864,1 403
St Kilda - Central,----,----,----,----,2 118,1 534
St Kilda - West,----,----,----,----,2 324,1 737
Armadale,----,----,----,----,1 403,972
Prahran - Windsor,----,----,----,----,3 041,2 425
Toorak,----,----,----,----,1 687,1 176
South Yarra - North,----,----,----,----,1 960,1 562
South Yarra - South,----,----,----,----,1 723,1 343
Abbotsford,----,----,----,----,1 684,1 198
Carlton North - Princes Hill,----,----,----,----,1 208,932
Collingwood,----,----,----,----,1 841,1 416
Fitzroy,----,----,----,----,1 778,1 240
Fitzroy North,----,----,----,----,1 829,1 319
Clifton Hill - Alphington,----,----,----,----,1 568,1 151
Richmond (South) - Cremorne,----,----,----,----,2 564,2 032
Richmond - North,----,----,----,----,2 084,1 575
Ashburton (Vic.),----,----,----,----,767,670
Balwyn,----,----,----,----,1 826,1 288
Balwyn North,----,----,----,----,1 878,1 406
Camberwell,----,----,----,----,2 189,1 739
Glen Iris - East,----,----,----,----,1 580,1 296
Hawthorn East,----,----,----,----,2 187,1 694
Kew East,----,----,----,----,684,450
Surrey Hills (West) - Canterbury,----,----,----,----,1 542,1 241
Hawthorn - North,----,----,----,----,1 277,981
Hawthorn - South,----,----,----,----,1 872,1 414
Kew - South,----,----,----,----,1 316,1 003
Kew - West,----,----,----,----,1 567,1 036
Bulleen,----,----,----,----,1 099,785
Doncaster,----,----,----,----,2 873,2 138
Templestowe,----,----,----,----,1 553,1 135
Templestowe Lower,----,----,----,----,1 342,974
Doncaster East - North,----,----,----,----,1 450,1 111
Doncaster East - South,----,----,----,----,1 690,1 284
Blackburn,----,----,----,----,2 203,1 702
Blackburn South,----,----,----,----,996,725
Box Hill,----,----,----,----,2 792,1 993
Box Hill North,----,----,----,----,1 859,1 385
Burwood (Vic.),----,----,----,----,1 485,1 110
Burwood East,----,----,----,----,1 132,1 116
Surrey Hills (East) - Mont Albert,----,----,----,----,1 118,912
Beaumaris,----,----,----,----,1 182,926
Brighton (Vic.),----,----,----,----,2 287,1 658
Brighton East,----,----,----,----,1 773,1 241
Highett (West) - Cheltenham,----,----,----,----,1 458,1 016
Hampton,----,----,----,----,1 980,1 356
Sandringham - Black Rock,----,----,----,----,1 820,1 353
Bentleigh - McKinnon,----,----,----,----,2 752,2 005
Carnegie,----,----,----,----,2 355,1 838
Caulfield - North,----,----,----,----,2 483,1 767
Caulfield - South,----,----,----,----,1 812,1 371
Elsternwick,----,----,----,----,1 532,1 018
Hughesdale,----,----,----,----,890,618
Murrumbeena,----,----,----,----,1 120,712
Ormond - Glen Huntly,----,----,----,----,1 698,1 151
Bentleigh East - North,----,----,----,----,1 781,1 264
Bentleigh East - South,----,----,----,----,1 474,1 176
Aspendale Gardens - Waterways,----,----,----,----,572,456
Braeside,,,,,,
Carrum - Patterson Lakes,----,----,----,----,1 250,958
Chelsea - Bonbeach,----,----,----,----,1 762,1 346
Chelsea Heights,----,----,----,----,448,341
Highett (East) - Cheltenham ,----,----,----,----,2 653,2 166
Edithvale - Aspendale,----,----,----,----,1 364,1 014
Mentone,----,----,----,----,1 518,1 220
Moorabbin - Heatherton,----,----,----,----,1 107,821
Moorabbin Airport,,,,,,
Mordialloc - Parkdale,----,----,----,----,1 965,1 526
Malvern - Glen Iris,----,----,----,----,2 452,2 043
Malvern East,----,----,----,----,2 310,1 737
Bundoora - East,----,----,----,----,862,677
Greensborough,----,----,----,----,1 860,1 418
