Region,2018,2019,2020,2021,2022,2023
Seaford (Vic.),11 383,11 427,11 403,11 243,11 339,----
Skye - Sandhurst,9 522,9 433,9 251,9 016,8 995,----
Dromana,7 082,7 252,7 460,7 555,7 590,----
Flinders,3 341,3 365,3 345,3 300,3 222,----
Hastings - Somers,14 702,14 775,14 771,14 580,14 307,----
Mount Eliza,11 093,11 094,11 064,10 839,10 719,----
Mount Martha,11 492,11 600,11 607,11 441,11 349,----
Point Nepean,10 316,10 571,10 743,10 836,10 688,----
Rosebud - McCrae,11 952,12 124,12 241,12 228,12 103,----
Somerville,12 424,12 306,12 142,11 909,11 724,----
Mornington - East,8 805,8 868,8 811,8 582,8 583,----
Mornington - West,5 605,5 674,5 612,5 428,5 340,----
Ararat,5 289,5 329,5 339,5 223,5 130,----
Ararat Surrounds,1 873,1 871,1 872,1 859,1 845,----
Horsham,10 058,10 131,10 221,10 139,10 086,----
Horsham Surrounds,2 193,2 204,2 210,2 209,2 192,----
Nhill Region,4 008,4 026,4 003,3 962,3 885,----
St Arnaud,1 919,1 924,1 937,1 924,1 909,----
Stawell,5 038,5 031,5 049,5 029,4 999,----
West Wimmera,1 603,1 587,1 570,1 528,1 495,----
Yarriambiack,3 733,3 726,3 689,3 590,3 527,----
Irymple,4 517,4 603,4 715,4 809,4 870,----
Merbein,3 004,3 002,3 008,2 966,2 948,----
Mildura Surrounds,2 292,2 281,2 267,2 215,2 224,----
Red Cliffs,3 862,3 887,3 917,3 878,3 870,----
Mildura - North,11 729,11 735,11 641,11 370,11 394,----
Mildura - South,9 675,9 964,10 181,10 121,10 168,----
Buloke,3 486,3 482,3 459,3 457,3 454,----
Gannawarra,3 785,3 734,3 691,3 694,3 606,----
Kerang,2 161,2 139,2 122,2 094,2 059,----
Robinvale,2 350,2 431,2 492,2 501,2 466,----
Swan Hill,6 886,6 896,6 848,6 695,6 542,----
Swan Hill Surrounds,4 076,4 102,4 067,4 060,4 071,----
Echuca,9 096,9 182,9 233,9 219,9 141,----
Kyabram,6 416,6 404,6 390,6 301,6 248,----
Lockington - Gunbower,2 455,2 426,2 412,2 432,2 427,----
Rochester,2 245,2 245,2 254,2 244,2 205,----
Rushworth,2 364,2 370,2 390,2 404,2 377,----
Cobram,3 575,3 576,3 570,3 504,3 551,----
Moira,1 699,1 698,1 725,1 729,1 731,----
Numurkah,7 531,7 543,7 531,7 470,7 406,----
Yarrawonga,4 319,4 344,4 356,4 354,4 441,----
Mooroopna,5 048,5 111,5 093,5 034,4 959,----
Shepparton - North,12 487,12 659,12 741,12 606,12 595,----
Shepparton Surrounds - East,2 559,2 576,2 590,2 587,2 586,----
Shepparton Surrounds - West,6 497,6 497,6 468,6 408,6 419,----
Kialla,4 978,5 224,5 366,5 523,5 748,----
Shepparton - South East,10 135,10 139,10 203,10 028,9 908,----
Glenelg (Vic.),5 340,5 316,5 258,5 175,5 107,----
Hamilton (Vic.),5 997,5 988,5 985,5 878,5 845,----
Portland,6 822,6 841,6 765,6 663,6 591,----
Southern Grampians,3 659,3 655,3 647,3 622,3 576,----
Camperdown,1 940,1 934,1 896,1 878,1 885,----
Colac,7 634,7 644,7 627,7 480,7 394,----
Colac Surrounds,3 347,3 407,3 434,3 439,3 386,----
Corangamite - North,3 178,3 175,3 166,3 178,3 128,----
Corangamite - South,4 455,4 450,4 406,4 352,4 337,----
Otway,2 315,2 353,2 385,2 389,2 352,----
Moyne - East,4 212,4 236,4 258,4 297,4 350,----
Moyne - West,5 825,5 819,5 779,5 759,5 787,----
Warrnambool - North,13 808,13 939,13 994,13 892,13 946,----
Warrnambool - South,8 316,8 295,8 279,8 117,8 075,----
