Blackburn South,773,852,962
Box Hill,2 403,3 182,4 304
Box Hill North,1 438,1 697,1 933
Burwood (Vic.),1 192,1 602,1 744
Burwood East,718,835,1 017
Surrey Hills (East) - Mont Albert,793,874,962
Beaumaris,546,576,644
Brighton (Vic.),1 727,1 990,2 083
Brighton East,1 058,1 077,1 168
Highett (West) - Cheltenham,903,1 047,1 260
Hampton,1 616,1 707,1 776
Sandringham - Black Rock,1 151,1 419,1 510
Bentleigh - McKinnon,1 766,2 035,2 669
Carnegie,2 732,3 182,3 460
Caulfield - North,2 451,2 826,3 446
Caulfield - South,1 620,1 787,1 873
Elsternwick,1 449,1 611,1 957
Hughesdale,872,976,1 019
Murrumbeena,1 234,1 311,1 321
Ormond - Glen Huntly,2 051,2 278,2 220
Bentleigh East - North,1 018,1 168,1 464
Bentleigh East - South,829,965,1 178
Aspendale Gardens - Waterways,204,244,305
Braeside,----,8,5
Carrum - Patterson Lakes,919,961,1 015
Chelsea - Bonbeach,1 759,1 859,1 970
Chelsea Heights,339,265,256
Highett (East) - Cheltenham ,1 837,2 212,2 688
Edithvale - Aspendale,903,967,1 076
Mentone,1 388,1 782,1 816
Moorabbin - Heatherton,610,829,954
Moorabbin Airport,,,
Mordialloc - Parkdale,1 841,1 939,2 086
Malvern - Glen Iris,2 433,2 696,2 649
Malvern East,2 046,2 425,2 540
Bundoora - East,572,685,794
Greensborough,1 187,1 259,1 385
Heidelberg - Rosanna,1 335,1 609,1 958
Heidelberg West,2 358,2 357,2 818
Ivanhoe,1 240,1 263,1 505
Ivanhoe East - Eaglemont,515,504,546
Montmorency - Briar Hill,1 040,1 035,1 092
Viewbank - Yallambie,1 210,1 290,1 383
Watsonia,656,731,799
Kingsbury,859,1 095,1 285
Preston - East,2 518,3 135,3 733
Preston - West,1 334,1 481,1 648
Reservoir - North East,1 660,2 092,2 353
Reservoir - North West,616,647,706
Reservoir - South East,1 629,1 955,2 117
Reservoir - South West,1 821,2 114,2 290
Eltham,800,805,856
Hurstbridge,119,107,128
Kinglake,88,102,74
Panton Hill - St Andrews,128,104,109
Plenty - Yarrambat,170,198,194
Research - North Warrandyte,156,147,137
Wattle Glen - Diamond Creek,373,407,440
Bundoora - North,349,800,714
Bundoora - West,507,633,690
Mill Park - North,891,1 085,1 352
Mill Park - South,783,854,936
Thomastown,1 433,1 806,2 087
Wallan,490,836,1 324
Whittlesea,369,405,558
Epping - East,702,1 004,1 033
Epping - South,806,909,977
Epping (Vic.) - West,326,850,1 134
South Morang - North,424,644,734
South Morang - South,740,815,914
Wollert,22,539,1 706
Doreen - North,282,876,1 052
Doreen - South,135,579,804
Lalor - East,821,991,1 181
Lalor - West,568,845,1 001
Mernda - North,192,771,1 063
Mernda - South,204,657,992
Airport West,595,739,962
Essendon Airport,,,
Keilor,319,343,375
Niddrie - Essendon West,477,608,660
