SA2,Median Criminal Count
Kerang,84.0
Kew - South,51.0
Kew - West,41.0
Kew East,41.0
Keysborough - North,73.5
Keysborough - South,116.5
Kialla,147.0
Kilmore - Broadford,59.333333333333336
Kilsyth,91.0
Kinglake,65.66666666666667
Kings Park (Vic.),202.5
Kingsbury,122.0
Knoxfield - Scoresby,75.0
Koo Wee Rup,71.375
Korumburra,40.625
Kurunjang - Toolern Vale,129.0
Kyabram,54.4
Kyneton,55.833333333333336
Lake King,63.2
Lakes Entrance,38.0
Lalor - East,53.0
Lalor - West,56.333333333333336
Langwarrin,48.5
Lara,100.6
Laverton,82.66666666666667
Leongatha,35.5
Leopold,84.0
Lilydale - Coldstream,50.0
Lockington - Gunbower,24.75
Loddon,35.80952380952381
Longford - Loch Sport,70.0
Lorne - Anglesea,22.2
Lynbrook - Lyndhurst,84.0
Lysterfield,147.0
Macedon,34.333333333333336
Maffra,83.75
Maiden Gully,218.5
Malvern - Glen Iris,66.0
Malvern East,80.0
Manor Lakes - Quandong,137.5
Mansfield (Vic.),38.42857142857143
Maribyrnong,123.0
Maryborough (Vic.),107.0
Maryborough Surrounds,69.875
Meadow Heights,92.0
Melbourne Airport,44.5
Melbourne CBD - East,83.0
Melbourne CBD - North,83.0
Melbourne CBD - West,83.0
Melton,211.0
Melton South - Weir Views,177.0
Melton West,211.0
Mentone,62.0
Merbein,72.0
Mernda - North,105.0
Mernda - South,74.5
Mickleham - Yuroke,108.0
Mildura - North,65.0
Mildura - South,59.666666666666664
Mildura Surrounds,26.583333333333332
Mill Park - North,55.0
Mill Park - South,54.0
Mitcham (Vic.),44.0
Moe - Newborough,226.0
Moira,36.714285714285715
Monbulk - Silvan,27.6
Montmorency - Briar Hill,72.75
Montrose,47.666666666666664
Moonee Ponds,53.0
Moorabbin - Heatherton,41.0
Moorabbin Airport,62.0
Mooroolbark,48.666666666666664
Mooroopna,91.0
Mordialloc - Parkdale,193.0
Mornington - East,56.0
Mornington - West,56.0
Morwell,130.5
Mount Baw Baw Region,76.5
Mount Dandenong - Olinda,17.153846153846153
Mount Eliza,40.0
Mount Evelyn,68.0
Mount Martha,38.0
Mount Waverley - North,51.0
Mount Waverley - South,51.0
Moyne - East,24.4375
Moyne - West,21.2
Mulgrave,66.0
Murrumbeena,115.0
Myrtleford,20.0
Nagambie,33.333333333333336
Narre Warren - North East,78.5
Narre Warren - South West,110.0
Narre Warren North,56.333333333333336
Narre Warren South - East,110.0
Narre Warren South - West,110.0
Newcomb - Moolap,141.0
Newport,74.66666666666667
Newtown (Vic.),132.0
Nhill Region,27.181818181818183
Niddrie - Essendon West,99.5
Noble Park - East,97.0
Noble Park - West,75.66666666666667
Noble Park North,140.0
Norlane,159.0
North Geelong - Bell Park,125.66666666666667
North Melbourne,62.666666666666664
Northcote - East,80.0
Northcote - West,51.0
Numurkah,34.22222222222222
Nunawading,87.0
Oak Park,107.5
Oakleigh - Huntingdale,83.0
Ocean Grove,61.666666666666664
Orbost,35.44444444444444
Ormond - Glen Huntly,90.33333333333333
Otway,22.666666666666668
Pakenham - North East,66.5
Pakenham - North West,74.0
Pakenham - South East,66.5
Pakenham - South West,93.0
Panton Hill - St Andrews,37.1
Parkville,80.5
Pascoe Vale,107.5
Pascoe Vale South,94.5
Paynesville,84.0
Pearcedale - Tooradin,157.66666666666666
Phillip Island,58.0
Plenty - Yarrambat,53.333333333333336
Point Cook - East,153.0
Point Cook - North East,153.0
Point Cook - North West,153.0
Point Cook - South,153.0
Point Lonsdale - Queenscliff,71.5
Point Nepean,49.6
Port Melbourne,85.0
Port Melbourne Industrial,78.0
Portarlington,83.0
Portland,105.0
Prahran - Windsor,77.5
Preston - East,63.0
Preston - West,83.5
Red Cliffs,66.0
Research - North Warrandyte,44.25
Reservoir - North East,63.0
Reservoir - North West,63.0
Reservoir - South East,63.0
Reservoir - South West,76.66666666666667
Richmond (South) - Cremorne,121.0
Richmond - North,121.0
Riddells Creek,35.25
Ringwood,114.0
Ringwood East,99.66666666666667
Ringwood North,69.5
Robinvale,57.0
Rochester,30.333333333333332
Rockbank - Mount Cottrell,140.8
Romsey,35.55555555555556
Rosebud - McCrae,60.5
Rosedale,55.75
Rowville - Central,53.0
Rowville - North,79.66666666666667
Rowville - South,53.0
Roxburgh Park (South) - Somerton,112.5
Roxburgh Park - North,197.0
Royal Botanic Gardens Victoria,93.5
Rushworth,61.375
Rutherglen,23.0
Sale,108.5
Sandringham - Black Rock,70.25
Seabrook,135.0
Seaford (Vic.),83.5
Sebastopol - Redan,325.5
Seddon - Kingsville,108.33333333333333
Seymour,86.0
Seymour Surrounds,50.0
Shepparton - North,107.5
Shepparton - South East,107.5
Shepparton Surrounds - East,43.285714285714285
Shepparton Surrounds - West,40.44444444444444
Skye - Sandhurst,351.0
Smythes Creek,229.0
Somerville,43.75
South Melbourne,84.0
South Morang - North,47.5
South Morang - South,51.0
South Yarra - North,82.0
South Yarra - South,82.0
South Yarra - West,93.5
Southbank (West) - South Wharf,86.5
Southbank - East,111.0
Southern Grampians,22.53846153846154
Springvale,77.5
Springvale South,65.0
St Albans - North,174.0
St Albans - South,174.0
St Arnaud,29.444444444444443
St Kilda - Central,71.0
St Kilda - West,85.8
St Kilda East,96.66666666666667
Stawell,38.55555555555556
Strathfieldsaye,347.0
Strathmore,109.0
Sunbury,34.0
Sunbury - South,58.5
Sunbury - West,70.0
Sunshine,199.0
Sunshine North,199.0
Sunshine West,153.66666666666666
Surrey Hills (East) - Mont Albert,83.0
Surrey Hills (West) - Canterbury,53.0
Swan Hill,71.0
Swan Hill Surrounds,17.941176470588236
Sydenham,184.0
Tarneit (West) - Mount Cottrell,156.5
Tarneit - Central,191.0
Tarneit - North,191.0
Tarneit - South,191.0
Taylors Hill,207.5
Taylors Lakes,98.5
Templestowe,40.5
Templestowe Lower,48.0
The Basin,23.5
Thomastown,92.0
Thornbury,51.0
Tocumwal - Finley - Jerilderie,85.0
Toorak,52.0
Torquay,85.5
Towong,24.875
Trafalgar (Vic.),72.5
Traralgon - East,143.0
Traralgon - West,143.0
Truganina - North,191.0
Truganina - South East,114.5
Truganina - South West,191.0
Tullamarine,84.5
Tumbarumba,15.0
Upper Yarra Valley,49.5
Upwey - Tecoma,72.0
Vermont,73.0
Vermont South,73.0
Viewbank - Yallambie,99.75
Wallan,47.4
Wandin - Seville,77.66666666666667
Wangaratta,85.5
Wangaratta Surrounds,36.76923076923077
Wantirna,98.0
Wantirna South,68.0
Warragul,53.6
Warrandyte - Wonga Park,53.6
Warrnambool - North,49.0
Warrnambool - South,55.5
Watsonia,116.33333333333333
Wattle Glen - Diamond Creek,30.0
Wendouree - Miners Rest,205.5
Werribee - East,172.0
Werribee - South,153.0
Werribee - West,106.66666666666667
West Footscray - Tottenham,139.5
West Melbourne - Industrial,56.5
West Melbourne - Residential,51.0
West Wimmera,22.88888888888889
West Wodonga,114.5
Wheelers Hill,74.0
White Hills - Ascot,282.0
Whittlesea,69.4
Williamstown,78.0
Wilsons Promontory,41.0
Winchelsea,36.25
Wodonga,114.5
Wollert,26.0
Wonthaggi - Inverloch,46.2
Woodend,46.0
Wyndham Vale - North,149.5
Wyndham Vale - South,122.0
Yackandandah,49.5
Yallourn North - Glengarry,83.2
Yarra Valley,74.2
Yarram,55.22222222222222
Yarraville,46.0
Yarrawonga,65.0
Yarriambiack,18.27777777777778
Yea,57.333333333333336
