Model,Optimal number of features,Selected features
Random Forest,17,"['bed_info', 'bath_info', 'parking', 'Median monthly household mortgage payment ($)', 'Median price of established house transfers ($)', 'Median total income (excl. Government pensions and allowances) ($)', 'Median weekly household rental payment ($)', 'property_type_House', 'distance_to_fire_station', 'distance_to_melbourne_central', 'distance_to_the_university_of_melbourne,_parkville_campus', 'distance_to_la_trobe_university_(bundoora_campus)', 'distance_to_monash_university,_clayton_campus', 'distance_to_deakin_university_-_burwood_campus', 'secondary_primary_school_count_within_3000m', 'restaurant_bar_count_within_1000m', 'cinema_theatre_count_within_3000m']"
XGBoost,34,"['bed_info', 'bath_info', 'parking', 'post_code', 'Children enrolled in a preschool or preschool program (no.)', 'Estimated resident population (no.)', 'Land area (ha)', 'Median monthly household mortgage payment ($)', 'Median price of established house transfers ($)', 'Median total income (excl. Government pensions and allowances) ($)', 'Median weekly household rental payment ($)', 'Number of jobs', 'Working age population (aged 15-64 years) (%)', 'avg_crime_count', 'region_encoded', 'property_type_House', 'property_type_Townhouse', 'route_distance_m', 'distance_to_hospital', 'distance_to_police_station', 'distance_to_fire_station', 'distance_to_university_college', 'distance_to_melbourne_central', 'distance_to_the_university_of_melbourne,_parkville_campus', 'distance_to_la_trobe_university_(bundoora_campus)', 'distance_to_monash_university,_clayton_campus', 'distance_to_deakin_university_-_burwood_campus', 'distance_to_shop', 'kindergarten_count_within_1000m', 'secondary_primary_school_count_within_3000m', 'restaurant_bar_count_within_1000m', 'cinema_theatre_count_within_3000m', 'shop_count_within_1000m', 'park_count_within_1000m']"
