route_id,service_id,trip_id,shape_id,trip_headsign,direction_id,block_id
"11-SK4-mjp-1","T0","1.T0.11-SK4-mjp-1.1.H","11-SK4-mjp-1.1.H","Frankston","0",""
"11-SK4-mjp-1","T2","1.T2.11-SK4-mjp-1.1.H","11-SK4-mjp-1.1.H","Frankston","0",""
"11-SK4-mjp-1","T3","1.T3.11-SK4-mjp-1.1.H","11-SK4-mjp-1.1.H","Frankston","0",""
"11-SK4-mjp-1","UI","1.UI.11-SK4-mjp-1.1.H","11-SK4-mjp-1.1.H","Frankston","0",""
"11-SK4-mjp-1","UL","1.UL.11-SK4-mjp-1.1.H","11-SK4-mjp-1.1.H","Frankston","0",""
"11-SK4-mjp-1","UU","1.UU.11-SK4-mjp-1.1.H","11-SK4-mjp-1.1.H","Frankston","0",""
"11-SK4-mjp-1","T0","10.T0.11-SK4-mjp-1.1.H","11-SK4-mjp-1.1.H","Frankston","0",""
"11-SK4-mjp-1","T2","10.T2.11-SK4-mjp-1.2.R","11-SK4-mjp-1.2.R","Melbourne Airport","1",""
"11-SK4-mjp-1","T3","10.T3.11-SK4-mjp-1.2.R","11-SK4-mjp-1.2.R","Melbourne Airport","1",""
"11-SK4-mjp-1","UI","10.UI.11-SK4-mjp-1.2.R","11-SK4-mjp-1.2.R","Melbourne Airport","1",""
"11-SK4-mjp-1","UL","10.UL.11-SK4-mjp-1.2.R","11-SK4-mjp-1.2.R","Melbourne Airport","1",""
"11-SK4-mjp-1","UU","10.UU.11-SK4-mjp-1.2.R","11-SK4-mjp-1.2.R","Melbourne Airport","1",""
"11-SK4-mjp-1","T0","11.T0.11-SK4-mjp-1.1.H","11-SK4-mjp-1.1.H","Frankston","0",""
"11-SK4-mjp-1","T2","11.T2.11-SK4-mjp-1.2.R","11-SK4-mjp-1.2.R","Melbourne Airport","1",""
"11-SK4-mjp-1","T3","11.T3.11-SK4-mjp-1.2.R","11-SK4-mjp-1.2.R","Melbourne Airport","1",""
"11-SK4-mjp-1","UI","11.UI.11-SK4-mjp-1.2.R","11-SK4-mjp-1.2.R","Melbourne Airport","1",""
"11-SK4-mjp-1","UL","11.UL.11-SK4-mjp-1.2.R","11-SK4-mjp-1.2.R","Melbourne Airport","1",""
"11-SK4-mjp-1","UU","11.UU.11-SK4-mjp-1.2.R","11-SK4-mjp-1.2.R","Melbourne Airport","1",""
"11-SK4-mjp-1","T0","12.T0.11-SK4-mjp-1.1.H","11-SK4-mjp-1.1.H","Frankston","0",""
"11-SK4-mjp-1","T2","12.T2.11-SK4-mjp-1.2.R","11-SK4-mjp-1.2.R","Melbourne Airport","1",""
"11-SK4-mjp-1","T3","12.T3.11-SK4-mjp-1.2.R","11-SK4-mjp-1.2.R","Melbourne Airport","1",""
"11-SK4-mjp-1","UI","12.UI.11-SK4-mjp-1.2.R","11-SK4-mjp-1.2.R","Melbourne Airport","1",""
"11-SK4-mjp-1","UL","12.UL.11-SK4-mjp-1.2.R","11-SK4-mjp-1.2.R","Melbourne Airport","1",""
"11-SK4-mjp-1","UU","12.UU.11-SK4-mjp-1.2.R","11-SK4-mjp-1.2.R","Melbourne Airport","1",""
"11-SK4-mjp-1","T0","13.T0.11-SK4-mjp-1.1.H","11-SK4-mjp-1.1.H","Frankston","0",""
