property_url,name,property_type,cost_text,latitude,longitude,bed_info,bath_info,parking,date_available,desc
https://www.domain.com.au/311-333-ascot-vale-road-moonee-ponds-vic-3039-17187477,"311/333 Ascot Vale Road, Moonee Ponds VIC 3039",Apartment / Unit / Flat,$630 pw,-37.7683858,144.9244458,2 Beds,2 Baths,1 Parking,Available Now,Carson Mair
https://www.domain.com.au/501-446-malvern-road-prahran-vic-3181-17187423,"501/446 Malvern Road, Prahran VIC 3181",Apartment / Unit / Flat,$2200 Per Week,-37.8479885,145.0012197,3 Beds,2 Baths,2 Parking,Available Now,Nathan Emmett
https://www.domain.com.au/1-45-william-street-wodonga-vic-3690-17187379,"1/45 William Street, Wodonga VIC 3690",Apartment / Unit / Flat,$420 per week,-36.1285828,146.8828127,2 Beds,1 Bath,1 Parking,Available Now,Renee Saunders
https://www.domain.com.au/808-408-lonsdale-street-melbourne-vic-3000-16597255,"808/408 Lonsdale Street, Melbourne VIC 3000",Studio,$400,-37.8125979,144.9604012,1 Bed,1 Bath,N/A,Available Now,Manuel Flores
https://www.domain.com.au/g14-45-linden-avenue-ivanhoe-vic-3079-17187351,"G14/45 Linden Avenue, Ivanhoe VIC 3079",Apartment / Unit / Flat,$470 PER WEEK,-37.754952,145.0540423,1 Bed,1 Bath,1 Parking,Available Now,Mary Corso
https://www.domain.com.au/11-36-kensington-road-south-yarra-vic-3141-17187331,"11/36 Kensington Road, South Yarra VIC 3141",Apartment / Unit / Flat,$625 Per Week,-37.8364859,145.0017852,2 Beds,1 Bath,1 Parking,Available Now,Lucas Russell
https://www.domain.com.au/32-115-oxford-street-collingwood-vic-3066-17150676,"32/115 Oxford Street, Collingwood VIC 3066",Apartment / Unit / Flat,Fully Furnished- $1000 / Unfurnished- $960,-37.8026024,144.9847895,2 Beds,1 Bath,1 Parking,"Tuesday, 10th September 2024",Jayde Cashion
https://www.domain.com.au/309-88-cambridge-street-collingwood-vic-3066-15175691,"309/88 Cambridge Street, Collingwood VIC 3066",Apartment / Unit / Flat,$580 per week,-37.8060423,144.9854966,1 Bed,1 Bath,1 Parking,"Wednesday, 18th September 2024",Angus Brayshaw
https://www.domain.com.au/4-1-canberra-road-toorak-vic-3142-17187020,"4/1 Canberra Road, Toorak VIC 3142",Apartment / Unit / Flat,$1200 Per Week,-37.836645,145.0096942,3 Beds,2 Baths,1 Parking,Available Now,Hudson Keppell
https://www.domain.com.au/111-226-bay-road-sandringham-vic-3191-17186826,"111/226 Bay Road, Sandringham VIC 3191",Apartment / Unit / Flat,$950 Per Week,-37.9552626,145.0262991,3 Beds,2 Baths,2 Parking,Available Now,Megan Taylor
https://www.domain.com.au/7-61-marne-street-south-yarra-vic-3141-17186789,"7/61 Marne Street, South Yarra VIC 3141",Apartment / Unit / Flat,$650 Per Week,-37.834675,144.9840715,2 Beds,1 Bath,N/A,Available Now,Hudson Keppell
https://www.domain.com.au/5-32-darling-street-south-yarra-vic-3141-17186733,"5/32 Darling Street, South Yarra VIC 3141",Apartment / Unit / Flat,$500 pw,-37.836706,144.9919495,1 Bed,1 Bath,N/A,Available Now,Paul Tunney
https://www.domain.com.au/20-114-dodds-street-southbank-vic-3006-17186715,"20/114 Dodds Street, Southbank VIC 3006",Apartment / Unit / Flat,$650 Per Week,-37.8290502,144.9659461,2 Beds,1 Bath,1 Parking,"Monday, 30th September 2024",Frazer Downes
https://www.domain.com.au/125-33-47-la-trobe-street-melbourne-vic-3000-17186710,"125/33-47 La Trobe Street, Melbourne VIC 3000",Apartment / Unit / Flat,$600.00,-37.8079019,144.9703422,2 Beds,1 Bath,1 Parking,"Wednesday, 2nd October 2024",Jack Alexander
https://www.domain.com.au/2104-18-yarra-street-south-yarra-vic-3141-17186708,"2104/18 Yarra Street, South Yarra VIC 3141",Apartment / Unit / Flat,$650 Per Week,-37.8362196,144.9932185,2 Beds,1 Bath,N/A,"Thursday, 12th September 2024",Darren McMullin
https://www.domain.com.au/5-15-maling-road-canterbury-vic-3126-17186705,"5/15 Maling Road, Canterbury VIC 3126",Apartment / Unit / Flat,$650 Per Week,-37.8283188,145.0740245,2 Beds,1 Bath,1 Parking,"Monday, 9th September 2024",Dylan Archer
https://www.domain.com.au/4-258-hope-street-brunswick-west-vic-3055-16195281,"4/258 Hope Street, Brunswick West VIC 3055",Apartment / Unit / Flat,$560,-37.7618939,144.9434662,2 Beds,1 Bath,1 Parking,Available Now,Hassan Allouche
https://www.domain.com.au/9b-131-lonsdale-street-melbourne-vic-3000-17186660,"9B/131 Lonsdale Street, Melbourne VIC 3000",Apartment / Unit / Flat,$450 per week,-37.810779,144.9685513,1 Bed,1 Bath,N/A,"Saturday, 7th September 2024",Serena Fonua
https://www.domain.com.au/808-800-chapel-street-south-yarra-vic-3141-17186642,"808/800 Chapel Street, South Yarra VIC 3141",Apartment / Unit / Flat,$700 Per Week,-37.83604,144.9966822,2 Beds,1 Bath,1 Parking,Available Now,Evelyne Surja
https://www.domain.com.au/127-88-kavanagh-street-southbank-vic-3006-17186615,"127/88 Kavanagh Street, Southbank VIC 3006",Apartment / Unit / Flat,$725 pw,-37.8246292,144.9630105,2 Beds,2 Baths,1 Parking,Available Now,Trish Ha
https://www.domain.com.au/1-34-mcintyre-street-burwood-vic-3125-17186581,"1/34 McIntyre Street, Burwood VIC 3125",Apartment / Unit / Flat,$500 weekly,-37.8512989,145.105742,2 Beds,1 Bath,1 Parking,"Wednesday, 18th September 2024",Jamie-Lee Fox
https://www.domain.com.au/28-220-barkly-street-st-kilda-vic-3182-17186553,"28/220 Barkly Street, St Kilda VIC 3182",Apartment / Unit / Flat,$850 pw,-37.8709428,144.980705,2 Beds,2 Baths,1 Parking,"Thursday, 12th September 2024",Joanne Pearson
