property_url,name,property_type,cost_text,latitude,longitude,bed_info,bath_info,parking,date_available,desc
https://www.domain.com.au/2-47-ashburn-grove-ashburton-vic-3147-17191874,"2/47 Ashburn Grove, Ashburton VIC 3147",House,$690,-37.8678758,145.080305,3 Beds,1 Bath,2 Parking,"Wednesday, 11th September 2024",Dylan Reeves
https://www.domain.com.au/8-clarke-avenue-belmont-vic-3216-17191862,"8 Clarke Avenue, Belmont VIC 3216",House,$480.00,-38.1744297,144.3264989,3 Beds,1 Bath,1 Parking,"Wednesday, 9th October 2024",Tim Callander
https://www.domain.com.au/22-leslie-street-richmond-vic-3121-17191819,"22 Leslie Street, Richmond VIC 3121",House,$950 Per Week,-37.812769,145.0068411,3 Beds,1 Bath,1 Parking,"Thursday, 26th September 2024",Tom Koller
https://www.domain.com.au/82-roseberry-street-hawthorn-east-vic-3123-17191774,"82 Roseberry Street, Hawthorn East VIC 3123",House,$675 weekly,-37.827023,145.050458,2 Beds,2 Baths,1 Parking,"Tuesday, 1st October 2024",Justine Sawford
https://www.domain.com.au/27-wallace-road-burwood-vic-3125-15483680,"27 Wallace Road, Burwood VIC 3125",House,$640,-37.8471112,145.0991903,3 Beds,1 Bath,3 Parking,"Wednesday, 2nd October 2024",Christian Neofotistos
https://www.domain.com.au/49-harold-street-hawthorn-east-vic-3123-17191739,"49 Harold Street, Hawthorn East VIC 3123",House,"$1,200.00",-37.8275992,145.0551456,3 Beds,2 Baths,1 Parking,Available Now,Larissa Rael
https://www.domain.com.au/27-ethio-street-tarneit-vic-3029-17191712,"27 Ethio Street, Tarneit VIC 3029",House,$550 per week,-37.81312339999999,144.6719751,4 Beds,2 Baths,2 Parking,Available Now,Angus Brayshaw
https://www.domain.com.au/184-hope-street-brunswick-west-vic-3055-17191616,"184 Hope Street, Brunswick West VIC 3055",House,$700.00,-37.7625673,144.9495901,2 Beds,1 Bath,2 Parking,"Friday, 4th October 2024",Alicia Cannizzaro
https://www.domain.com.au/10-hydrangea-drive-point-cook-vic-3030-17191428,"10 Hydrangea Drive, Point Cook VIC 3030",House,$580 per week,-37.9039092,144.745455,4 Beds,2 Baths,2 Parking,Available Now,Flo Djaja
https://www.domain.com.au/1490-high-street-glen-iris-vic-3146-17191409,"1490 High Street, Glen Iris VIC 3146",House,$1000 per week,-37.8587906,145.0450134,3 Beds,1 Bath,2 Parking,Available Now,Molly Yuille
https://www.domain.com.au/28-carbine-avenue-clarinda-vic-3169-17191346,"28 Carbine Avenue, Clarinda VIC 3169",House,$675.00,-37.9429843,145.1046313,3 Beds,2 Baths,2 Parking,Available Now,Jasmine Palioportas
https://www.domain.com.au/1-170-church-street-brighton-vic-3186-17191104,"1/170 Church Street, Brighton VIC 3186",Villa,$820.00,-37.91739510000001,144.9973594,3 Beds,1 Bath,2 Parking,"Saturday, 7th September 2024",Richard Beck
https://www.domain.com.au/3-10-charming-street-hampton-east-vic-3188-17191077,"3/10 Charming Street, Hampton East VIC 3188",House,$850.00,-37.9337879,145.0307257,3 Beds,3 Baths,2 Parking,"Friday, 4th October 2024",Molly Rogerson
https://www.domain.com.au/13-carrington-street-hampton-east-vic-3188-17190718,"13 Carrington Street, Hampton East VIC 3188",House,$750 per week,-37.9371492,145.0332125,3 Beds,1 Bath,4 Parking,"Saturday, 28th September 2024",Feroza Ahmed
