Region,Children enrolled in a preschool or preschool program (no.),Estimated resident population (no.),Land area (ha),Median monthly household mortgage payment ($),Median price of established house transfers ($),Median total income (excl. Government pensions and allowances) ($),Median weekly household rental payment ($),Number of jobs,Working age population (aged 15-64 years) (%),property_url,name,property_type,cost_text,latitude,longitude,bed_info,bath_info,parking,date_available,desc,post_code,region
Alfredton,306.0,18997.0,5271.1,1698.0,650000.0,55204.0,370.0,11837.0,63.4,https://www.domain.com.au/7-lemon-street-alfredton-vic-3350-17037185,"7 Lemon Street, Alfredton VIC 3350",House,500.0,-37.5654158,143.7855756,4.0,2.0,3.0,Available Now,"This striking new family home offers convenient living only a stone's throw from all amenities Alfredton has to offer. 
The open plan living zone seamlessly connects to a sleek, contemporary and light filled central kitchen with large butler's pantry and island bench plus provides direct access via sliding doors to the undercover alfresco area for year round entertaining. Dual living zones offers",3350,Alfredton
Ballarat,135.0,11809.0,1237.9,1700.0,715000.0,53784.0,313.0,10196.0,62.0,https://www.domain.com.au/3-1-dawson-street-south-ballarat-central-vic-3350-17175807,"3/1 Dawson Street South, Ballarat Central VIC 3350",Townhouse,360.0,-37.5621973,143.8536041,2.0,1.0,1.0,Available Now,"When positioning counts, this townhouse is only footsteps from Sturt St and has all of the aspects needed in central city living. Walk to restaurants, cafes and shopping centres, life is made easy in this appealing townhouse. Upstairs comprises of two good sized bedrooms with built in robes, modern bathroom, and downstairs offers open plan living and kitchen area complete with polished timber",3350,Ballarat Central
Ballarat,135.0,11809.0,1237.9,1700.0,715000.0,53784.0,313.0,10196.0,62.0,https://www.domain.com.au/102-lexton-street-ballarat-central-vic-3350-17193710,"102 Lexton Street, Ballarat Central VIC 3350",House,530.0,-37.5460396,143.8484298,4.0,2.0,2.0,Available Now," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 24 24"" xmlns=""http://www.w3.org/2000/svg""><path d=""M13 17.5V12H11V17.5H13Z"" fill=""currentColor""></path><path d=""M12 7.5C11.1716 7.5 10.5 8.17163 10.5 9C10.5 9.82837 11.1716 10.5 12 10.5C12.8284 10.5 13.5 9.82837 13.5 9C13.5 8.17163 12.8284 7.5 12 7.5Z"" fill=""currentColor""></path><path clip-rule=""evenodd"" d=""M12 22.5C17.799 22.5 22.5 17.799 22.5 12C22.5 6.20101 17.799 1.5 12 1.5C6.20101 1.5 1.5 6.20101 1.5 12C1.5 17.799 6.20101 22.5 12 22.5ZM12 20.5C16.6944 20.5 20.5 16.6944 20.5 12C20.5 7.30558 16.6944 3.5 12 3.5C7.30558 3.5 3.5 7.30558 3.5 12C3.5 16.6944 7.30558 20.5 12 20.5Z"" fill=""currentColor"" fill-rule=""evenodd""></path></svg>",3350,Ballarat Central
Ballarat,135.0,11809.0,1237.9,1700.0,715000.0,53784.0,313.0,10196.0,62.0,https://www.domain.com.au/3-106-burnbank-close-ballarat-central-vic-3350-17193263,"3/106 Burnbank Close, Ballarat Central VIC 3350",House,375.0,-37.5460405,143.8459589,2.0,1.0,1.0,"Friday, 18th October 2024"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 24 24"" xmlns=""http://www.w3.org/2000/svg""><path d=""M13 17.5V12H11V17.5H13Z"" fill=""currentColor""></path><path d=""M12 7.5C11.1716 7.5 10.5 8.17163 10.5 9C10.5 9.82837 11.1716 10.5 12 10.5C12.8284 10.5 13.5 9.82837 13.5 9C13.5 8.17163 12.8284 7.5 12 7.5Z"" fill=""currentColor""></path><path clip-rule=""evenodd"" d=""M12 22.5C17.799 22.5 22.5 17.799 22.5 12C22.5 6.20101 17.799 1.5 12 1.5C6.20101 1.5 1.5 6.20101 1.5 12C1.5 17.799 6.20101 22.5 12 22.5ZM12 20.5C16.6944 20.5 20.5 16.6944 20.5 12C20.5 7.30558 16.6944 3.5 12 3.5C7.30558 3.5 3.5 7.30558 3.5 12C3.5 16.6944 7.30558 20.5 12 20.5Z"" fill=""currentColor"" fill-rule=""evenodd""></path></svg>",3350,Ballarat Central
Ballarat,135.0,11809.0,1237.9,1700.0,715000.0,53784.0,313.0,10196.0,62.0,https://www.domain.com.au/23a-webster-street-ballarat-central-vic-3350-17172343,"23a Webster Street, Ballarat Central VIC 3350",Apartment / Unit / Flat,330.0,-37.5572652,143.8531165,1.0,1.0,1.0,"Tuesday, 24th September 2024",In the perfect location between Ballarat Central and Lake Wendouree you will find this stunning fully renovated single bedroom property.,3350,Ballarat Central
Buninyong,118.0,7323.0,5158.6,1662.0,645000.0,54308.0,330.0,5582.0,60.6,https://www.domain.com.au/102a-somerville-street-buninyong-vic-3357-16831125,"102a Somerville Street, Buninyong VIC 3357",Townhouse,400.0,-37.6591224,143.8893629,2.0,1.0,0.0,"Friday, 13th September 2024"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 24 24"" xmlns=""http://www.w3.org/2000/svg""><path d=""M13 17.5V12H11V17.5H13Z"" fill=""currentColor""></path><path d=""M12 7.5C11.1716 7.5 10.5 8.17163 10.5 9C10.5 9.82837 11.1716 10.5 12 10.5C12.8284 10.5 13.5 9.82837 13.5 9C13.5 8.17163 12.8284 7.5 12 7.5Z"" fill=""currentColor""></path><path clip-rule=""evenodd"" d=""M12 22.5C17.799 22.5 22.5 17.799 22.5 12C22.5 6.20101 17.799 1.5 12 1.5C6.20101 1.5 1.5 6.20101 1.5 12C1.5 17.799 6.20101 22.5 12 22.5ZM12 20.5C16.6944 20.5 20.5 16.6944 20.5 12C20.5 7.30558 16.6944 3.5 12 3.5C7.30558 3.5 3.5 7.30558 3.5 12C3.5 16.6944 7.30558 20.5 12 20.5Z"" fill=""currentColor"" fill-rule=""evenodd""></path></svg>",3357,Buninyong
Delacombe,219.0,12869.0,3416.1,1500.0,578000.0,51915.0,360.0,7250.0,64.6,https://www.domain.com.au/6-fantail-street-delacombe-vic-3356-14573972,"6 Fantail Street, Delacombe VIC 3356",House,450.0,-37.5713429,143.78494,4.0,2.0,2.0,Available Now,** PLEASE REGISTER YOUR DETAILS TO RECEIVE INSPECTION TIMES **,3356,Delacombe
Smythes Creek,70.0,4268.0,10472.7,1733.0,775000.0,53981.0,350.0,3410.0,64.5,,,,,,,,,,,,,
Wendouree  Miners Rest,232.0,15431.0,6757.4,1300.0,485000.0,47627.0,260.0,10184.0,61.2,https://www.domain.com.au/1-19-stamford-street-wendouree-vic-3355-17182227,"1/19 Stamford Street, Wendouree VIC 3355",Apartment / Unit / Flat,325.5,-37.5293579,143.8296262,2.0,1.0,1.0,Available Now,"This spacious flat is located within walking distance to Stockland Wendouree Shopping Centre. It is clean, warm and comfortable. Offering two good sized bedrooms both with built in robes, living area with split system, kitchen with ample cupboard space and gas stove, bathroom offers a shower over bath. Single carport and storage shed. No animals, No internal smoking, 12 Month Lease. Long term",3355,Wendouree
Ballarat East  Warrenheip,150.0,9628.0,1921.6,1300.0,530000.0,50971.0,288.0,7350.0,61.9,https://www.domain.com.au/68-coridale-boulevard-lara-vic-3212-17164843,"68 Coridale Boulevard, Lara VIC 3212",Townhouse,550.0,-38.0147601,144.3755327,3.0,2.0,2.0,Available Now," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 24 24"" xmlns=""http://www.w3.org/2000/svg""><path d=""M13 17.5V12H11V17.5H13Z"" fill=""currentColor""></path><path d=""M12 7.5C11.1716 7.5 10.5 8.17163 10.5 9C10.5 9.82837 11.1716 10.5 12 10.5C12.8284 10.5 13.5 9.82837 13.5 9C13.5 8.17163 12.8284 7.5 12 7.5Z"" fill=""currentColor""></path><path clip-rule=""evenodd"" d=""M12 22.5C17.799 22.5 22.5 17.799 22.5 12C22.5 6.20101 17.799 1.5 12 1.5C6.20101 1.5 1.5 6.20101 1.5 12C1.5 17.799 6.20101 22.5 12 22.5ZM12 20.5C16.6944 20.5 20.5 16.6944 20.5 12C20.5 7.30558 16.6944 3.5 12 3.5C7.30558 3.5 3.5 7.30558 3.5 12C3.5 16.6944 7.30558 20.5 12 20.5Z"" fill=""currentColor"" fill-rule=""evenodd""></path></svg>",3212,Lara
Ballarat East  Warrenheip,150.0,9628.0,1921.6,1300.0,530000.0,50971.0,288.0,7350.0,61.9,https://www.domain.com.au/252-ohallorans-road-lara-vic-3212-17193450,"252 Ohallorans Road, Lara VIC 3212",House,560.0,-38.0148727,144.379217,4.0,2.0,2.0,"Thursday, 17th October 2024",Tim Callander,3212,Lara
Ballarat East  Warrenheip,150.0,9628.0,1921.6,1300.0,530000.0,50971.0,288.0,7350.0,61.9,https://www.domain.com.au/28-moonah-circuit-lara-vic-3212-17150579,"28 Moonah Circuit, Lara VIC 3212",House,630.0,-38.0101078,144.381716,4.0,2.0,2.0,Available Now,Tim Callander,3212,Lara
Ballarat East  Warrenheip,150.0,9628.0,1921.6,1300.0,530000.0,50971.0,288.0,7350.0,61.9,https://www.domain.com.au/14-kettlewell-drive-lara-vic-3212-17186448,"14 Kettlewell Drive, Lara VIC 3212",House,500.0,-38.014582,144.3557874,3.0,2.0,1.0,Available Now,"Situated in the ever-growing Lara, this stunning family residence must be seen to be appreciated. Enjoy everything a semi-rural life has to offer.",3212,Lara
Ballarat North  Invermay,230.0,15015.0,7314.2,1560.0,690000.0,50971.0,300.0,11228.0,61.9,https://www.domain.com.au/68-coridale-boulevard-lara-vic-3212-17164843,"68 Coridale Boulevard, Lara VIC 3212",Townhouse,550.0,-38.0147601,144.3755327,3.0,2.0,2.0,Available Now," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 24 24"" xmlns=""http://www.w3.org/2000/svg""><path d=""M13 17.5V12H11V17.5H13Z"" fill=""currentColor""></path><path d=""M12 7.5C11.1716 7.5 10.5 8.17163 10.5 9C10.5 9.82837 11.1716 10.5 12 10.5C12.8284 10.5 13.5 9.82837 13.5 9C13.5 8.17163 12.8284 7.5 12 7.5Z"" fill=""currentColor""></path><path clip-rule=""evenodd"" d=""M12 22.5C17.799 22.5 22.5 17.799 22.5 12C22.5 6.20101 17.799 1.5 12 1.5C6.20101 1.5 1.5 6.20101 1.5 12C1.5 17.799 6.20101 22.5 12 22.5ZM12 20.5C16.6944 20.5 20.5 16.6944 20.5 12C20.5 7.30558 16.6944 3.5 12 3.5C7.30558 3.5 3.5 7.30558 3.5 12C3.5 16.6944 7.30558 20.5 12 20.5Z"" fill=""currentColor"" fill-rule=""evenodd""></path></svg>",3212,Lara
Ballarat North  Invermay,230.0,15015.0,7314.2,1560.0,690000.0,50971.0,300.0,11228.0,61.9,https://www.domain.com.au/252-ohallorans-road-lara-vic-3212-17193450,"252 Ohallorans Road, Lara VIC 3212",House,560.0,-38.0148727,144.379217,4.0,2.0,2.0,"Thursday, 17th October 2024",Tim Callander,3212,Lara
Ballarat North  Invermay,230.0,15015.0,7314.2,1560.0,690000.0,50971.0,300.0,11228.0,61.9,https://www.domain.com.au/28-moonah-circuit-lara-vic-3212-17150579,"28 Moonah Circuit, Lara VIC 3212",House,630.0,-38.0101078,144.381716,4.0,2.0,2.0,Available Now,Tim Callander,3212,Lara
Ballarat North  Invermay,230.0,15015.0,7314.2,1560.0,690000.0,50971.0,300.0,11228.0,61.9,https://www.domain.com.au/14-kettlewell-drive-lara-vic-3212-17186448,"14 Kettlewell Drive, Lara VIC 3212",House,500.0,-38.014582,144.3557874,3.0,2.0,1.0,Available Now,"Situated in the ever-growing Lara, this stunning family residence must be seen to be appreciated. Enjoy everything a semi-rural life has to offer.",3212,Lara
Canadian  Mount Clear,186.0,12433.0,2227.3,1387.0,535000.0,50971.0,295.0,8473.0,64.4,https://www.domain.com.au/3-18-gale-street-canadian-vic-3350-17118531,"3/18 Gale Street, Canadian VIC 3350",Townhouse,380.0,-37.5797734,143.8743468,3.0,1.0,2.0,Available Now," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 24 24"" xmlns=""http://www.w3.org/2000/svg""><path d=""M13 17.5V12H11V17.5H13Z"" fill=""currentColor""></path><path d=""M12 7.5C11.1716 7.5 10.5 8.17163 10.5 9C10.5 9.82837 11.1716 10.5 12 10.5C12.8284 10.5 13.5 9.82837 13.5 9C13.5 8.17163 12.8284 7.5 12 7.5Z"" fill=""currentColor""></path><path clip-rule=""evenodd"" d=""M12 22.5C17.799 22.5 22.5 17.799 22.5 12C22.5 6.20101 17.799 1.5 12 1.5C6.20101 1.5 1.5 6.20101 1.5 12C1.5 17.799 6.20101 22.5 12 22.5ZM12 20.5C16.6944 20.5 20.5 16.6944 20.5 12C20.5 7.30558 16.6944 3.5 12 3.5C7.30558 3.5 3.5 7.30558 3.5 12C3.5 16.6944 7.30558 20.5 12 20.5Z"" fill=""currentColor"" fill-rule=""evenodd""></path></svg>",3350,Canadian
Canadian  Mount Clear,186.0,12433.0,2227.3,1387.0,535000.0,50971.0,295.0,8473.0,64.4,https://www.domain.com.au/21-navvy-jack-road-canadian-vic-3350-17193128,"21 Navvy Jack Road, Canadian VIC 3350",House,450.0,-37.5743342,143.8798779,3.0,2.0,2.0,"Monday, 9th September 2024"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 24 24"" xmlns=""http://www.w3.org/2000/svg""><path d=""M13 17.5V12H11V17.5H13Z"" fill=""currentColor""></path><path d=""M12 7.5C11.1716 7.5 10.5 8.17163 10.5 9C10.5 9.82837 11.1716 10.5 12 10.5C12.8284 10.5 13.5 9.82837 13.5 9C13.5 8.17163 12.8284 7.5 12 7.5Z"" fill=""currentColor""></path><path clip-rule=""evenodd"" d=""M12 22.5C17.799 22.5 22.5 17.799 22.5 12C22.5 6.20101 17.799 1.5 12 1.5C6.20101 1.5 1.5 6.20101 1.5 12C1.5 17.799 6.20101 22.5 12 22.5ZM12 20.5C16.6944 20.5 20.5 16.6944 20.5 12C20.5 7.30558 16.6944 3.5 12 3.5C7.30558 3.5 3.5 7.30558 3.5 12C3.5 16.6944 7.30558 20.5 12 20.5Z"" fill=""currentColor"" fill-rule=""evenodd""></path></svg>",3350,Canadian
Sebastopol  Redan,212.0,12885.0,1058.1,1179.0,480000.0,50971.0,260.0,9668.0,62.4,https://www.domain.com.au/126a-park-st-e-redan-vic-3350-17183493,"126A Park St E, Redan VIC 3350",Townhouse,380.0,-37.5710216,143.8305469,2.0,1.0,1.0,Available Now," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 24 24"" xmlns=""http://www.w3.org/2000/svg""><path d=""M13 17.5V12H11V17.5H13Z"" fill=""currentColor""></path><path d=""M12 7.5C11.1716 7.5 10.5 8.17163 10.5 9C10.5 9.82837 11.1716 10.5 12 10.5C12.8284 10.5 13.5 9.82837 13.5 9C13.5 8.17163 12.8284 7.5 12 7.5Z"" fill=""currentColor""></path><path clip-rule=""evenodd"" d=""M12 22.5C17.799 22.5 22.5 17.799 22.5 12C22.5 6.20101 17.799 1.5 12 1.5C6.20101 1.5 1.5 6.20101 1.5 12C1.5 17.799 6.20101 22.5 12 22.5ZM12 20.5C16.6944 20.5 20.5 16.6944 20.5 12C20.5 7.30558 16.6944 3.5 12 3.5C7.30558 3.5 3.5 7.30558 3.5 12C3.5 16.6944 7.30558 20.5 12 20.5Z"" fill=""currentColor"" fill-rule=""evenodd""></path></svg>",3350,Redan
Sebastopol  Redan,212.0,12885.0,1058.1,1179.0,480000.0,50971.0,260.0,9668.0,62.4,https://www.domain.com.au/3-9-foster-street-redan-vic-3350-17183487,"3/9 Foster Street, Redan VIC 3350",Townhouse,360.0,-37.5739033,143.8354133,2.0,1.0,1.0,Available Now," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 24 24"" xmlns=""http://www.w3.org/2000/svg""><path d=""M13 17.5V12H11V17.5H13Z"" fill=""currentColor""></path><path d=""M12 7.5C11.1716 7.5 10.5 8.17163 10.5 9C10.5 9.82837 11.1716 10.5 12 10.5C12.8284 10.5 13.5 9.82837 13.5 9C13.5 8.17163 12.8284 7.5 12 7.5Z"" fill=""currentColor""></path><path clip-rule=""evenodd"" d=""M12 22.5C17.799 22.5 22.5 17.799 22.5 12C22.5 6.20101 17.799 1.5 12 1.5C6.20101 1.5 1.5 6.20101 1.5 12C1.5 17.799 6.20101 22.5 12 22.5ZM12 20.5C16.6944 20.5 20.5 16.6944 20.5 12C20.5 7.30558 16.6944 3.5 12 3.5C7.30558 3.5 3.5 7.30558 3.5 12C3.5 16.6944 7.30558 20.5 12 20.5Z"" fill=""currentColor"" fill-rule=""evenodd""></path></svg>",3350,Redan
Sebastopol  Redan,212.0,12885.0,1058.1,1179.0,480000.0,50971.0,260.0,9668.0,62.4,https://www.domain.com.au/1-503-rubicon-street-redan-vic-3350-17148456,"1/503 Rubicon Street, Redan VIC 3350",Townhouse,400.0,-37.5816157,143.8353509,3.0,1.0,1.0,Available Now," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 24 24"" xmlns=""http://www.w3.org/2000/svg""><path d=""M13 17.5V12H11V17.5H13Z"" fill=""currentColor""></path><path d=""M12 7.5C11.1716 7.5 10.5 8.17163 10.5 9C10.5 9.82837 11.1716 10.5 12 10.5C12.8284 10.5 13.5 9.82837 13.5 9C13.5 8.17163 12.8284 7.5 12 7.5Z"" fill=""currentColor""></path><path clip-rule=""evenodd"" d=""M12 22.5C17.799 22.5 22.5 17.799 22.5 12C22.5 6.20101 17.799 1.5 12 1.5C6.20101 1.5 1.5 6.20101 1.5 12C1.5 17.799 6.20101 22.5 12 22.5ZM12 20.5C16.6944 20.5 20.5 16.6944 20.5 12C20.5 7.30558 16.6944 3.5 12 3.5C7.30558 3.5 3.5 7.30558 3.5 12C3.5 16.6944 7.30558 20.5 12 20.5Z"" fill=""currentColor"" fill-rule=""evenodd""></path></svg>",3350,Redan
Sebastopol  Redan,212.0,12885.0,1058.1,1179.0,480000.0,50971.0,260.0,9668.0,62.4,https://www.domain.com.au/2-112-lonsdale-street-redan-vic-3350-17192692,"2/112 Lonsdale Street, Redan VIC 3350",Apartment / Unit / Flat,320.0,-37.5747976,143.8341267,2.0,1.0,0.0,"Monday, 7th October 2024","Located in the heart of Redan, this home has plenty to offer new prospective renters. ",3350,Redan
Bacchus Marsh Surrounds,83.0,6639.0,103881.2,1700.0,640000.0,53942.0,330.0,5032.0,62.3,https://www.domain.com.au/9-8-silverdale-drive-bacchus-marsh-vic-3340-17145976,"9/8 Silverdale Drive, Bacchus Marsh VIC 3340",Townhouse,410.0,-37.6619258,144.4221196,3.0,2.0,1.0,"Friday, 6th September 2024"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 24 24"" xmlns=""http://www.w3.org/2000/svg""><path d=""M13 17.5V12H11V17.5H13Z"" fill=""currentColor""></path><path d=""M12 7.5C11.1716 7.5 10.5 8.17163 10.5 9C10.5 9.82837 11.1716 10.5 12 10.5C12.8284 10.5 13.5 9.82837 13.5 9C13.5 8.17163 12.8284 7.5 12 7.5Z"" fill=""currentColor""></path><path clip-rule=""evenodd"" d=""M12 22.5C17.799 22.5 22.5 17.799 22.5 12C22.5 6.20101 17.799 1.5 12 1.5C6.20101 1.5 1.5 6.20101 1.5 12C1.5 17.799 6.20101 22.5 12 22.5ZM12 20.5C16.6944 20.5 20.5 16.6944 20.5 12C20.5 7.30558 16.6944 3.5 12 3.5C7.30558 3.5 3.5 7.30558 3.5 12C3.5 16.6944 7.30558 20.5 12 20.5Z"" fill=""currentColor"" fill-rule=""evenodd""></path></svg>",3340,Bacchus Marsh
Bacchus Marsh Surrounds,83.0,6639.0,103881.2,1700.0,640000.0,53942.0,330.0,5032.0,62.3,https://www.domain.com.au/44-killara-circuit-bacchus-marsh-vic-3340-17101289,"44 Killara Circuit, Bacchus Marsh VIC 3340",House,550.0,-37.6790162,144.4191133,4.0,2.0,2.0,Available Now,"Perfectly positioned family home in the Rivers Edge release of the stunning Underbank estate close to excellent educational and community facilities, parklands and a short drive to the Village Shopping Centre &amp; Main Street precinct.",3340,Bacchus Marsh
Creswick  Clunes,110.0,7987.0,85678.9,1300.0,540000.0,44642.0,250.0,6001.0,57.9,,,,,,,,,,,,,
Daylesford,87.0,10085.0,92075.8,1600.0,900000.0,41806.0,330.0,7434.0,58.3,,,,,,,,,,,,,
Gordon Vic.,75.0,6408.0,85031.4,1695.0,617500.0,51371.0,270.0,5044.0,62.9,,,,,,,,,,,,,
Avoca,34.0,3594.0,171424.0,1006.0,335000.0,38869.0,200.0,2447.0,55.0,,,,,,,,,,,,,
Beaufort,35.0,4709.0,186304.3,1216.0,442500.0,43576.0,218.0,3275.0,59.6,,,,,,,,,,,,,
Golden Plains  North,65.0,4940.0,92208.1,1387.0,537500.0,47277.0,250.0,3533.0,62.4,https://www.domain.com.au/24-miller-street-fitzroy-north-vic-3068-17173562,"24 Miller Street, Fitzroy North VIC 3068",Townhouse,1200.0,-37.7766466,144.9800936,4.0,3.0,2.0,"Wednesday, 9th October 2024",Jayde Cashion,3068,Fitzroy North
Golden Plains  North,65.0,4940.0,92208.1,1387.0,537500.0,47277.0,250.0,3533.0,62.4,https://www.domain.com.au/12-22-28-best-street-fitzroy-north-vic-3068-17188974,"12/22-28 Best Street, Fitzroy North VIC 3068",Townhouse,1100.0,-37.7842092,144.9833471,3.0,2.0,1.0,"Wednesday, 11th September 2024"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 24 24"" xmlns=""http://www.w3.org/2000/svg""><path d=""M13 17.5V12H11V17.5H13Z"" fill=""currentColor""></path><path d=""M12 7.5C11.1716 7.5 10.5 8.17163 10.5 9C10.5 9.82837 11.1716 10.5 12 10.5C12.8284 10.5 13.5 9.82837 13.5 9C13.5 8.17163 12.8284 7.5 12 7.5Z"" fill=""currentColor""></path><path clip-rule=""evenodd"" d=""M12 22.5C17.799 22.5 22.5 17.799 22.5 12C22.5 6.20101 17.799 1.5 12 1.5C6.20101 1.5 1.5 6.20101 1.5 12C1.5 17.799 6.20101 22.5 12 22.5ZM12 20.5C16.6944 20.5 20.5 16.6944 20.5 12C20.5 7.30558 16.6944 3.5 12 3.5C7.30558 3.5 3.5 7.30558 3.5 12C3.5 16.6944 7.30558 20.5 12 20.5Z"" fill=""currentColor"" fill-rule=""evenodd""></path></svg>",3068,Fitzroy North
Golden Plains  North,65.0,4940.0,92208.1,1387.0,537500.0,47277.0,250.0,3533.0,62.4,https://www.domain.com.au/71-rae-street-fitzroy-north-vic-3068-17186442,"71 Rae Street, Fitzroy North VIC 3068",House,1350.0,-37.7911724,144.978446,3.0,2.0,0.0,"Friday, 6th September 2024",Jayde Cashion,3068,Fitzroy North
Golden Plains  North,65.0,4940.0,92208.1,1387.0,537500.0,47277.0,250.0,3533.0,62.4,https://www.domain.com.au/77-mckean-street-fitzroy-north-vic-3068-17160308,"77 McKean Street, Fitzroy North VIC 3068",House,1250.0,-37.7891814,144.9853567,3.0,1.0,0.0,"Thursday, 26th September 2024",Liam Mulligan,3068,Fitzroy North
Golden Plains  North,65.0,4940.0,92208.1,1387.0,537500.0,47277.0,250.0,3533.0,62.4,https://www.domain.com.au/181-scotchmer-street-fitzroy-north-vic-3068-17144703,"181 Scotchmer Street, Fitzroy North VIC 3068",House,1600.0,-37.783336,144.9858775,3.0,2.0,1.0,Available Now,Jayde Cashion,3068,Fitzroy North
Golden Plains  North,65.0,4940.0,92208.1,1387.0,537500.0,47277.0,250.0,3533.0,62.4,https://www.domain.com.au/665-brunswick-street-north-fitzroy-north-vic-3068-17189633,"665 Brunswick Street North, Fitzroy North VIC 3068",House,1250.0,-37.7864842,144.9806542,4.0,2.0,2.0,"Saturday, 21st September 2024","This solid &amp; beautiful four bedroom terrace is spacious &amp; ticks all of the boxes in an enviable location. Upstairs you will find four bedrooms with three comprising BIRs, split systems as well as access to balcony &amp; terrace, two bathrooms upstairs with main comprising shower over bath &amp; second bathroom with separate shower. Downstairs comprises space, space and space! Formal living, kitchen",3068,Fitzroy North
Golden Plains  North,65.0,4940.0,92208.1,1387.0,537500.0,47277.0,250.0,3533.0,62.4,https://www.domain.com.au/292-st-georges-road-fitzroy-north-vic-3068-17188435,"292 St Georges Road, Fitzroy North VIC 3068",House,795.0,-37.7815686,144.9856143,3.0,1.0,2.0,"Wednesday, 18th September 2024","***6 Month Lease***
In the heart of North Fitzroy Village, with a tram stop at the door and meters from the Circle trail and Merri Creek, this stylishly refurbished 3BR Victorian terrace is a highly attractive property. The home offers a classic floor plan comprising of 3 bedrooms, spacious living room with cut-out wall to dining area and well-equipped modern kitchen, plus powder room and stylish",3068,Fitzroy North
Golden Plains  North,65.0,4940.0,92208.1,1387.0,537500.0,47277.0,250.0,3533.0,62.4,https://www.domain.com.au/119-rae-street-fitzroy-north-vic-3068-17174091,"119 Rae Street, Fitzroy North VIC 3068",House,580.0,-37.7898448,144.9787108,2.0,1.0,0.0,"Thursday, 3rd October 2024",** BOOK INSPECTION ONLINE **,3068,Fitzroy North
Golden Plains  North,65.0,4940.0,92208.1,1387.0,537500.0,47277.0,250.0,3533.0,62.4,https://www.domain.com.au/86-682-nicholson-street-fitzroy-north-vic-3068-17170080,"86/682 Nicholson Street, Fitzroy North VIC 3068",Apartment / Unit / Flat,710.0,-37.7833306,144.9778284,2.0,1.0,1.0,Available Now,Jayde Cashion,3068,Fitzroy North
Golden Plains  North,65.0,4940.0,92208.1,1387.0,537500.0,47277.0,250.0,3533.0,62.4,https://www.domain.com.au/507-392-st-georges-road-fitzroy-north-vic-3068-16135792,"507/392 St Georges Road, Fitzroy North VIC 3068",Apartment / Unit / Flat,675.0,-37.778294,144.9883937,2.0,2.0,1.0,Available Now,David Hua,3068,Fitzroy North
Golden Plains  North,65.0,4940.0,92208.1,1387.0,537500.0,47277.0,250.0,3533.0,62.4,https://www.domain.com.au/601-245-queens-parade-fitzroy-north-vic-3068-17166165,"601/245 Queens Parade, Fitzroy North VIC 3068",Apartment / Unit / Flat,650.0,-37.7862842,144.9945538,2.0,2.0,1.0,$2824,Laura Scott,3068,Fitzroy North
Golden Plains  North,65.0,4940.0,92208.1,1387.0,537500.0,47277.0,250.0,3533.0,62.4,https://www.domain.com.au/108-4-bik-lane-fitzroy-north-vic-3068-17160744,"108/4 Bik Lane, Fitzroy North VIC 3068",Apartment / Unit / Flat,450.0,-37.7846099,144.9785505,1.0,1.0,1.0,"Friday, 13th September 2024","**Scheduling your property inspection is now a breeze! Simply click on the ""Book an Inspection"" or ""Request a Time"" button to secure your appointment. You'll instantly receive a confirmation and be kept up-to-date with any alterations or cancellations concerning your scheduled visit. Please be aware, inspections may be subject to cancellation if no bookings are registered. Make your booking today",3068,Fitzroy North
Golden Plains  North,65.0,4940.0,92208.1,1387.0,537500.0,47277.0,250.0,3533.0,62.4,https://www.domain.com.au/9-55-59-york-street-fitzroy-north-vic-3068-17154810,"9/55-59 York Street, Fitzroy North VIC 3068",Apartment / Unit / Flat,500.0,-37.7917061,144.9780316,2.0,1.0,1.0,Available Now,"This apartment in Fitzroy North has two bedrooms (one with built-in robes), a kitchen with a double sink and electric stove top, an open-plan living and dining area with a heater, a central bathroom with a shower over the bath, a European laundry, secure intercom access, and parking for one car.",3068,Fitzroy North
