property_url,name,property_type,cost_text,latitude,longitude,bed_info,bath_info,parking,date_available,desc
https://www.domain.com.au/2-243-nicholson-street-brunswick-east-vic-3057-15747065,"2/243 Nicholson Street, Brunswick East VIC 3057",Townhouse,$600,-37.766155,144.9801771,2 Beds,1 Bath,1 Parking,"Monday, 30th September 2024",Christian Neofotistos
https://www.domain.com.au/7-park-street-richmond-vic-3121-17188291,"7 Park Street, Richmond VIC 3121",Townhouse,"$1,200.00",-37.8235149,145.0132132,2 Beds,2 Baths,N/A,"Friday, 4th October 2024",Kelly Nicholas
https://www.domain.com.au/41b-arkaringa-crescent-black-rock-vic-3193-17187841,"41B Arkaringa Crescent, Black Rock VIC 3193",Townhouse,"$1,290.00",-37.9694971,145.018193,3 Beds,2 Baths,3 Parking,"Friday, 4th October 2024",Michelle Murray
https://www.domain.com.au/7-13-grandview-grove-hawthorn-east-vic-3123-17187743,"7/13 Grandview Grove, Hawthorn East VIC 3123",Townhouse,$860.00,-37.8224247,145.0565938,3 Beds,2 Baths,2 Parking,"Friday, 27th September 2024",Leo Zhang
https://www.domain.com.au/48a-norville-street-bentleigh-east-vic-3165-17187502,"48A Norville Street, Bentleigh East VIC 3165",Townhouse,"$1,400",-37.9289427,145.06803,4 Beds,3 Baths,2 Parking,Available Now,Revekka Palivos
https://www.domain.com.au/13-waxman-parade-brunswick-west-vic-3055-17186596,"13 Waxman Parade, Brunswick West VIC 3055",Townhouse,$920.00,-37.7584336,144.9343944,4 Beds,2 Baths,1 Parking,"Monday, 30th September 2024",Alicia Cannizzaro
https://www.domain.com.au/1-17-martin-street-st-kilda-vic-3182-17186419,"1/17 Martin Street, St Kilda VIC 3182",Townhouse,$785.00,-37.8670467,144.98793,2 Beds,1 Bath,1 Parking,"Friday, 6th September 2024",Tina Jin
https://www.domain.com.au/54-nelson-street-st-kilda-vic-3182-17185699,"54 Nelson Street, St Kilda VIC 3182",Townhouse,$950.00,-37.8563704,144.9864482,3 Beds,2 Baths,1 Parking,Available Now,Thea Toogood
https://www.domain.com.au/7-1-eastway-avenue-donvale-vic-3111-17185524,"7/1 Eastway Avenue, Donvale VIC 3111",Townhouse,$510.00,-37.8018211,145.1774085,2 Beds,1 Bath,1 Parking,Available Now,Sahar Ebadi
https://www.domain.com.au/17-mcgahan-cres-sydenham-vic-3037-16490386,"17 McGahan Cres, Sydenham VIC 3037",Townhouse,$530 per week ($2303 pcm),-37.6959949,144.7667163,3 Beds,2 Baths,2 Parking,Available Now,Kavinda Kudage Don
https://www.domain.com.au/29b-woolhouse-street-northcote-vic-3070-17184470,"29B Woolhouse Street, Northcote VIC 3070",Townhouse,$1050 per week,-37.7658636,144.9874953,3 Beds,3 Baths,2 Parking,"Friday, 27th September 2024",Stacey Kelegouris
https://www.domain.com.au/2-56-larnook-street-prahran-vic-3181-17184414,"2/56 Larnook Street, Prahran VIC 3181",Townhouse,"$1,400.00",-37.8576907,145.0102563,3 Beds,3 Baths,2 Parking,"Monday, 23rd September 2024",Danielle Crumblehulme
https://www.domain.com.au/1-238-beach-road-black-rock-vic-3193-17184271,"1/238 Beach Road, Black Rock VIC 3193",Townhouse,"$1,150.00",-37.9678731,145.0124538,3 Beds,2 Baths,1 Parking,"Monday, 16th September 2024",Amy Ferguson
