route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color
"1-ABY-mjp-1","","","Melbourne - Albury Via Seymour","2","8F1A95","FFFFFF"
"1-ABY-mjp-10","","","Melbourne - Albury Via Seymour","2","8F1A95","FFFFFF"
"1-ABY-mjp-11","","","Melbourne - Albury Via Seymour","2","8F1A95","FFFFFF"
"1-ABY-mjp-2","","","Melbourne - Albury Via Seymour","2","8F1A95","FFFFFF"
"1-ABY-mjp-3","","","Melbourne - Albury Via Seymour","2","8F1A95","FFFFFF"
"1-ABY-mjp-4","","","Melbourne - Albury Via Seymour","2","8F1A95","FFFFFF"
"1-ABY-mjp-5","","","Melbourne - Albury Via Seymour","2","8F1A95","FFFFFF"
"1-ABY-mjp-6","","","Melbourne - Albury Via Seymour","2","8F1A95","FFFFFF"
"1-ABY-mjp-7","","","Melbourne - Albury Via Seymour","2","8F1A95","FFFFFF"
"1-ABY-mjp-8","","","Melbourne - Albury Via Seymour","2","8F1A95","FFFFFF"
"1-ABY-mjp-9","","","Melbourne - Albury Via Seymour","2","8F1A95","FFFFFF"
"1-ART-mjp-1","","","Ararat - Melbourne Via Ballarat","2","8F1A95","FFFFFF"
"1-ART-mjp-10","","","Ararat - Melbourne Via Ballarat","2","8F1A95","FFFFFF"
"1-ART-mjp-11","","","Ararat - Melbourne Via Ballarat","2","8F1A95","FFFFFF"
"1-ART-mjp-2","","","Ararat - Melbourne Via Ballarat","2","8F1A95","FFFFFF"
"1-ART-mjp-3","","","Ararat - Melbourne Via Ballarat","2","8F1A95","FFFFFF"
"1-ART-mjp-4","","","Ararat - Melbourne Via Ballarat","2","8F1A95","FFFFFF"
"1-ART-mjp-5","","","Ararat - Melbourne Via Ballarat","2","8F1A95","FFFFFF"
"1-ART-mjp-6","","","Ararat - Melbourne Via Ballarat","2","8F1A95","FFFFFF"
"1-ART-mjp-7","","","Ararat - Melbourne Via Ballarat","2","8F1A95","FFFFFF"
"1-ART-mjp-8","","","Ararat - Melbourne Via Ballarat","2","8F1A95","FFFFFF"
"1-ART-mjp-9","","","Ararat - Melbourne Via Ballarat","2","8F1A95","FFFFFF"
"1-BAT-mjp-1","","","Ballarat - Melbourne Via Melton","2","8F1A95","FFFFFF"
"1-BAT-mjp-10","","","Ballarat - Melbourne Via Melton","2","8F1A95","FFFFFF"
"1-BAT-mjp-11","","","Ballarat - Melbourne Via Melton","2","8F1A95","FFFFFF"
"1-BAT-mjp-2","","","Ballarat - Melbourne Via Melton","2","8F1A95","FFFFFF"
"1-BAT-mjp-3","","","Ballarat - Melbourne Via Melton","2","8F1A95","FFFFFF"
"1-BAT-mjp-4","","","Ballarat - Melbourne Via Melton","2","8F1A95","FFFFFF"
"1-BAT-mjp-5","","","Ballarat - Melbourne Via Melton","2","8F1A95","FFFFFF"
"1-BAT-mjp-6","","","Ballarat - Melbourne Via Melton","2","8F1A95","FFFFFF"
"1-BAT-mjp-7","","","Ballarat - Melbourne Via Melton","2","8F1A95","FFFFFF"
"1-BAT-mjp-8","","","Ballarat - Melbourne Via Melton","2","8F1A95","FFFFFF"
"1-BAT-mjp-9","","","Ballarat - Melbourne Via Melton","2","8F1A95","FFFFFF"
"1-BDE-mjp-1","","","Melbourne - Bairnsdale Via Sale & Traralgon","2","8F1A95","FFFFFF"
"1-BDE-mjp-10","","","Melbourne - Bairnsdale Via Sale & Traralgon","2","8F1A95","FFFFFF"
"1-BDE-mjp-11","","","Melbourne - Bairnsdale Via Sale & Traralgon","2","8F1A95","FFFFFF"
"1-BDE-mjp-2","","","Melbourne - Bairnsdale Via Sale & Traralgon","2","8F1A95","FFFFFF"
"1-BDE-mjp-3","","","Melbourne - Bairnsdale Via Sale & Traralgon","2","8F1A95","FFFFFF"
"1-BDE-mjp-4","","","Melbourne - Bairnsdale Via Sale & Traralgon","2","8F1A95","FFFFFF"
"1-BDE-mjp-5","","","Melbourne - Bairnsdale Via Sale & Traralgon","2","8F1A95","FFFFFF"
"1-BDE-mjp-6","","","Melbourne - Bairnsdale Via Sale & Traralgon","2","8F1A95","FFFFFF"
"1-BDE-mjp-7","","","Melbourne - Bairnsdale Via Sale & Traralgon","2","8F1A95","FFFFFF"
"1-BDE-mjp-8","","","Melbourne Via Sale & Traralgon","2","8F1A95","FFFFFF"
"1-BDE-mjp-9","","","Melbourne - Bairnsdale Via Sale & Traralgon","2","8F1A95","FFFFFF"
"1-BGO-mjp-1","","","Melbourne - Bendigo Via Sunbury","2","8F1A95","FFFFFF"
"1-BGO-mjp-10","","","Melbourne - Bendigo Via Sunbury","2","8F1A95","FFFFFF"
"1-BGO-mjp-11","","","Melbourne - Bendigo Via Sunbury","2","8F1A95","FFFFFF"
"1-BGO-mjp-2","","","Melbourne - Bendigo Via Sunbury","2","8F1A95","FFFFFF"
"1-BGO-mjp-3","","","Melbourne - Bendigo Via Sunbury","2","8F1A95","FFFFFF"
"1-BGO-mjp-4","","","Melbourne - Bendigo Via Sunbury","2","8F1A95","FFFFFF"
"1-BGO-mjp-5","","","Melbourne - Bendigo Via Sunbury","2","8F1A95","FFFFFF"
"1-BGO-mjp-6","","","Melbourne - Bendigo Via Sunbury","2","8F1A95","FFFFFF"
"1-BGO-mjp-7","","","Melbourne - Bendigo Via Sunbury","2","8F1A95","FFFFFF"
"1-BGO-mjp-8","","","Melbourne - Bendigo Via Sunbury","2","8F1A95","FFFFFF"
"1-BGO-mjp-9","","","Melbourne - Bendigo Via Sunbury","2","8F1A95","FFFFFF"
"1-ECH-mjp-1","","","Melbourne - Echuca/Moama Via Bendigo or Heathcote","2","8F1A95","FFFFFF"
"1-ECH-mjp-10","","","Melbourne - Echuca/Moama Via Bendigo or Heathcote","2","8F1A95","FFFFFF"
"1-ECH-mjp-11","","","Melbourne - Echuca/Moama Via Bendigo or Heathcote","2","8F1A95","FFFFFF"
"1-ECH-mjp-2","","","Melbourne - Echuca/Moama Via Bendigo or Heathcote","2","8F1A95","FFFFFF"
"1-ECH-mjp-3","","","Melbourne - Echuca/Moama Via Bendigo or Heathcote","2","8F1A95","FFFFFF"
"1-ECH-mjp-4","","","Melbourne - Echuca/Moama Via Bendigo or Heathcote","2","8F1A95","FFFFFF"
"1-ECH-mjp-5","","","Melbourne - Echuca/Moama Via Bendigo or Heathcote","2","8F1A95","FFFFFF"
"1-ECH-mjp-6","","","Melbourne - Echuca/Moama Via Bendigo or Heathcote","2","8F1A95","FFFFFF"
"1-ECH-mjp-7","","","Melbourne - Echuca/Moama Via Bendigo or Heathcote","2","8F1A95","FFFFFF"
"1-ECH-mjp-8","","","Melbourne - Echuca/Moama Via Bendigo or Heathcote","2","8F1A95","FFFFFF"
"1-ECH-mjp-9","","","Melbourne - Echuca/Moama Via Bendigo or Heathcote","2","8F1A95","FFFFFF"
"1-GEL-mjp-1","","","Geelong - Melbourne Via Geelong","2","8F1A95","FFFFFF"
"1-GEL-mjp-10","","","Geelong - Melbourne Via Geelong","2","8F1A95","FFFFFF"
"1-GEL-mjp-11","","","Geelong - Melbourne Via Geelong","2","8F1A95","FFFFFF"
"1-GEL-mjp-2","","","Geelong - Melbourne Via Geelong","2","8F1A95","FFFFFF"
"1-GEL-mjp-3","","","Geelong - Melbourne Via Geelong","2","8F1A95","FFFFFF"
"1-GEL-mjp-4","","","Geelong - Melbourne Via Geelong","2","8F1A95","FFFFFF"
"1-GEL-mjp-5","","","Geelong - Melbourne Via Geelong","2","8F1A95","FFFFFF"
"1-GEL-mjp-6","","","Geelong - Melbourne Via Geelong","2","8F1A95","FFFFFF"
"1-GEL-mjp-7","","","Geelong - Melbourne Via Geelong","2","8F1A95","FFFFFF"
"1-GEL-mjp-8","","","Geelong - Melbourne Via Geelong","2","8F1A95","FFFFFF"
"1-GEL-mjp-9","","","Geelong - Melbourne Via Geelong","2","8F1A95","FFFFFF"
"1-MBY-mjp-1","","","Melbourne - Maryborough Via Ballarat","2","8F1A95","FFFFFF"
"1-MBY-mjp-10","","","Melbourne - Maryborough Via Ballarat","2","8F1A95","FFFFFF"
"1-MBY-mjp-11","","","Melbourne - Maryborough Via Ballarat","2","8F1A95","FFFFFF"
"1-MBY-mjp-2","","","Melbourne - Maryborough Via Ballarat","2","8F1A95","FFFFFF"
"1-MBY-mjp-3","","","Melbourne - Maryborough Via Ballarat","2","8F1A95","FFFFFF"
"1-MBY-mjp-4","","","Melbourne - Maryborough Via Ballarat","2","8F1A95","FFFFFF"
"1-MBY-mjp-5","","","Melbourne - Maryborough Via Ballarat","2","8F1A95","FFFFFF"
"1-MBY-mjp-6","","","Melbourne - Maryborough Via Ballarat","2","8F1A95","FFFFFF"
"1-MBY-mjp-7","","","Melbourne - Maryborough Via Ballarat","2","8F1A95","FFFFFF"
"1-MBY-mjp-8","","","Melbourne - Maryborough Via Ballarat","2","8F1A95","FFFFFF"
"1-MBY-mjp-9","","","Melbourne - Maryborough Via Ballarat","2","8F1A95","FFFFFF"
"1-SER-mjp-1","","","Melbourne - Seymour Via Broadmeadows","2","8F1A95","FFFFFF"
"1-SER-mjp-10","","","Melbourne - Seymour Via Broadmeadows","2","8F1A95","FFFFFF"
"1-SER-mjp-11","","","Melbourne - Seymour Via Broadmeadows","2","8F1A95","FFFFFF"
"1-SER-mjp-2","","","Melbourne - Seymour Via Broadmeadows","2","8F1A95","FFFFFF"
"1-SER-mjp-3","","","Melbourne - Seymour Via Broadmeadows","2","8F1A95","FFFFFF"
"1-SER-mjp-4","","","Melbourne - Seymour Via Broadmeadows","2","8F1A95","FFFFFF"
"1-SER-mjp-5","","","Melbourne - Seymour Via Broadmeadows","2","8F1A95","FFFFFF"
"1-SER-mjp-6","","","Melbourne - Seymour Via Broadmeadows","2","8F1A95","FFFFFF"
"1-SER-mjp-7","","","Melbourne - Seymour Via Broadmeadows","2","8F1A95","FFFFFF"
"1-SER-mjp-8","","","Melbourne - Seymour Via Broadmeadows","2","8F1A95","FFFFFF"
