route_id,service_id,trip_id,shape_id,trip_headsign,direction_id,block_id
"6-BM3-mjp-1","T0_2","40.T0.6-BM3-mjp-1.8.R","6-BM3-mjp-1.8.R","Darley","1",""
"6-BM3-mjp-1","T2_2","40.T2.6-BM3-mjp-1.8.R","6-BM3-mjp-1.8.R","Darley","1",""
"6-BM3-mjp-1","T3_2","40.T3.6-BM3-mjp-1.8.R","6-BM3-mjp-1.8.R","Darley","1",""
"6-BM3-mjp-1","UI_2","40.UI.6-BM3-mjp-1.8.R","6-BM3-mjp-1.8.R","Darley","1",""
"6-BM3-mjp-1","UL_2","40.UL.6-BM3-mjp-1.8.R","6-BM3-mjp-1.8.R","Darley","1",""
"6-BM3-mjp-1","UU_2","40.UU.6-BM3-mjp-1.8.R","6-BM3-mjp-1.8.R","Darley","1",""
"6-BM3-mjp-1","T0_2","41.T0.6-BM3-mjp-1.8.R","6-BM3-mjp-1.8.R","Darley","1",""
"6-BM3-mjp-1","T2_2","41.T2.6-BM3-mjp-1.8.R","6-BM3-mjp-1.8.R","Darley","1",""
"6-BM3-mjp-1","T3_2","41.T3.6-BM3-mjp-1.8.R","6-BM3-mjp-1.8.R","Darley","1",""
"6-BM3-mjp-1","UI_2","41.UI.6-BM3-mjp-1.8.R","6-BM3-mjp-1.8.R","Darley","1",""
"6-BM3-mjp-1","UL_2","41.UL.6-BM3-mjp-1.8.R","6-BM3-mjp-1.8.R","Darley","1",""
"6-BM3-mjp-1","UU_2","41.UU.6-BM3-mjp-1.8.R","6-BM3-mjp-1.8.R","Darley","1",""
"6-BM3-mjp-1","T0_2","42.T0.6-BM3-mjp-1.8.R","6-BM3-mjp-1.8.R","Darley","1",""
"6-BM3-mjp-1","T2_2","42.T2.6-BM3-mjp-1.8.R","6-BM3-mjp-1.8.R","Darley","1",""
"6-BM3-mjp-1","T3_2","42.T3.6-BM3-mjp-1.8.R","6-BM3-mjp-1.8.R","Darley","1",""
"6-BM3-mjp-1","UI_2","42.UI.6-BM3-mjp-1.8.R","6-BM3-mjp-1.8.R","Darley","1",""
"6-BM3-mjp-1","UL_2","42.UL.6-BM3-mjp-1.8.R","6-BM3-mjp-1.8.R","Darley","1",""
"6-BM3-mjp-1","UU_2","42.UU.6-BM3-mjp-1.8.R","6-BM3-mjp-1.8.R","Darley","1",""
"6-BM3-mjp-1","T0_2","43.T0.6-BM3-mjp-1.8.R","6-BM3-mjp-1.8.R","Darley","1",""
"6-BM3-mjp-1","T2_2","43.T2.6-BM3-mjp-1.8.R","6-BM3-mjp-1.8.R","Darley","1",""
"6-BM3-mjp-1","T3_2","43.T3.6-BM3-mjp-1.8.R","6-BM3-mjp-1.8.R","Darley","1",""
"6-BM3-mjp-1","UI_2","43.UI.6-BM3-mjp-1.8.R","6-BM3-mjp-1.8.R","Darley","1",""
"6-BM3-mjp-1","UL_2","43.UL.6-BM3-mjp-1.8.R","6-BM3-mjp-1.8.R","Darley","1",""
"6-BM3-mjp-1","UU_2","43.UU.6-BM3-mjp-1.8.R","6-BM3-mjp-1.8.R","Darley","1",""
"6-BM3-mjp-1","T0_2","44.T0.6-BM3-mjp-1.8.R","6-BM3-mjp-1.8.R","Darley","1",""
"6-BM3-mjp-1","T2_2","44.T2.6-BM3-mjp-1.8.R","6-BM3-mjp-1.8.R","Darley","1",""
"6-BM3-mjp-1","T3_2","44.T3.6-BM3-mjp-1.8.R","6-BM3-mjp-1.8.R","Darley","1",""
"6-BM3-mjp-1","UI_2","44.UI.6-BM3-mjp-1.8.R","6-BM3-mjp-1.8.R","Darley","1",""
"6-BM3-mjp-1","UL_2","44.UL.6-BM3-mjp-1.8.R","6-BM3-mjp-1.8.R","Darley","1",""
"6-BM3-mjp-1","UU_2","44.UU.6-BM3-mjp-1.8.R","6-BM3-mjp-1.8.R","Darley","1",""
"6-BM3-mjp-1","T0_2","45.T0.6-BM3-mjp-1.8.R","6-BM3-mjp-1.8.R","Darley","1",""
"6-BM3-mjp-1","T2_2","45.T2.6-BM3-mjp-1.8.R","6-BM3-mjp-1.8.R","Darley","1",""
"6-BM3-mjp-1","T3_2","45.T3.6-BM3-mjp-1.8.R","6-BM3-mjp-1.8.R","Darley","1",""
"6-BM3-mjp-1","UI_2","45.UI.6-BM3-mjp-1.8.R","6-BM3-mjp-1.8.R","Darley","1",""
"6-BM3-mjp-1","UL_2","45.UL.6-BM3-mjp-1.8.R","6-BM3-mjp-1.8.R","Darley","1",""
"6-BM3-mjp-1","UU_2","45.UU.6-BM3-mjp-1.8.R","6-BM3-mjp-1.8.R","Darley","1",""
"6-BM3-mjp-1","T0_2","46.T0.6-BM3-mjp-1.8.R","6-BM3-mjp-1.8.R","Darley","1",""
"6-BM3-mjp-1","T2_2","46.T2.6-BM3-mjp-1.8.R","6-BM3-mjp-1.8.R","Darley","1",""
"6-BM3-mjp-1","T3_2","46.T3.6-BM3-mjp-1.8.R","6-BM3-mjp-1.8.R","Darley","1",""
"6-BM3-mjp-1","UI_2","46.UI.6-BM3-mjp-1.8.R","6-BM3-mjp-1.8.R","Darley","1",""
"6-BM3-mjp-1","UL_2","46.UL.6-BM3-mjp-1.8.R","6-BM3-mjp-1.8.R","Darley","1",""
"6-BM3-mjp-1","UU_2","46.UU.6-BM3-mjp-1.8.R","6-BM3-mjp-1.8.R","Darley","1",""
"6-BM3-mjp-1","T0_2","47.T0.6-BM3-mjp-1.8.R","6-BM3-mjp-1.8.R","Darley","1",""
"6-BM3-mjp-1","T2_2","47.T2.6-BM3-mjp-1.8.R","6-BM3-mjp-1.8.R","Darley","1",""
"6-BM3-mjp-1","T3_2","47.T3.6-BM3-mjp-1.8.R","6-BM3-mjp-1.8.R","Darley","1",""
"6-BM3-mjp-1","UI_2","47.UI.6-BM3-mjp-1.8.R","6-BM3-mjp-1.8.R","Darley","1",""
"6-BM3-mjp-1","UL_2","47.UL.6-BM3-mjp-1.8.R","6-BM3-mjp-1.8.R","Darley","1",""
"6-BM3-mjp-1","UU_2","47.UU.6-BM3-mjp-1.8.R","6-BM3-mjp-1.8.R","Darley","1",""
"6-BM3-mjp-1","T0_2","48.T0.6-BM3-mjp-1.8.R","6-BM3-mjp-1.8.R","Darley","1",""
"6-BM3-mjp-1","T2_2","48.T2.6-BM3-mjp-1.8.R","6-BM3-mjp-1.8.R","Darley","1",""
"6-BM3-mjp-1","T3_2","48.T3.6-BM3-mjp-1.8.R","6-BM3-mjp-1.8.R","Darley","1",""
"6-BM3-mjp-1","UI_2","48.UI.6-BM3-mjp-1.8.R","6-BM3-mjp-1.8.R","Darley","1",""
"6-BM3-mjp-1","UL_2","48.UL.6-BM3-mjp-1.8.R","6-BM3-mjp-1.8.R","Darley","1",""
"6-BM3-mjp-1","UU_2","48.UU.6-BM3-mjp-1.8.R","6-BM3-mjp-1.8.R","Darley","1",""
"6-BM3-mjp-1","T0_2","49.T0.6-BM3-mjp-1.8.R","6-BM3-mjp-1.8.R","Darley","1",""
"6-BM3-mjp-1","T3_2","49.T3.6-BM3-mjp-1.8.R","6-BM3-mjp-1.8.R","Darley","1",""
"6-BM3-mjp-1","UL_2","49.UL.6-BM3-mjp-1.8.R","6-BM3-mjp-1.8.R","Darley","1",""
"6-BM3-mjp-1","T0_2","5.T0.6-BM3-mjp-1.3.H","6-BM3-mjp-1.3.H","Maddingley","0",""
"6-BM3-mjp-1","T2_2","5.T2.6-BM3-mjp-1.1.H","6-BM3-mjp-1.1.H","Maddingley","0",""
"6-BM3-mjp-1","T3_2","5.T3.6-BM3-mjp-1.1.H","6-BM3-mjp-1.1.H","Maddingley","0",""
"6-BM3-mjp-1","UI_2","5.UI.6-BM3-mjp-1.1.H","6-BM3-mjp-1.1.H","Maddingley","0",""
"6-BM3-mjp-1","UL_2","5.UL.6-BM3-mjp-1.1.H","6-BM3-mjp-1.1.H","Maddingley","0",""
"6-BM3-mjp-1","UU_2","5.UU.6-BM3-mjp-1.1.H","6-BM3-mjp-1.1.H","Maddingley","0",""
"6-BM3-mjp-1","T0_2","50.T0.6-BM3-mjp-1.8.R","6-BM3-mjp-1.8.R","Darley","1",""
"6-BM3-mjp-1","T0_2","51.T0.6-BM3-mjp-1.8.R","6-BM3-mjp-1.8.R","Darley","1",""
"6-BM3-mjp-1","T0_2","52.T0.6-BM3-mjp-1.8.R","6-BM3-mjp-1.8.R","Darley","1",""
"6-BM3-mjp-1","T0_2","53.T0.6-BM3-mjp-1.8.R","6-BM3-mjp-1.8.R","Darley","1",""
"6-BM3-mjp-1","T0_2","54.T0.6-BM3-mjp-1.8.R","6-BM3-mjp-1.8.R","Darley","1",""
"6-BM3-mjp-1","T0_2","55.T0.6-BM3-mjp-1.8.R","6-BM3-mjp-1.8.R","Darley","1",""
"6-BM3-mjp-1","T0_2","56.T0.6-BM3-mjp-1.8.R","6-BM3-mjp-1.8.R","Darley","1",""
"6-BM3-mjp-1","T0_2","57.T0.6-BM3-mjp-1.8.R","6-BM3-mjp-1.8.R","Darley","1",""
"6-BM3-mjp-1","T0_2","58.T0.6-BM3-mjp-1.8.R","6-BM3-mjp-1.8.R","Darley","1",""
"6-BM3-mjp-1","T0_2","59.T0.6-BM3-mjp-1.9.R","6-BM3-mjp-1.9.R","Darley","1",""
"6-BM3-mjp-1","T0_2","6.T0.6-BM3-mjp-1.3.H","6-BM3-mjp-1.3.H","Maddingley","0",""
"6-BM3-mjp-1","T2_2","6.T2.6-BM3-mjp-1.1.H","6-BM3-mjp-1.1.H","Maddingley","0",""
"6-BM3-mjp-1","T3_2","6.T3.6-BM3-mjp-1.1.H","6-BM3-mjp-1.1.H","Maddingley","0",""
"6-BM3-mjp-1","UI_2","6.UI.6-BM3-mjp-1.1.H","6-BM3-mjp-1.1.H","Maddingley","0",""
"6-BM3-mjp-1","UL_2","6.UL.6-BM3-mjp-1.1.H","6-BM3-mjp-1.1.H","Maddingley","0",""
"6-BM3-mjp-1","UU_2","6.UU.6-BM3-mjp-1.1.H","6-BM3-mjp-1.1.H","Maddingley","0",""
"6-BM3-mjp-1","T0_2","60.T0.6-BM3-mjp-1.9.R","6-BM3-mjp-1.9.R","Darley","1",""
"6-BM3-mjp-1","T0_2","7.T0.6-BM3-mjp-1.3.H","6-BM3-mjp-1.3.H","Maddingley","0",""
"6-BM3-mjp-1","T2_2","7.T2.6-BM3-mjp-1.1.H","6-BM3-mjp-1.1.H","Maddingley","0",""
"6-BM3-mjp-1","T3_2","7.T3.6-BM3-mjp-1.1.H","6-BM3-mjp-1.1.H","Maddingley","0",""
"6-BM3-mjp-1","UI_2","7.UI.6-BM3-mjp-1.1.H","6-BM3-mjp-1.1.H","Maddingley","0",""
"6-BM3-mjp-1","UL_2","7.UL.6-BM3-mjp-1.1.H","6-BM3-mjp-1.1.H","Maddingley","0",""
"6-BM3-mjp-1","UU_2","7.UU.6-BM3-mjp-1.1.H","6-BM3-mjp-1.1.H","Maddingley","0",""
"6-BM3-mjp-1","T0_2","8.T0.6-BM3-mjp-1.3.H","6-BM3-mjp-1.3.H","Maddingley","0",""
"6-BM3-mjp-1","T2_2","8.T2.6-BM3-mjp-1.1.H","6-BM3-mjp-1.1.H","Maddingley","0",""
"6-BM3-mjp-1","T3_2","8.T3.6-BM3-mjp-1.1.H","6-BM3-mjp-1.1.H","Maddingley","0",""
"6-BM3-mjp-1","UI_2","8.UI.6-BM3-mjp-1.1.H","6-BM3-mjp-1.1.H","Maddingley","0",""
"6-BM3-mjp-1","UL_2","8.UL.6-BM3-mjp-1.1.H","6-BM3-mjp-1.1.H","Maddingley","0",""
"6-BM3-mjp-1","UU_2","8.UU.6-BM3-mjp-1.1.H","6-BM3-mjp-1.1.H","Maddingley","0",""
"6-BM3-mjp-1","T0_2","9.T0.6-BM3-mjp-1.3.H","6-BM3-mjp-1.3.H","Maddingley","0",""
