service_id,date,exception_type
"T0","20241105","2"
"T0","20241225","2"
"T0","20241226","2"
"T0_1","20241105","2"
"T0_1","20241225","2"
"T0_1","20241226","2"
"T0_14","20241105","2"
"T0_15","20241225","2"
"T0_15","20241226","2"
"T0_16","20241105","2"
"T0_16","20241225","2"
"T0_16","20241226","2"
"T0_2","20241105","2"
"T0_2","20241225","2"
"T0_2","20241226","2"
"T0_5","20241105","2"
"T0_5","20241225","2"
"T0_5","20241226","2"
"T0_6","20241105","2"
"T0_6","20241225","2"
"T0_6","20241226","2"
"T0+WD02","20241105","2"
"T0+WD04_1","20241225","2"
"T0+WD07","20241105","2"
"T0+WD07","20241225","2"
"T0+WD08","20241226","2"
"T0+WD0A","20241105","2"
"T0+WD0A","20241226","2"
"T0+WD0C","20241225","2"
"T0+WD0C","20241226","2"
"T0+WD0E","20241105","2"
"T0+WD0E","20241225","2"
"T0+WD0E","20241226","2"
"T0+WD12","20241105","2"
"T0+WD14","20241225","2"
"T0+WD18","20241226","2"
"T0+WD18_1","20241226","2"
"T0+WD6D","20241225","2"
"T0+WD6D","20241226","2"
"T0+WD6F","20241105","2"
"T0+WD6F","20241225","2"
"T0+WD6F","20241226","2"
"T0+WD75","20241225","2"
"T0+WD79","20241226","2"
"UI","20241003","2"
"UI","20241010","2"
"UI","20241017","2"
"UI","20241024","2"
"UI","20241031","2"
"UI","20241107","2"
"UI","20241114","2"
"UI","20241121","2"
"UI","20241128","2"
"UI","20241205","2"
"UI","20241212","2"
"UI","20241219","2"
"UI_1","20241003","2"
"UI_1","20241010","2"
"UI_1","20241017","2"
"UI_1","20241024","2"
"UI_1","20241031","2"
"UI_1","20241107","2"
"UI_1","20241114","2"
"UI_1","20241121","2"
"UI_1","20241128","2"
"UI_1","20241205","2"
"UI_1","20241212","2"
"UI_1","20241219","2"
"UI_2","20241003","2"
"UI_2","20241010","2"
"UI_2","20241017","2"
"UI_2","20241024","2"
"UI_2","20241031","2"
"UI_2","20241107","2"
"UI_2","20241114","2"
"UI_2","20241121","2"
"UI_2","20241128","2"
"UI_2","20241205","2"
"UI_2","20241212","2"
"UI_2","20241219","2"
"UI_3","20241031","2"
"UI_3","20241107","2"
"UI_3","20241114","2"
"UI_3","20241121","2"
"UI_3","20241128","2"
"UI_3","20241205","2"
"UI_3","20241212","2"
"UI_3","20241219","2"
"UL","20241009","2"
"UL","20241016","2"
"UL","20241023","2"
"UL","20241030","2"
"UL","20241106","2"
"UL","20241113","2"
"UL","20241120","2"
"UL","20241127","2"
"UL","20241204","2"
"UL","20241211","2"
"UL","20241218","2"
"UL_1","20241009","2"
"UL_1","20241016","2"
"UL_1","20241023","2"
"UL_1","20241030","2"
"UL_1","20241106","2"
"UL_1","20241113","2"
"UL_1","20241120","2"
"UL_1","20241127","2"
"UL_1","20241204","2"
"UL_1","20241211","2"
"UL_1","20241218","2"
"UL_2","20241009","2"
"UL_2","20241016","2"
"UL_2","20241023","2"
"UL_2","20241030","2"
"UL_2","20241106","2"
"UL_2","20241113","2"
"UL_2","20241120","2"
"UL_2","20241127","2"
"UL_2","20241204","2"
"UL_2","20241211","2"
"UL_2","20241218","2"
"UL_3","20241106","2"
"UL_3","20241113","2"
"UL_3","20241120","2"
"UL_3","20241127","2"
"UL_3","20241204","2"
"UL_3","20241211","2"
"UL_3","20241218","2"
"UU","20241008","2"
"UU","20241015","2"
"UU","20241022","2"
"UU","20241029","2"
"UU","20241112","2"
"UU","20241119","2"
"UU","20241126","2"
"UU","20241203","2"
"UU","20241210","2"
"UU","20241217","2"
"UU","20241224","2"
"UU","20241231","2"
"UU_1","20241008","2"
"UU_1","20241015","2"
"UU_1","20241022","2"
"UU_1","20241029","2"
"UU_1","20241112","2"
"UU_1","20241119","2"
"UU_1","20241126","2"
"UU_1","20241203","2"
"UU_1","20241210","2"
"UU_1","20241217","2"
"UU_1","20241224","2"
"UU_1","20241231","2"
"UU_2","20241008","2"
"UU_2","20241015","2"
"UU_2","20241022","2"
"UU_2","20241029","2"
"UU_2","20241112","2"
"UU_2","20241119","2"
"UU_2","20241126","2"
"UU_2","20241203","2"
"UU_2","20241210","2"
"UU_2","20241217","2"
"UU_2","20241224","2"
"UU_2","20241231","2"
"UU_3","20241112","2"
"UU_3","20241119","2"
"UU_3","20241126","2"
"UU_3","20241203","2"
"UU_3","20241210","2"
"UU_3","20241217","2"
"UU_3","20241224","2"
"UU_3","20241231","2"
"UU_4","20241112","2"
"UU_4","20241119","2"
"UU_4","20241126","2"
