route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color
"5-BGO-mjp-3","","","Melbourne - Bendigo Via Sunbury","3","A57FB2","FFFFFF"
"5-BGO-mjp-4","","","Melbourne - Bendigo Via Sunbury","3","A57FB2","FFFFFF"
"5-BGO-mjp-5","","","Melbourne - Bendigo Via Sunbury","3","A57FB2","FFFFFF"
"5-BGO-mjp-6","","","Melbourne - Bendigo Via Sunbury","3","A57FB2","FFFFFF"
"5-BGO-mjp-7","","","Bendigo Via Sunbury","3","A57FB2","FFFFFF"
"5-BGO-mjp-9","","","Melbourne - Bendigo Via Sunbury","3","A57FB2","FFFFFF"
"5-EC2-mjp-1","","","Echuca/Moama - Melbourne Via Shepparton","3","A57FB2","FFFFFF"
"5-EC2-mjp-10","","","Echuca/Moama - Melbourne Via Shepparton","3","A57FB2","FFFFFF"
"5-EC2-mjp-11","","","Echuca/Moama - Melbourne Via Shepparton","3","A57FB2","FFFFFF"
"5-EC2-mjp-2","","","Echuca/Moama - Melbourne Via Shepparton","3","A57FB2","FFFFFF"
"5-EC2-mjp-3","","","Echuca/Moama - Melbourne Via Shepparton","3","A57FB2","FFFFFF"
"5-EC2-mjp-4","","","Echuca/Moama - Melbourne Via Shepparton","3","A57FB2","FFFFFF"
"5-EC2-mjp-5","","","Echuca/Moama - Melbourne Via Shepparton","3","A57FB2","FFFFFF"
"5-EC2-mjp-6","","","Echuca/Moama - Melbourne Via Shepparton","3","A57FB2","FFFFFF"
"5-EC2-mjp-7","","","Echuca/Moama - Melbourne Via Shepparton","3","A57FB2","FFFFFF"
"5-EC2-mjp-8","","","Echuca/Moama - Melbourne Via Shepparton","3","A57FB2","FFFFFF"
"5-EC2-mjp-9","","","Echuca/Moama - Melbourne Via Shepparton","3","A57FB2","FFFFFF"
"5-ECH-mjp-1","","","Melbourne - Echuca/Moama Via Bendigo or Heathcote","3","A57FB2","FFFFFF"
"5-ECH-mjp-10","","","Melbourne - Echuca/Moama Via Bendigo or Heathcote","3","A57FB2","FFFFFF"
"5-ECH-mjp-11","","","Melbourne - Echuca/Moama Via Bendigo or Heathcote","3","A57FB2","FFFFFF"
"5-ECH-mjp-2","","","Melbourne - Echuca/Moama Via Bendigo or Heathcote","3","A57FB2","FFFFFF"
"5-ECH-mjp-3","","","Melbourne - Echuca/Moama Via Bendigo or Heathcote","3","A57FB2","FFFFFF"
"5-ECH-mjp-4","","","Melbourne - Echuca/Moama Via Bendigo or Heathcote","3","A57FB2","FFFFFF"
"5-ECH-mjp-5","","","Melbourne - Echuca/Moama Via Bendigo or Heathcote","3","A57FB2","FFFFFF"
"5-ECH-mjp-6","","","Melbourne - Echuca/Moama Via Bendigo or Heathcote","3","A57FB2","FFFFFF"
"5-ECH-mjp-7","","","Melbourne - Echuca/Moama Via Bendigo or Heathcote","3","A57FB2","FFFFFF"
"5-ECH-mjp-8","","","Melbourne - Echuca/Moama Via Bendigo or Heathcote","3","A57FB2","FFFFFF"
