route_id,service_id,trip_id,shape_id,trip_headsign,direction_id,block_id
"5-995-mjp-10","T0+WD12_2","1.T0.5-995-mjp-10.1.H","5-995-mjp-10.1.H","Melbourne","0",""
"5-995-mjp-10","T3_4","1.T3.5-995-mjp-10.1.H","5-995-mjp-10.1.H","Melbourne","0",""
"5-995-mjp-10","T0+WD12_2","2.T0.5-995-mjp-10.2.R","5-995-mjp-10.2.R","Warrnambool","1",""
"5-995-mjp-10","T3_4","2.T3.5-995-mjp-10.2.R","5-995-mjp-10.2.R","Warrnambool","1",""
"5-995-mjp-2","T0_1","1.T0.5-995-mjp-2.1.H","5-995-mjp-2.1.H","Melbourne","0",""
"5-995-mjp-2","T0_1","2.T0.5-995-mjp-2.2.R","5-995-mjp-2.2.R","Warrnambool","1",""
"5-995-mjp-3","T3","1.T3.5-995-mjp-3.1.H","5-995-mjp-3.1.H","Melbourne","0",""
"5-995-mjp-3","T3","2.T3.5-995-mjp-3.2.R","5-995-mjp-3.2.R","Warrnambool","1",""
"5-995-mjp-4","T0+WD02_1","1.T0.5-995-mjp-4.1.H","5-995-mjp-4.1.H","Melbourne","0",""
"5-995-mjp-4","T0+WD02_1","2.T0.5-995-mjp-4.2.R","5-995-mjp-4.2.R","Warrnambool","1",""
"5-995-mjp-5","T0+WD10","1.T0.5-995-mjp-5.1.H","5-995-mjp-5.1.H","Melbourne","0",""
"5-995-mjp-5","T0+WD10","2.T0.5-995-mjp-5.2.R","5-995-mjp-5.2.R","Warrnambool","1",""
"5-995-mjp-6","T0+WD02","1.T0.5-995-mjp-6.1.H","5-995-mjp-6.1.H","Melbourne","0",""
"5-995-mjp-6","T3_1","1.T3.5-995-mjp-6.1.H","5-995-mjp-6.1.H","Melbourne","0",""
"5-995-mjp-6","T0+WD02","2.T0.5-995-mjp-6.2.R","5-995-mjp-6.2.R","Warrnambool","1",""
"5-995-mjp-6","T3_1","2.T3.5-995-mjp-6.2.R","5-995-mjp-6.2.R","Warrnambool","1",""
"5-995-mjp-8","T0+WD12","1.T0.5-995-mjp-8.1.H","5-995-mjp-8.1.H","Melbourne","0",""
"5-995-mjp-8","T3_2","1.T3.5-995-mjp-8.1.H","5-995-mjp-8.1.H","Melbourne","0",""
"5-995-mjp-8","T0+WD12","2.T0.5-995-mjp-8.2.R","5-995-mjp-8.2.R","Warrnambool","1",""
"5-995-mjp-8","T3_2","2.T3.5-995-mjp-8.2.R","5-995-mjp-8.2.R","Warrnambool","1",""
"5-995-mjp-9","T0+WD12_1","1.T0.5-995-mjp-9.1.H","5-995-mjp-9.1.H","Melbourne","0",""
"5-995-mjp-9","T3_3","1.T3.5-995-mjp-9.1.H","5-995-mjp-9.1.H","Melbourne","0",""
"5-995-mjp-9","T0+WD12_1","2.T0.5-995-mjp-9.2.R","5-995-mjp-9.2.R","Warrnambool","1",""
"5-995-mjp-9","T3_3","2.T3.5-995-mjp-9.2.R","5-995-mjp-9.2.R","Warrnambool","1",""
"5-ABY-mjp-1","T0","1.T0.5-ABY-mjp-1.1.H","5-ABY-mjp-1.1.H","Melbourne","0",""
"5-ABY-mjp-1","T0","2.T0.5-ABY-mjp-1.2.H","5-ABY-mjp-1.2.H","Melbourne","0",""
"5-ABY-mjp-1","T0","3.T0.5-ABY-mjp-1.3.H","5-ABY-mjp-1.3.H","Melbourne","0",""
"5-ABY-mjp-1","T0","4.T0.5-ABY-mjp-1.4.R","5-ABY-mjp-1.4.R","Albury","1",""
"5-ABY-mjp-1","T0","5.T0.5-ABY-mjp-1.5.R","5-ABY-mjp-1.5.R","Albury","1",""
"5-ABY-mjp-1","T0","6.T0.5-ABY-mjp-1.6.R","5-ABY-mjp-1.6.R","Albury","1",""
"5-ABY-mjp-10","T0_7","1.T0.5-ABY-mjp-10.2.H","5-ABY-mjp-10.2.H","Melbourne","0",""
"5-ABY-mjp-10","T2_3","1.T2.5-ABY-mjp-10.1.H","5-ABY-mjp-10.1.H","Melbourne","0",""
"5-ABY-mjp-10","T3_3","1.T3.5-ABY-mjp-10.1.H","5-ABY-mjp-10.1.H","Melbourne","0",""
"5-ABY-mjp-10","T0_7","2.T0.5-ABY-mjp-10.3.H","5-ABY-mjp-10.3.H","Melbourne","0",""
"5-ABY-mjp-10","T2_3","2.T2.5-ABY-mjp-10.3.H","5-ABY-mjp-10.3.H","Melbourne","0",""
"5-ABY-mjp-10","T3_3","2.T3.5-ABY-mjp-10.3.H","5-ABY-mjp-10.3.H","Melbourne","0",""
"5-ABY-mjp-10","T0_7","3.T0.5-ABY-mjp-10.4.H","5-ABY-mjp-10.4.H","Melbourne","0",""
"5-ABY-mjp-10","T2_3","3.T2.5-ABY-mjp-10.5.R","5-ABY-mjp-10.5.R","Albury","1",""
"5-ABY-mjp-10","T3_3","3.T3.5-ABY-mjp-10.5.R","5-ABY-mjp-10.5.R","Albury","1",""
"5-ABY-mjp-10","T0_7","4.T0.5-ABY-mjp-10.6.R","5-ABY-mjp-10.6.R","Albury","1",""
"5-ABY-mjp-10","T2_3","4.T2.5-ABY-mjp-10.6.R","5-ABY-mjp-10.6.R","Albury","1",""
"5-ABY-mjp-10","T3_3","4.T3.5-ABY-mjp-10.6.R","5-ABY-mjp-10.6.R","Albury","1",""
"5-ABY-mjp-10","T0_7","5.T0.5-ABY-mjp-10.7.R","5-ABY-mjp-10.7.R","Albury","1",""
"5-ABY-mjp-10","T0_7","6.T0.5-ABY-mjp-10.8.R","5-ABY-mjp-10.8.R","Albury","1",""
"5-ABY-mjp-11","T0_8","1.T0.5-ABY-mjp-11.2.H","5-ABY-mjp-11.2.H","Melbourne","0",""
"5-ABY-mjp-11","T2_4","1.T2.5-ABY-mjp-11.1.H","5-ABY-mjp-11.1.H","Melbourne","0",""
"5-ABY-mjp-11","T3_4","1.T3.5-ABY-mjp-11.1.H","5-ABY-mjp-11.1.H","Melbourne","0",""
"5-ABY-mjp-11","T0_8","2.T0.5-ABY-mjp-11.3.H","5-ABY-mjp-11.3.H","Melbourne","0",""
"5-ABY-mjp-11","T2_4","2.T2.5-ABY-mjp-11.3.H","5-ABY-mjp-11.3.H","Melbourne","0",""
"5-ABY-mjp-11","T3_4","2.T3.5-ABY-mjp-11.3.H","5-ABY-mjp-11.3.H","Melbourne","0",""
"5-ABY-mjp-11","T0_8","3.T0.5-ABY-mjp-11.4.H","5-ABY-mjp-11.4.H","Melbourne","0",""
"5-ABY-mjp-11","T2_4","3.T2.5-ABY-mjp-11.5.R","5-ABY-mjp-11.5.R","Albury","1",""
"5-ABY-mjp-11","T3_4","3.T3.5-ABY-mjp-11.5.R","5-ABY-mjp-11.5.R","Albury","1",""
"5-ABY-mjp-11","T0_8","4.T0.5-ABY-mjp-11.6.R","5-ABY-mjp-11.6.R","Albury","1",""
"5-ABY-mjp-11","T2_4","4.T2.5-ABY-mjp-11.6.R","5-ABY-mjp-11.6.R","Albury","1",""
"5-ABY-mjp-11","T3_4","4.T3.5-ABY-mjp-11.6.R","5-ABY-mjp-11.6.R","Albury","1",""
"5-ABY-mjp-11","T0_8","5.T0.5-ABY-mjp-11.7.R","5-ABY-mjp-11.7.R","Albury","1",""
"5-ABY-mjp-11","T0_8","6.T0.5-ABY-mjp-11.8.R","5-ABY-mjp-11.8.R","Albury","1",""
"5-ABY-mjp-2","T0_1","1.T0.5-ABY-mjp-2.1.H","5-ABY-mjp-2.1.H","Melbourne","0",""
"5-ABY-mjp-2","T0_1","2.T0.5-ABY-mjp-2.2.H","5-ABY-mjp-2.2.H","Melbourne","0",""
"5-ABY-mjp-2","T0_1","3.T0.5-ABY-mjp-2.3.H","5-ABY-mjp-2.3.H","Melbourne","0",""
"5-ABY-mjp-2","T0_1","4.T0.5-ABY-mjp-2.4.R","5-ABY-mjp-2.4.R","Albury","1",""
"5-ABY-mjp-2","T0_1","5.T0.5-ABY-mjp-2.5.R","5-ABY-mjp-2.5.R","Albury","1",""
