trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
"1.T0.5-995-mjp-10.1.H","07:25:00","07:25:00","36381","1","","0","0","0.00"
"1.T0.5-995-mjp-10.1.H","07:40:00","07:40:00","36495","2","","0","1","1295.07"
"1.T0.5-995-mjp-10.1.H","08:09:00","08:09:00","36550","3","","0","0","30514.75"
"1.T0.5-995-mjp-10.1.H","08:44:00","08:44:00","22955","4","","0","0","79191.79"
"1.T0.5-995-mjp-10.1.H","08:52:00","08:52:00","22956","5","","0","0","89963.22"
"1.T0.5-995-mjp-10.1.H","08:58:00","08:58:00","22957","6","","0","0","96160.11"
"1.T0.5-995-mjp-10.1.H","09:15:00","09:15:00","17753","7","","0","0","116062.16"
"1.T0.5-995-mjp-10.1.H","09:40:00","10:05:00","17754","8","","0","0","147212.37"
"1.T0.5-995-mjp-10.1.H","10:51:00","10:51:00","17806","9","","0","0","211760.33"
"1.T0.5-995-mjp-10.1.H","11:01:00","11:01:00","22958","10","","0","0","224270.67"
"1.T0.5-995-mjp-10.1.H","11:16:00","11:16:00","22959","11","","0","0","244541.37"
"1.T0.5-995-mjp-10.1.H","11:27:00","11:27:00","36907","12","","1","0","259665.67"
"1.T0.5-995-mjp-10.1.H","11:30:00","11:30:00","17799","13","","1","0","260666.40"
"1.T0.5-995-mjp-2.1.H","07:25:00","07:25:00","36381","1","","0","0","0.00"
"1.T0.5-995-mjp-2.1.H","07:40:00","07:40:00","36495","2","","0","1","1295.07"
"1.T0.5-995-mjp-2.1.H","08:09:00","08:09:00","36550","3","","0","0","30514.75"
"1.T0.5-995-mjp-2.1.H","08:44:00","08:44:00","22955","4","","0","0","79191.79"
"1.T0.5-995-mjp-2.1.H","08:52:00","08:52:00","22956","5","","0","0","89963.22"
"1.T0.5-995-mjp-2.1.H","08:58:00","08:58:00","22957","6","","0","0","96160.11"
"1.T0.5-995-mjp-2.1.H","09:15:00","09:15:00","17753","7","","0","0","116062.16"
"1.T0.5-995-mjp-2.1.H","09:40:00","10:05:00","17754","8","","0","0","147212.37"
"1.T0.5-995-mjp-2.1.H","10:51:00","10:51:00","17806","9","","0","0","211760.33"
"1.T0.5-995-mjp-2.1.H","11:01:00","11:01:00","22958","10","","0","0","224270.67"
"1.T0.5-995-mjp-2.1.H","11:16:00","11:16:00","22959","11","","0","0","244541.37"
"1.T0.5-995-mjp-2.1.H","11:27:00","11:27:00","36907","12","","1","0","259665.67"
"1.T0.5-995-mjp-2.1.H","11:30:00","11:30:00","17799","13","","1","0","260666.40"
"1.T0.5-995-mjp-4.1.H","07:25:00","07:25:00","36381","1","","0","0","0.00"
